club,club_league,club_league_tier,club_country,transfer_movement,player_name,player_age,player_nationality,player_club,player_club_country,player_position,player_position_category,player_rating,player_potential,club_involved,club_involved_league,club_involved_league_tier,club_involved_country,transfer_fee,market_value,remaining_contract_duration,total_apps,total_apps_ratio,total_minutes_per_point,total_goals,total_assists,total_minutes_played,ucl_apps,ucl_apps_ratio,ucl_minutes_per_point,ucl_goals,ucl_assists,ucl_minutes_played,el_apps,el_apps_ratio,el_minutes_per_point,el_goals,el_assists,el_minutes_played,season
fc bayern munchen,1 bundesliga,1,germany,in,manuel neuer,25,germany,fc schalke 04,germany,GK,keeper,86,91,fc schalke 04,1 bundesliga,1,germany,27.0,25.2,371,53.0,1.0,1.53,0,0,4800,12.0,1.0,1.92,0,0,1080,0,0,0,0,0,0,2011/2012
fc bayern munchen,1 bundesliga,1,germany,in,jerome boateng,22,germany,manchester city,england,CB,defender,78,82,manchester city,premier league,1,england,12.15,13.5,1452,24.0,0.73,1.79,0,0,1952,0,0,0,0,0,0,5.0,0.83,1.8,0,0,444,2011/2012
fc bayern munchen,1 bundesliga,1,germany,in,rafinha,25,brazil,fc genua 1893,italy,RB,defender,79,82,fc genua 1893,serie a,1,italy,4.95,7.2,1101,37.0,0.97,1.49,2.0,2.0,2940,0,0,0,0,0,0,0,0,0,0,0,0,2011/2012
fc bayern munchen,1 bundesliga,1,germany,in,nils petersen,22,germany,fc energie cottbus,germany,CF,attacker,74,80,fc energie cottbus,2 bundesliga,2,germany,2.52,3.6,0,38.0,1.0,1.76,28.0,8.0,3352,0,0,0,0,0,0,0,0,0,0,0,0,2011/2012
fc bayern munchen,1 bundesliga,1,germany,out,mehmet ekici,21,turkey,fc bayern munchen,germany,AM,midfielder,75,82,sv werder bremen,1 bundesliga,1,germany,4.5,5.85,371,36.0,1.0,1.44,4.0,11.0,2824,0,0,0,0,0,0,0,0,0,0,0,0,2011/2012
borussia dortmund,1 bundesliga,1,germany,in,ilkay gundogan,20,germany,1 fc nurnberg,germany,CM,midfielder,77,83,1 fc nurnberg,1 bundesliga,1,germany,4.95,5.85,0,26.0,0.96,1.38,5.0,3.0,1917,0,0,0,0,0,0,0,0,0,0,0,0,2011/2012
borussia dortmund,1 bundesliga,1,germany,in,ivan perisic,22,croatia,fc brugge,belgium,LW,attacker,77,84,fc brugge,jupiler pro league,1,belgium,4.95,5.4,0,46.0,1.0,1.57,22.0,10.0,3787,0,0,0,0,0,0,6.0,1.0,0.5,0,0,487,2011/2012
borussia dortmund,1 bundesliga,1,germany,in,chris lowe,22,germany,chemnitzer fc,germany,LB,defender,65,73,chemnitzer fc,3 liga,3,germany,0.203,0.18,0,36.0,1.0,2.36,4.0,13.0,3131,0,0,0,0,0,0,0,0,0,0,0,0,2011/2012
borussia dortmund,1 bundesliga,1,germany,out,nuri sahin,22,turkey,borussia dortmund,germany,DM,midfielder,85,88,real madrid,primera division,1,spain,9.0,18.0,0,40.0,1.0,2.18,8.0,13.0,3500,0,0,0,0,0,0,6.0,1.0,1.5,2.0,4.0,540,2011/2012
borussia dortmund,1 bundesliga,1,germany,out,tamas hajnal,30,hungary,borussia dortmund,germany,AM,midfielder,77,77,vfb stuttgart,1 bundesliga,1,germany,0.9,2.25,371,15.0,0.68,1.73,3.0,5.0,1132,0,0,0,0,0,0,2.0,1.0,0,1.0,0,141,2011/2012
