club,club_league,club_league_tier,club_country,transfer_movement,player_name,player_age,player_nationality,player_club,player_club_country,player_position,player_position_category,player_rating,player_potential,club_involved,club_involved_league,club_involved_league_tier,club_involved_country,transfer_fee,market_value,remaining_contract_duration,total_apps,total_apps_ratio,total_minutes_per_point,total_goals,total_assists,total_minutes_played,ucl_apps,ucl_apps_ratio,ucl_minutes_per_point,ucl_goals,ucl_assists,ucl_minutes_played,el_apps,el_apps_ratio,el_minutes_per_point,el_goals,el_assists,el_minutes_played,season
sc amiens,ligue 1,1,france,in,moussa konate,24,senegal,fc sion,switzerland,CF,attacker,74,81,fc sion,raiffeisen super league,1,switzerland,3.15,3.6,327,39,1.0,1.59,14,6,2872,0,0,0,0,0,0,0,0,0,0,0,0,2017/2018
sc amiens,ligue 1,1,france,in,bongani zungu,24,south africa,vitoria guimaraes sc,portugal,CM,midfielder,75,80,vitoria guimaraes sc,primeira liga,1,portugal,1.8,1.8,309,25,0.93,1.64,2,0,1817,0,0,0,0,0,0,0,0,0,0,0,0,2017/2018
sc amiens,ligue 1,1,france,in,stiven mendoza,25,colombia,corinthians sao paulo,brazil,LW,attacker,NA,NA,corinthians sao paulo,campeonato brasileiro serie a,1,brazil,0.9,1.13,355,31,1.0,1.29,8,3,2413,0,0,0,0,0,0,0,0,0,0,0,0,2017/2018
sc amiens,ligue 1,1,france,in,prince gouano,23,france,atalanta bergamo,italy,CB,defender,71,80,atalanta bergamo,serie a,1,italy,0.117,1.13,0,14,0.35,2.29,0,0,809,0,0,0,0,0,0,0,0,0,0,0,0,2017/2018
sc amiens,ligue 1,1,france,out,aboubakar kamara,22,france,sc amiens,france,CF,attacker,67,76,fc fulham,championship,2,england,5.4,0.9,340,29,0.94,1.69,11,2,1923,0,0,0,0,0,0,0,0,0,0,0,0,2017/2018
sco angers,ligue 1,1,france,in,enzo crivelli,22,france,fc girondins bordeaux,france,CF,attacker,73,81,fc girondins bordeaux,ligue 1,1,france,3.6,3.6,736,24,1.0,1.21,10,1,2084,0,0,0,0,0,0,0,0,0,0,0,0,2017/2018
sco angers,ligue 1,1,france,in,thomas toure,23,cote d\'ivoire,fc girondins bordeaux,france,LW,attacker,NA,NA,fc girondins bordeaux,ligue 1,1,france,2.7,1.35,674,6,0.67,1.67,0,1,369,0,0,0,0,0,0,0,0,0,0,0,0,2017/2018
sco angers,ligue 1,NA,france,in,lassana coulibaly,21,mali,sc bastia,france,CM,midfielder,65,79,sc bastia,NA,1,france,1.8,1.13,731,31,0.86,0.97,0,2,2397,0,0,0,0,0,0,0,0,0,0,0,0,2017/2018
sco angers,ligue 1,1,france,in,baptiste guillaume,22,belgium,osc lille,france,CF,attacker,69,75,osc lille,ligue 1,1,france,1.8,1.8,1101,35,0.97,1.83,9,5,2430,0,0,0,0,0,0,0,0,0,0,0,0,2017/2018
sco angers,ligue 1,1,france,in,angelo fulgini,20,france,fc valenciennes,france,RM,midfielder,66,77,fc valenciennes,ligue 2,2,france,1.26,1.13,365,36,1.0,1.17,6,2,2797,0,0,0,0,0,0,0,0,0,0,0,0,2017/2018
