club,club_league,club_league_tier,club_country,transfer_movement,player_name,player_age,player_nationality,player_club,player_club_country,player_position,player_position_category,player_rating,player_potential,club_involved,club_involved_league,club_involved_league_tier,club_involved_country,transfer_fee,market_value,remaining_contract_duration,total_apps,total_apps_ratio,total_minutes_per_point,total_goals,total_assists,total_minutes_played,ucl_apps,ucl_apps_ratio,ucl_minutes_per_point,ucl_goals,ucl_assists,ucl_minutes_played,el_apps,el_apps_ratio,el_minutes_per_point,el_goals,el_assists,el_minutes_played,season
psv eindhoven,eredivisie,1,netherlands,in,bart ramselaar,20,netherlands,fc utrecht,netherlands,AM,midfielder,70,80,fc utrecht,eredivisie,1,netherlands,4.28,4.5,1052,42,0.98,1.67,8,7,3461,0,0,0,0,0,0,0,0,0,0,0,0,2016/2017
psv eindhoven,eredivisie,1,netherlands,in,hidde jurjus,22,netherlands,de graafschap doetinchem,netherlands,GK,keeper,68,78,de graafschap doetinchem,jupiler league,2,netherlands,0.45,0.54,356,39,1.0,0.77,0,1,3510,0,0,0,0,0,0,0,0,0,0,0,0,2016/2017
psv eindhoven,eredivisie,1,netherlands,out,jeffrey bruma,24,netherlands,psv eindhoven,netherlands,CB,defender,78,82,vfl wolfsburg,1 bundesliga,1,germany,10.35,6.98,736,44,0.98,2.23,0,2,3738,8,1.0,1.38,0,0,750,0,0,0,0,0,0,2016/2017
psv eindhoven,eredivisie,1,netherlands,out,luciano narsingh,26,netherlands,psv eindhoven,netherlands,RW,attacker,75,77,swansea city,premier league,1,england,4.14,4.5,173,40,0.95,2.2,9,6,2714,7,1.0,1.14,1,0,438,0,0,0,0,0,0,2016/2017
psv eindhoven,eredivisie,1,netherlands,out,florian jozefzoon,25,netherlands,psv eindhoven,netherlands,RW,attacker,71,75,fc brentford,championship,2,england,0.405,0.9,158,17,0.65,2.29,1,2,738,0,0,0,0,0,0,0,0,0,0,0,0,2016/2017
ajax amsterdam,eredivisie,1,netherlands,in,david neres,19,brazil,fc sao paulo,brazil,RW,attacker,NA,NA,fc sao paulo,campeonato brasileiro serie a,1,brazil,10.8,-,706,8,0.57,2.0,3,0,620,0,0,0,0,0,0,0,0,0,0,0,0,2016/2017
ajax amsterdam,eredivisie,1,netherlands,in,hakim ziyech,23,morocco,fc twente enschede,netherlands,RW,attacker,78,84,fc twente enschede,eredivisie,1,netherlands,9.9,9.9,675,34,1.0,1.18,17,12,3042,0,0,0,0,0,0,0,0,0,0,0,0,2016/2017
ajax amsterdam,eredivisie,1,netherlands,in,mateo cassierra,19,colombia,deportivo cali,colombia,CF,attacker,NA,NA,deportivo cali,liga postobon ii,1,colombia,4.95,0.585,0,24,1.0,1.46,6,1,1567,0,0,0,0,0,0,0,0,0,0,0,0,2016/2017
ajax amsterdam,eredivisie,1,netherlands,in,davinson sanchez,20,colombia,atletico nacional,colombia,CB,defender,NA,NA,atletico nacional,liga postobon ii,1,colombia,4.5,0.495,0,24,0.96,2.29,1,0,2160,0,0,0,0,0,0,0,0,0,0,0,0,2016/2017
ajax amsterdam,eredivisie,1,netherlands,out,arkadiusz milik,22,poland,ajax amsterdam,netherlands,CF,attacker,77,84,ssc neapel,serie a,1,italy,28.8,10.8,1069,42,0.98,2.1,24,12,3275,0,0,0,0,0,0,5,1.0,1.4,1,1,379,2016/2017
ajax amsterdam,eredivisie,1,netherlands,out,jasper cillessen,27,netherlands,ajax amsterdam,netherlands,GK,keeper,81,82,fc barcelona,primera division,1,spain,11.7,10.8,680,44,1.0,2.07,0,0,3884,0,0,0,0,0,0,6,1.0,1.17,0,0,540,2016/2017
ajax amsterdam,eredivisie,1,netherlands,out,riechedly bazoer,20,netherlands,ajax amsterdam,netherlands,CM,midfielder,77,88,vfl wolfsburg,1 bundesliga,1,germany,10.8,13.5,1279,39,0.95,2.05,5,5,3117,0,0,0,0,0,0,4,1.0,0.75,0,0,295,2016/2017
ajax amsterdam,eredivisie,1,netherlands,out,anwar el ghazi,21,netherlands,ajax amsterdam,netherlands,RW,attacker,76,84,osc lille,ligue 1,1,france,6.3,5.85,884,37,0.95,2.03,11,3,2483,0,0,0,0,0,0,5,1.0,0.8,0,0,318,2016/2017
ajax amsterdam,eredivisie,1,netherlands,out,nemanja gudelj,25,serbia,ajax amsterdam,netherlands,DM,midfielder,77,81,tianjin teda,chinese super league,1,china,4.95,5.85,1255,46,1.0,2.11,5,8,3996,0,0,0,0,0,0,6,1.0,1.17,0,0,526,2016/2017
ajax amsterdam,eredivisie,1,netherlands,out,viktor fischer,22,denmark,ajax amsterdam,netherlands,LW,attacker,74,81,fc middlesbrough,premier league,1,england,4.5,4.5,371,45,0.92,1.89,12,4,2299,0,0,0,0,0,0,6,1.0,1.17,2,1,427,2016/2017
ajax amsterdam,eredivisie,1,netherlands,out,mike van der hoorn,23,netherlands,ajax amsterdam,netherlands,CB,defender,74,78,swansea city,premier league,1,england,2.25,1.8,365,22,0.52,2.32,2,2,1732,0,0,0,0,0,0,1,0.17,3.0,0,0,80,2016/2017
ajax amsterdam,eredivisie,1,netherlands,out,ricardo van rhijn,25,netherlands,ajax amsterdam,netherlands,RB,defender,73,77,fc brugge,jupiler pro league,1,belgium,1.62,2.25,716,21,0.49,2.0,1,1,1066,0,0,0,0,0,0,2,0.4,0.5,0,1,153,2016/2017
ajax amsterdam,eredivisie,1,netherlands,out,sheraldo becker,21,netherlands,ajax amsterdam,netherlands,RW,attacker,71,79,ado den haag,eredivisie,1,netherlands,0.18,0.72,319,28,0.97,1.04,4,5,1965,0,0,0,0,0,0,0,0,0,0,0,0,2016/2017
feyenoord rotterdam,eredivisie,1,netherlands,in,nicolai jorgensen,25,denmark,fc kopenhagen,denmark,CF,attacker,75,79,fc kopenhagen,superligaen,1,denmark,3.15,2.25,371,40,0.95,2.18,19,7,3336,0,0,0,0,0,0,0,0,0,0,0,0,2016/2017
feyenoord rotterdam,eredivisie,1,netherlands,out,lex immers,30,netherlands,feyenoord rotterdam,netherlands,AM,midfielder,73,73,cardiff city,championship,2,england,2.07,1.8,371,28,0.88,1.71,9,1,2032,0,0,0,0,0,0,0,0,0,0,0,0,2016/2017
feyenoord rotterdam,eredivisie,1,netherlands,out,anass achahbar,22,netherlands,feyenoord rotterdam,netherlands,CF,attacker,69,75,pec zwolle,eredivisie,1,netherlands,0.27,0.9,371,25,0.71,2.08,10,3,1824,0,0,0,0,0,0,0,0,0,0,0,0,2016/2017
az alkmaar,eredivisie,1,netherlands,in,wout weghorst,23,netherlands,heracles almelo,netherlands,CF,attacker,68,73,heracles almelo,eredivisie,1,netherlands,1.35,1.13,365,39,0.95,1.49,15,0,3358,0,0,0,0,0,0,0,0,0,0,0,0,2016/2017
az alkmaar,eredivisie,1,netherlands,in,fred friday,21,nigeria,lillestrom sk,norway,CF,attacker,67,75,lillestrom sk,tippeligaen,1,norway,1.35,0.54,536,14,0.93,1.14,8,1,1260,0,0,0,0,0,0,0,0,0,0,0,0,2016/2017
az alkmaar,eredivisie,1,netherlands,in,iliass bel hassani,23,netherlands,heracles almelo,netherlands,AM,midfielder,NA,NA,heracles almelo,eredivisie,1,netherlands,1.22,2.48,309,40,1.0,1.6,10,4,3462,0,0,0,0,0,0,0,0,0,0,0,0,2016/2017
az alkmaar,eredivisie,1,netherlands,out,vincent janssen,22,netherlands,az alkmaar,netherlands,CF,attacker,77,84,tottenham hotspur,premier league,1,england,19.8,5.4,1089,49,1.0,1.71,32,7,3971,0,0,0,0,0,0,6,1.0,0.67,2,0,511,2016/2017
az alkmaar,eredivisie,1,netherlands,out,markus henriksen,24,norway,az alkmaar,netherlands,CM,midfielder,75,80,hull city,premier league,1,england,4.77,4.5,179,41,1.0,1.68,19,9,3567,0,0,0,0,0,0,5,1.0,0.6,2,0,397,2016/2017
fc utrecht,eredivisie,1,netherlands,in,robin van der meer,21,netherlands,go ahead eagles deventer,netherlands,LB,defender,NA,NA,go ahead eagles deventer,eredivisie,1,netherlands,0.27,0.135,674,39,0.78,1.67,1,2,2874,0,0,0,0,0,0,0,0,0,0,0,0,2016/2017
fc utrecht,eredivisie,1,netherlands,in,david jensen,24,denmark,fc nordsjaelland,denmark,GK,keeper,66,72,fc nordsjaelland,superligaen,1,denmark,0.18,0.45,343,30,0.88,1.13,0,0,2700,0,0,0,0,0,0,0,0,0,0,0,0,2016/2017
fc utrecht,eredivisie,1,netherlands,out,bart ramselaar,20,netherlands,fc utrecht,netherlands,AM,midfielder,70,80,psv eindhoven,eredivisie,1,netherlands,4.28,4.5,1052,42,0.98,1.67,8,7,3461,0,0,0,0,0,0,0,0,0,0,0,0,2016/2017
fc utrecht,eredivisie,1,netherlands,out,timo letschert,23,netherlands,fc utrecht,netherlands,CB,defender,74,79,us sassuolo,serie a,1,italy,3.15,2.7,702,40,0.98,1.7,3,2,3366,0,0,0,0,0,0,0,0,0,0,0,0,2016/2017
fc utrecht,eredivisie,1,netherlands,out,ruud boymans,26,netherlands,fc utrecht,netherlands,CF,attacker,73,74,al shabab al arabi club,uae arabian gulf league,1,united arab emirates,0.878,0.9,736,25,0.89,1.64,11,0,1165,0,0,0,0,0,0,0,0,0,0,0,0,2016/2017
heracles almelo,eredivisie,1,netherlands,in,vincent vermeij,21,netherlands,de graafschap doetinchem,netherlands,CF,attacker,67,75,de graafschap doetinchem,jupiler league,2,netherlands,0.45,0.81,338,41,0.98,0.71,12,1,2807,0,0,0,0,0,0,0,0,0,0,0,0,2016/2017
