club,club_league,club_league_tier,club_country,transfer_movement,player_name,player_age,player_nationality,player_club,player_club_country,player_position,player_position_category,player_rating,player_potential,club_involved,club_involved_league,club_involved_league_tier,club_involved_country,transfer_fee,market_value,remaining_contract_duration,total_apps,total_apps_ratio,total_minutes_per_point,total_goals,total_assists,total_minutes_played,ucl_apps,ucl_apps_ratio,ucl_minutes_per_point,ucl_goals,ucl_assists,ucl_minutes_played,el_apps,el_apps_ratio,el_minutes_per_point,el_goals,el_assists,el_minutes_played,season
manchester city,premier league,1,england,in,riyad mahrez,27,algeria,leicester city,england,RW,attacker,84,84,leicester city,premier league,1,england,61.02,45.0,726,41,0.93,1.34,13,13,3339,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
manchester city,premier league,1,england,in,ante palaversa,18,croatia,hnk hajduk split,croatia,DM,midfielder,NA,NA,hnk hajduk split,1 hnl,1,croatia,5.67,0.495,1249,19,0.95,1.47,2,0,1313,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
manchester city,premier league,1,england,in,philippe sandler,21,netherlands,pec zwolle,netherlands,CB,defender,70,85,pec zwolle,eredivisie,1,netherlands,2.25,2.25,340,27,0.93,1.15,1,0,2308,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
manchester city,premier league,1,england,in,ko itakura,21,japan,kawasaki frontale,japan,CB,defender,63,70,kawasaki frontale,j league division 1,1,japan,0.99,0.63,382,32,1.0,1.41,3,0,2579,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
manchester city,premier league,1,england,in,daniel arzani,19,australia,melbourne heart fc,australia,LW,attacker,66,82,melbourne heart fc,a league,1,australia,0.801,1.35,0,18,0.86,1.5,2,3,1194,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
manchester city,premier league,1,england,out,brahim diaz,19,spain,manchester city,england,AM,midfielder,67,85,real madrid,primera division,1,spain,15.3,4.5,179,27,0.75,1.93,6,4,1630,3,1.0,1.0,0,0,52,0,0,0,0,0,0,2018/2019
manchester city,premier league,1,england,out,angus gunn,22,england,manchester city,england,GK,keeper,71,83,fc southampton,premier league,1,england,10.17,1.8,726,51,1.0,1.31,0,0,4650,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
manchester city,premier league,1,england,out,pablo maffeo,20,spain,manchester city,england,RB,defender,75,86,vfb stuttgart,1 bundesliga,1,germany,8.1,9.0,371,34,0.92,1.38,0,2,2713,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
manchester city,premier league,1,england,out,jason denayer,23,belgium,manchester city,england,CB,defender,74,81,olympique lyon,ligue 1,1,france,5.85,2.7,684,22,0.73,2.14,0,1,1637,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
manchester city,premier league,1,england,out,joe hart,31,england,manchester city,england,GK,keeper,78,78,fc burnley,premier league,1,england,3.51,9.0,333,23,0.55,0.83,0,0,2100,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
manchester city,premier league,1,england,out,olarenwaju kayode,25,nigeria,manchester city,england,CF,attacker,74,78,shakhtar donetsk,premier liga,1,ukraine,2.7,2.7,1101,21,0.78,1.57,3,3,787,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
manchester united,premier league,1,england,in,fred,25,brazil,shakhtar donetsk,ukraine,CM,midfielder,81,86,shakhtar donetsk,premier liga,1,ukraine,53.1,28.8,1831,37,1.0,2.35,4,7,3257,8,1.0,1.88,1,1,720,0,0,0,0,0,0,2018/2019
manchester united,premier league,1,england,in,diogo dalot,19,portugal,fc porto,portugal,RB,defender,69,85,fc porto,primeira liga,1,portugal,19.8,13.5,371,33,0.94,2.09,4,8,2737,1,1.0,1.0,0,0,90,0,0,0,0,0,0,2018/2019
manchester united,premier league,1,england,in,lee grant,35,england,stoke city,england,GK,keeper,74,74,stoke city,championship,2,england,1.53,0.9,368,5,0.16,0.8,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
manchester united,premier league,1,england,out,daley blind,28,netherlands,manchester united,england,CB,defender,80,80,ajax amsterdam,eredivisie,1,netherlands,14.4,16.2,354,17,0.59,2.65,1,2,1231,6,1.0,2.5,1,1,540,0,0,0,0,0,0,2018/2019
manchester united,premier league,1,england,out,sam johnstone,25,england,manchester united,england,GK,keeper,74,80,west bromwich albion,championship,2,england,6.62,2.25,368,48,1.0,1.81,0,0,4320,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
manchester united,premier league,1,england,out,marouane fellaini,31,belgium,manchester united,england,CM,midfielder,79,79,shandong luneng taishan f c ,chinese super league,1,china,6.48,13.5,518,23,0.96,2.22,5,1,878,3,1.0,1.0,1,1,221,0,0,0,0,0,0,2018/2019
tottenham hotspur,premier league,1,england,out,mousa dembele,31,belgium,tottenham hotspur,england,CM,midfielder,84,84,guangzhou r amp f f c ,chinese super league,1,china,4.82,16.2,168,39,0.91,1.9,0,0,2578,5,0.83,2.0,0,0,319,0,0,0,0,0,0,2018/2019
fc liverpool,premier league,1,england,in,alisson,25,brazil,as rom,italy,GK,keeper,84,90,as rom,serie a,1,italy,56.25,54.0,1082,49,0.98,1.92,0,0,4410,12,1.0,1.67,0,0,1080,0,0,0,0,0,0,2018/2019
fc liverpool,premier league,1,england,in,naby keita,23,guinea,rasenballsport leipzig,germany,CM,midfielder,83,88,rasenballsport leipzig,1 bundesliga,1,germany,54.0,58.5,736,39,0.97,1.59,9,7,2975,5,1.0,1.2,2,0,419,5,1.0,2.0,0,2,446,2018/2019
fc liverpool,premier league,1,england,in,fabinho,24,brazil,as monaco,france,DM,midfielder,84,89,as monaco,ligue 1,1,france,40.5,40.5,1101,46,0.98,1.89,8,5,4097,5,0.83,0.4,0,0,450,0,0,0,0,0,0,2018/2019
fc liverpool,premier league,1,england,in,xherdan shaqiri,26,switzerland,stoke city,england,RW,attacker,82,83,stoke city,championship,2,england,13.23,16.2,723,38,0.97,0.87,8,7,3080,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
fc liverpool,premier league,1,england,out,dominic solanke,21,england,fc liverpool,england,CF,attacker,70,84,afc bournemouth,premier league,1,england,19.08,9.0,1276,30,0.58,1.9,2,1,970,3,0.33,2.0,0,0,36,0,0,0,0,0,0,2018/2019
fc liverpool,premier league,1,england,out,danny ward,25,wales,fc liverpool,england,GK,keeper,70,78,leicester city,premier league,1,england,12.6,2.25,1081,4,0.57,1.5,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
fc liverpool,premier league,1,england,out,ragnar klavan,32,estonia,fc liverpool,england,CB,defender,78,78,cagliari calcio,serie a,1,italy,1.17,3.15,323,28,0.62,1.96,1,0,1836,7,0.64,2.0,0,0,296,0,0,0,0,0,0,2018/2019
fc chelsea,premier league,1,england,in,kepa,23,spain,athletic bilbao,spain,GK,keeper,82,87,athletic bilbao,primera division,1,spain,72.0,18.0,2522,31,0.67,1.0,0,0,2790,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
fc chelsea,premier league,1,england,in,christian pulisic,20,united states,borussia dortmund,germany,RW,attacker,79,89,borussia dortmund,1 bundesliga,1,germany,57.6,45.0,548,42,1.0,1.43,5,7,3038,5,1.0,0.4,0,0,374,3,1.0,1.33,0,1,172,2018/2019
fc chelsea,premier league,1,england,in,jorginho,26,italy,ssc neapel,italy,DM,midfielder,82,85,ssc neapel,serie a,1,italy,51.3,45.0,722,39,0.8,2.33,4,4,3100,2,0.33,1.5,1,0,162,1,0.5,3.0,0,0,8,2018/2019
fc chelsea,premier league,1,england,out,thibaut courtois,26,belgium,fc chelsea,england,GK,keeper,89,92,real madrid,primera division,1,spain,31.5,58.5,0,46,1.0,1.78,0,0,4170,8,1.0,1.5,0,0,720,0,0,0,0,0,0,2018/2019
fc chelsea,premier league,1,england,out,cesc fabregas,31,spain,fc chelsea,england,CM,midfielder,85,85,as monaco,ligue 1,1,france,8.1,22.5,174,49,0.91,1.82,3,9,3687,8,1.0,1.5,1,1,691,0,0,0,0,0,0,2018/2019
fc arsenal,premier league,1,england,in,lucas torreira,22,uruguay,uc sampdoria,italy,DM,midfielder,78,85,uc sampdoria,serie a,1,italy,25.79,27.0,1456,38,0.95,1.42,4,1,3319,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
fc arsenal,premier league,1,england,in,bernd leno,26,germany,bayer 04 leverkusen,germany,GK,keeper,85,88,bayer 04 leverkusen,1 bundesliga,1,germany,22.5,18.0,736,38,1.0,1.76,0,0,3480,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
fc arsenal,premier league,1,england,in,sokratis,30,greece,borussia dortmund,germany,CB,defender,85,85,borussia dortmund,1 bundesliga,1,germany,14.4,18.0,369,43,0.96,1.47,3,0,3574,5,1.0,0.4,1,0,450,4,1.0,1.25,0,0,360,2018/2019
fc arsenal,premier league,1,england,in,matteo guendouzi,19,france,fc lorient,france,CM,midfielder,67,79,fc lorient,ligue 2,2,france,7.2,2.25,360,21,0.84,1.86,0,1,1651,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
fc arsenal,premier league,1,england,out,lucas perez,29,spain,fc arsenal,england,CF,attacker,80,80,west ham united,premier league,1,england,3.96,6.75,696,37,1.0,0.81,9,8,2958,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
fc arsenal,premier league,1,england,out,joel campbell,26,costa rica,fc arsenal,england,RW,attacker,77,80,frosinone calcio,serie a,1,italy,1.35,2.7,323,9,0.6,1.78,2,1,232,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
fc arsenal,premier league,1,england,out,chuba akpom,22,england,fc arsenal,england,CF,attacker,67,74,paok thessaloniki,super league,1,greece,0.9,1.08,337,24,0.75,1.46,8,2,1741,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
fc burnley,premier league,1,england,in,ben gibson,25,england,fc middlesbrough,england,CB,defender,73,80,fc middlesbrough,championship,2,england,15.21,9.0,1065,51,0.96,1.63,1,3,4545,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
fc burnley,premier league,1,england,in,matej vydra,26,czech republic,derby county,england,CF,attacker,74,77,derby county,championship,2,england,10.98,7.2,698,44,0.92,1.7,22,4,2878,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
fc burnley,premier league,1,england,in,joe hart,31,england,manchester city,england,GK,keeper,78,78,manchester city,premier league,1,england,3.51,9.0,333,23,0.55,0.83,0,0,2100,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
fc burnley,premier league,1,england,out,sam vokes,29,wales,fc burnley,england,CF,attacker,76,76,stoke city,championship,2,england,7.2,5.4,884,32,0.8,1.25,4,2,1140,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
fc everton,premier league,1,england,in,richarlison,21,brazil,fc watford,england,LW,attacker,76,86,fc watford,premier league,1,england,35.28,22.5,1442,41,1.0,1.07,5,5,3028,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
fc everton,premier league,1,england,in,yerry mina,23,colombia,fc barcelona,spain,CB,defender,80,87,fc barcelona,primera division,1,spain,27.23,18.0,1791,6,0.46,1.83,0,1,377,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
fc everton,premier league,1,england,in,lucas digne,25,france,fc barcelona,spain,LB,defender,79,84,fc barcelona,primera division,1,spain,18.18,13.5,1069,20,0.43,2.1,1,2,1337,3,0.43,2.33,1,0,270,0,0,0,0,0,0,2018/2019
fc everton,premier league,1,england,out,davy klaassen,25,netherlands,fc everton,england,CM,midfielder,80,83,sv werder bremen,1 bundesliga,1,germany,12.15,13.5,1439,17,0.74,1.76,0,1,890,0,0,0,0,0,0,5,0.83,0.8,0,0,243,2018/2019
fc everton,premier league,1,england,out,ramiro funes mori,27,argentina,fc everton,england,CB,defender,77,80,fc villarreal,primera division,1,spain,8.1,9.0,736,6,0.67,1.33,0,0,253,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
fc everton,premier league,1,england,out,tyias browning,24,england,fc everton,england,CB,defender,69,77,guangzhou evergrande f c ,chinese super league,1,china,4.14,0.9,134,29,0.91,0.9,0,0,2423,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
leicester city,premier league,1,england,in,james maddison,21,england,norwich city,england,AM,midfielder,75,82,norwich city,championship,2,england,22.5,9.0,371,49,0.96,1.35,15,11,4112,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
leicester city,premier league,1,england,in,ricardo pereira,24,portugal,fc porto,portugal,RB,defender,81,86,fc porto,primeira liga,1,portugal,19.8,18.0,371,43,0.91,2.35,2,7,3563,7,0.88,1.57,0,2,551,0,0,0,0,0,0,2018/2019
leicester city,premier league,1,england,in,caglar soyuncu,22,turkey,sc freiburg,germany,CB,defender,74,83,sc freiburg,1 bundesliga,1,germany,18.99,16.2,1061,30,0.88,1.07,1,0,2439,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
leicester city,premier league,1,england,in,filip benkovic,21,croatia,gnk dinamo zagreb,croatia,CB,defender,NA,NA,gnk dinamo zagreb,1 hnl,1,croatia,13.05,9.9,1426,30,0.97,2.1,4,1,2576,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
leicester city,premier league,1,england,in,danny ward,25,wales,fc liverpool,england,GK,keeper,70,78,fc liverpool,premier league,1,england,12.6,2.25,1081,4,0.57,1.5,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
leicester city,premier league,1,england,in,rachid ghezzal,26,algeria,as monaco,france,RW,attacker,75,76,as monaco,ligue 1,1,france,12.6,3.6,1065,35,0.88,1.77,2,4,1352,4,1.0,0.25,0,0,143,0,0,0,0,0,0,2018/2019
leicester city,premier league,1,england,in,jonny evans,30,northern ireland,west bromwich albion,england,CB,defender,79,79,west bromwich albion,championship,2,england,3.6,13.5,371,31,0.97,0.65,2,1,2542,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
leicester city,premier league,1,england,out,riyad mahrez,27,algeria,leicester city,england,RW,attacker,84,84,manchester city,premier league,1,england,61.02,45.0,726,41,0.93,1.34,13,13,3339,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
leicester city,premier league,1,england,out,ahmed musa,25,nigeria,leicester city,england,LW,attacker,75,78,al nasr riad,saudi professional league,1,saudi arabia,14.85,13.5,703,23,0.88,1.96,9,6,2003,0,0,0,0,0,0,6,1.0,1.33,1,0,513,2018/2019
leicester city,premier league,1,england,out,vicente iborra,30,spain,leicester city,england,CM,midfielder,81,81,fc villarreal,primera division,1,spain,9.0,8.1,908,27,0.73,1.67,4,2,2154,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
newcastle united,premier league,1,england,in,miguel almiron,24,paraguay,atlanta united fc,united states,AM,midfielder,80,84,atlanta united fc,major league soccer,1,united states,21.6,13.5,706,38,0.97,2.05,13,13,3248,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
newcastle united,premier league,1,england,in,yoshinori muto,26,japan,1 fsv mainz 05,germany,CF,attacker,76,81,1 fsv mainz 05,1 bundesliga,1,germany,9.63,5.4,338,30,1.0,1.3,10,5,2066,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
newcastle united,premier league,1,england,in,mikel merino,22,spain,borussia dortmund,germany,CM,midfielder,NA,NA,borussia dortmund,1 bundesliga,1,germany,6.3,9.0,1101,25,0.78,1.0,1,1,1424,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
newcastle united,premier league,1,england,in,federico fernandez,29,argentina,swansea city,england,CB,defender,77,77,swansea city,championship,2,england,6.03,7.2,696,34,0.81,1.12,1,1,2933,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
newcastle united,premier league,NA,england,in,martin dubravka,29,slovakia,ac sparta prag,czech republic,GK,keeper,75,77,ac sparta prag,fortuna liga meisterrunde,NA,czech republic,3.6,3.6,736,27,0.84,1.48,0,0,2460,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
newcastle united,premier league,1,england,in,fabian schar,26,switzerland,deportivo la coruna,spain,CB,defender,77,81,deportivo la coruna,segunda division,2,spain,3.6,2.7,1075,27,0.75,0.93,2,2,2401,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
