club,club_league,club_league_tier,club_country,transfer_movement,player_name,player_age,player_nationality,player_club,player_club_country,player_position,player_position_category,player_rating,player_potential,club_involved,club_involved_league,club_involved_league_tier,club_involved_country,transfer_fee,market_value,remaining_contract_duration,total_apps,total_apps_ratio,total_minutes_per_point,total_goals,total_assists,total_minutes_played,ucl_apps,ucl_apps_ratio,ucl_minutes_per_point,ucl_goals,ucl_assists,ucl_minutes_played,el_apps,el_apps_ratio,el_minutes_per_point,el_goals,el_assists,el_minutes_played,season
as rom,serie a,NA,italy,in,robin olsen,28,sweden,fc kopenhagen,denmark,GK,keeper,73,75,fc kopenhagen,alka superligaen meisterrunde,NA,denmark,8.1,2.25,712,37,0.9,1.41,0,0,3278,0,0,0,0,0,0,6,0.86,1.33,0,0,540,2018/2019
as rom,serie a,1,italy,out,lukasz skorupski,27,poland,as rom,italy,GK,keeper,76,79,fc bologna,serie a,1,italy,8.1,6.3,1101,2,0.04,1.5,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
ac florenz,serie a,1,italy,in,alban lafont,19,france,fc toulouse,france,GK,keeper,77,89,fc toulouse,ligue 1,1,france,7.2,16.2,734,44,1,1.18,0,0,3960,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
juventus turin,serie a,1,italy,out,medhi benatia,31,morocco,juventus turin,italy,CB,defender,85,85,lekhwiya sports club,qatar stars league,1,qatar,7.2,13.5,522,32,0.68,2.41,4,0,2637,8,1,2.13,0,0,565,0,0,0,0,0,0,2018/2019
uc sampdoria,serie a,1,italy,in,omar colley,25,the gambia,krc genk,belgium,CB,defender,NA,NA,krc genk,jupiler pro league,1,belgium,7.2,4.5,371,43,0.98,1.53,1,0,3960,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
udinese calcio,serie a,1,italy,in,ignacio pussetto,22,argentina,club atletico huracan,argentina,RW,attacker,72,83,club atletico huracan,primera division,1,argentina,7.2,6.3,719,27,1,1.78,9,7,2378,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
lazio rom,serie a,1,italy,in,valon berisha,25,kosovo,red bull salzburg,austria,CM,midfielder,NA,NA,red bull salzburg,bundesliga,1,austria,6.84,9,733,45,0.92,2.16,13,11,3863,0,0,0,0,0,0,13,1,1.92,5,1,1138,2018/2019
juventus turin,serie a,1,italy,in,andrea favilli,21,italy,ascoli calcio,italy,CF,attacker,68,80,ascoli calcio,serie b,2,italy,6.75,3.6,1466,14,1,0.86,8,1,1153,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
lazio rom,serie a,1,italy,in,riza durmisi,24,denmark,real betis sevilla,spain,LB,defender,73,80,real betis sevilla,primera division,1,spain,6.75,4.5,1101,25,0.69,1.36,2,4,2144,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
uc sampdoria,serie a,1,italy,in,ronaldo vieira,20,england,leeds united,england,CM,midfielder,70,83,leeds united,championship,2,england,6.39,4.5,1069,32,0.78,1.47,1,3,2338,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
atalanta bergamo,serie a,1,italy,in,davide bettella,18,italy,inter mailand,italy,CB,defender,NA,NA,inter mailand,serie a,1,italy,6.3,-,1466,33,0.82,2,1,0,2825,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
fc bologna,serie a,1,italy,in,diego falcinelli,27,italy,us sassuolo,italy,CF,attacker,74,75,us sassuolo,serie a,1,italy,6.3,3.42,1462,35,0.85,1.37,3,1,1960,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
fc bologna,serie a,1,italy,out,federico di francesco,24,italy,fc bologna,italy,LW,attacker,76,83,us sassuolo,serie a,1,italy,6.3,3.15,1097,25,0.81,0.84,1,3,1688,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
fc empoli,serie a,1,italy,out,jacob rasmussen,21,denmark,fc empoli,italy,CB,defender,65,78,ac florenz,serie a,1,italy,6.3,0.81,1250,20,0.65,2.05,0,3,1460,0,0,0,0,0,0,5,0.83,1,0,1,352,2018/2019
ac florenz,serie a,1,italy,in,jacob rasmussen,21,denmark,fc empoli,italy,CB,defender,65,78,fc empoli,serie a,1,italy,6.3,0.81,1250,20,0.65,2.05,0,3,1460,0,0,0,0,0,0,5,0.83,1,0,1,352,2018/2019
ac florenz,serie a,1,italy,out,khouma babacar,25,senegal,ac florenz,italy,CF,attacker,76,80,us sassuolo,serie a,1,italy,6.3,7.2,371,31,0.78,1.26,7,4,1335,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
inter mailand,serie a,1,italy,out,davide bettella,18,italy,inter mailand,italy,CB,defender,NA,NA,atalanta bergamo,serie a,1,italy,6.3,-,1466,33,0.82,2,1,0,2825,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
ac mailand,serie a,1,italy,out,carlos bacca,31,colombia,ac mailand,italy,CF,attacker,82,82,fc villarreal,primera division,1,spain,6.3,9,688,43,0.96,1.65,18,7,3119,0,0,0,0,0,0,6,0.86,1.33,2,1,484,2018/2019
us sassuolo,serie a,1,italy,in,khouma babacar,25,senegal,ac florenz,italy,CF,attacker,76,80,ac florenz,serie a,1,italy,6.3,7.2,371,31,0.78,1.26,7,4,1335,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
us sassuolo,serie a,1,italy,in,federico di francesco,24,italy,fc bologna,italy,LW,attacker,76,83,fc bologna,serie a,1,italy,6.3,3.15,1097,25,0.81,0.84,1,3,1688,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
us sassuolo,serie a,1,italy,out,diego falcinelli,27,italy,us sassuolo,italy,CF,attacker,74,75,fc bologna,serie a,1,italy,6.3,3.42,1462,35,0.85,1.37,3,1,1960,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
fc bologna,serie a,NA,italy,in,federico santander,27,paraguay,fc kopenhagen,denmark,CF,attacker,73,74,fc kopenhagen,alka superligaen meisterrunde,NA,denmark,5.85,1.8,736,32,0.94,1.66,14,5,2238,0,0,0,0,0,0,2,1,1.5,0,0,110,2018/2019
