club,club_league,club_league_tier,club_country,transfer_movement,player_name,player_age,player_nationality,player_club,player_club_country,player_position,player_position_category,player_rating,player_potential,club_involved,club_involved_league,club_involved_league_tier,club_involved_country,transfer_fee,market_value,remaining_contract_duration,total_apps,total_apps_ratio,total_minutes_per_point,total_goals,total_assists,total_minutes_played,ucl_apps,ucl_apps_ratio,ucl_minutes_per_point,ucl_goals,ucl_assists,ucl_minutes_played,el_apps,el_apps_ratio,el_minutes_per_point,el_goals,el_assists,el_minutes_played,season
fc bayern munchen,1 bundesliga,1,germany,in,lucas hernandez,23,france,atletico madrid,spain,CB,defender,83,89,atletico madrid,primera division,1,spain,72.0,63.0,1831,22.0,0.92,2.14,1.0,0,1770,5.0,1.0,2.4,0,0,450,0,0,0,0,0,0,2019/2020
fc bayern munchen,1 bundesliga,1,germany,in,benjamin pavard,23,france,vfb stuttgart,germany,RB,defender,79,85,vfb stuttgart,2 bundesliga,2,germany,31.5,27.0,736,31.0,0.97,0.87,0,0,2786,0,0,0,0,0,0,0,0,0,0,0,0,2019/2020
fc bayern munchen,1 bundesliga,1,germany,in,michael cuisance,20,france,borussia monchengladbach,germany,CM,midfielder,72,85,borussia monchengladbach,1 bundesliga,1,germany,10.8,4.5,1417,14.0,0.47,1.29,1.0,2.0,402,0,0,0,0,0,0,0,0,0,0,0,0,2019/2020
fc bayern munchen,1 bundesliga,1,germany,in,fiete arp,19,germany,hamburger sv,germany,CF,attacker,68,86,hamburger sv,2 bundesliga,2,germany,2.7,3.6,371,27.0,0.77,2.0,5.0,2.0,1345,0,0,0,0,0,0,0,0,0,0,0,0,2019/2020
fc bayern munchen,1 bundesliga,1,germany,out,mats hummels,30,germany,fc bayern munchen,germany,CB,defender,88,88,borussia dortmund,1 bundesliga,1,germany,27.45,31.5,736,33.0,0.79,2.21,2.0,2.0,2849,6.0,0.86,1.83,1.0,0,540,0,0,0,0,0,0,2019/2020
fc bayern munchen,1 bundesliga,1,germany,out,renato sanches,22,portugal,fc bayern munchen,germany,CM,midfielder,75,84,osc lille,ligue 1,1,france,18.0,16.2,682,24.0,0.57,1.96,2.0,3.0,782,6.0,0.75,1.83,1.0,0,125,0,0,0,0,0,0,2019/2020
fc bayern munchen,1 bundesliga,1,germany,out,marco friedl,21,austria,fc bayern munchen,germany,CB,defender,67,78,sv werder bremen,1 bundesliga,1,germany,3.15,2.25,736,9.0,0.23,2.22,0,1.0,682,0,0,0,0,0,0,0,0,0,0,0,0,2019/2020
borussia dortmund,1 bundesliga,1,germany,in,mats hummels,30,germany,fc bayern munchen,germany,CB,defender,88,88,fc bayern munchen,1 bundesliga,1,germany,27.45,31.5,736,33.0,0.79,2.21,2.0,2.0,2849,6.0,0.86,1.83,1.0,0,540,0,0,0,0,0,0,2019/2020
borussia dortmund,1 bundesliga,1,germany,in,thorgan hazard,26,belgium,borussia monchengladbach,germany,LW,attacker,82,83,borussia monchengladbach,1 bundesliga,1,germany,22.95,34.2,371,35.0,1.0,1.66,13.0,13.0,3058,0,0,0,0,0,0,0,0,0,0,0,0,2019/2020
borussia dortmund,1 bundesliga,1,germany,in,nico schulz,26,germany,tsg 1899 hoffenheim,germany,LB,defender,81,82,tsg 1899 hoffenheim,1 bundesliga,1,germany,22.95,22.5,736,37.0,0.97,1.3,2.0,9.0,3139,5.0,1.0,0.6,0,1.0,445,0,0,0,0,0,0,2019/2020
borussia dortmund,1 bundesliga,1,germany,in,julian brandt,23,germany,bayer 04 leverkusen,germany,CM,midfielder,83,88,bayer 04 leverkusen,1 bundesliga,1,germany,22.5,45.0,736,43.0,0.98,1.74,10.0,17.0,3337,0,0,0,0,0,0,7.0,1.0,2.0,1.0,2.0,408,2019/2020
borussia dortmund,1 bundesliga,1,germany,in,paco alcacer,25,spain,fc barcelona,spain,CF,attacker,82,85,fc barcelona,primera division,1,spain,18.9,33.3,736,32.0,0.91,2.13,19.0,2.0,1664,5.0,1.0,1.4,1.0,1.0,356,0,0,0,0,0,0,2019/2020
borussia dortmund,1 bundesliga,1,germany,in,erling haaland,19,norway,red bull salzburg,austria,CF,attacker,68,85,red bull salzburg,bundesliga,1,austria,18.0,40.5,1279,10.0,0.71,2.1,5.0,1.0,555,0,0,0,0,0,0,1.0,0.33,3.0,0,0,4,2019/2020
borussia dortmund,1 bundesliga,1,germany,out,abdou diallo,23,france,borussia dortmund,germany,CB,defender,79,86,fc paris saint germain,ligue 1,1,france,28.8,31.5,1450,38.0,1.0,2.03,1.0,1.0,3257,7.0,1.0,1.86,0,0,620,0,0,0,0,0,0,2019/2020
borussia dortmund,1 bundesliga,1,germany,out,paco alcacer,26,spain,borussia dortmund,germany,CF,attacker,82,85,fc villarreal,primera division,1,spain,20.7,37.8,1250,32.0,0.91,2.13,19.0,2.0,1664,5.0,1.0,1.4,1.0,1.0,356,0,0,0,0,0,0,2019/2020
borussia dortmund,1 bundesliga,1,germany,out,julian weigl,24,germany,borussia dortmund,germany,DM,midfielder,80,84,benfica lissabon,primeira liga,1,portugal,18.0,20.7,549,25.0,0.68,2.08,1.0,0,2073,4.0,0.67,2.25,0,0,289,0,0,0,0,0,0,2019/2020
