club,club_league,club_league_tier,club_country,transfer_movement,player_name,player_age,player_nationality,player_club,player_club_country,player_position,player_position_category,player_rating,player_potential,club_involved,club_involved_league,club_involved_league_tier,club_involved_country,transfer_fee,market_value,remaining_contract_duration,total_apps,total_apps_ratio,total_minutes_per_point,total_goals,total_assists,total_minutes_played,ucl_apps,ucl_apps_ratio,ucl_minutes_per_point,ucl_goals,ucl_assists,ucl_minutes_played,el_apps,el_apps_ratio,el_minutes_per_point,el_goals,el_assists,el_minutes_played,season
ac florenz,serie a,1,italy,out,juan cuadrado,26,colombia,ac florenz,italy,RW,attacker,82,83,fc chelsea,premier league,1,england,27.9,28.8,1612,43,0.93,1.74,15,11,3435,0,0,0,0,0,0,8,0.89,2,3,3,532,2014/2015
as rom,serie a,1,italy,out,medhi benatia,27,morocco,as rom,italy,CB,defender,85,87,fc bayern munchen,1 bundesliga,1,germany,25.2,25.2,1408,37,1,2.19,5,0,3131,0,0,0,0,0,0,0,0,0,0,0,0,2014/2015
hellas verona,serie a,1,italy,out,juan iturbe,21,paraguay,hellas verona,italy,RW,attacker,NA,NA,as rom,serie a,1,italy,22.05,18,0,34,0.92,1.44,8,5,2518,0,0,0,0,0,0,0,0,0,0,0,0,2014/2015
as rom,serie a,1,italy,in,juan iturbe,21,paraguay,hellas verona,italy,RW,attacker,NA,NA,hellas verona,serie a,1,italy,22.05,18,0,34,0.92,1.44,8,5,2518,0,0,0,0,0,0,0,0,0,0,0,0,2014/2015
juventus turin,serie a,1,italy,in,alvaro morata,21,spain,real madrid,spain,CF,attacker,76,82,real madrid,primera division,1,spain,18,10.8,352,34,0.63,2.35,9,1,969,5,0.45,3,1,1,173,0,0,0,0,0,0,2014/2015
ac mailand,serie a,1,italy,out,mario balotelli,24,italy,ac mailand,italy,CF,attacker,83,90,fc liverpool,premier league,1,england,18,24.3,1045,41,1,1.41,18,7,3161,8,1,1.13,2,1,597,0,0,0,0,0,0,2014/2015
fc turin,serie a,1,italy,out,ciro immobile,24,italy,fc turin,italy,CF,attacker,80,86,borussia dortmund,1 bundesliga,1,germany,16.65,16.2,0,34,1,1.44,23,3,2679,0,0,0,0,0,0,0,0,0,0,0,0,2014/2015
cagliari calcio,serie a,1,italy,out,radja nainggolan,26,belgium,cagliari calcio,italy,AM,midfielder,80,82,as rom,serie a,1,italy,13.5,16.2,0,38,0.97,1.82,4,3,3282,0,0,0,0,0,0,0,0,0,0,0,0,2014/2015
hellas verona,serie a,1,italy,in,juan iturbe,21,paraguay,fc porto,portugal,RW,attacker,NA,NA,fc porto,primeira liga,1,portugal,13.5,9,736,34,0.92,1.44,8,5,2518,0,0,0,0,0,0,0,0,0,0,0,0,2014/2015
as rom,serie a,1,italy,in,radja nainggolan,26,belgium,cagliari calcio,italy,AM,midfielder,80,82,cagliari calcio,serie a,1,italy,13.5,16.2,0,38,0.97,1.82,4,3,3282,0,0,0,0,0,0,0,0,0,0,0,0,2014/2015
as rom,serie a,1,italy,in,konstantinos manolas,23,greece,olympiakos piraus,greece,CB,defender,75,80,olympiakos piraus,super league,1,greece,13.5,5.4,679,37,0.84,2.16,5,0,3224,7,0.88,1.86,2,0,630,0,0,0,0,0,0,2014/2015
fc turin,serie a,1,italy,out,alessio cerci,27,italy,fc turin,italy,RW,attacker,81,84,atletico madrid,primera division,1,spain,13.5,16.2,0,38,1,1.47,13,11,3042,0,0,0,0,0,0,0,0,0,0,0,0,2014/2015
as rom,serie a,1,italy,in,seydou doumbia,27,cote d\'ivoire,zska moskau,russia,CF,attacker,NA,NA,zska moskau,premier liga,1,russia,12.96,22.5,519,27,1,2.37,20,9,2023,2,1,0,2,0,180,0,0,0,0,0,0,2014/2015
ssc neapel,serie a,1,italy,in,manolo gabbiadini,23,italy,uc sampdoria,italy,CF,attacker,76,83,uc sampdoria,serie a,1,italy,11.25,10.8,0,35,0.97,1.34,10,4,2818,0,0,0,0,0,0,0,0,0,0,0,0,2014/2015
uc sampdoria,serie a,1,italy,out,manolo gabbiadini,23,italy,uc sampdoria,italy,CF,attacker,76,83,ssc neapel,serie a,1,italy,11.25,10.8,0,35,0.97,1.34,10,4,2818,0,0,0,0,0,0,0,0,0,0,0,0,2014/2015
us palermo,serie a,1,italy,out,abel hernandez,24,uruguay,us palermo,italy,CF,attacker,72,81,hull city,premier league,1,england,10.8,4.5,673,30,0.97,1.8,14,2,2079,0,0,0,0,0,0,0,0,0,0,0,0,2014/2015
fc genua 1893,serie a,1,italy,out,stefano sturaro,21,italy,fc genua 1893,italy,CM,midfielder,68,75,juventus turin,serie a,1,italy,9.54,0.27,0,16,0.53,1.19,1,2,1114,0,0,0,0,0,0,0,0,0,0,0,0,2014/2015
juventus turin,serie a,1,italy,in,stefano sturaro,21,italy,fc genua 1893,italy,CM,midfielder,68,75,fc genua 1893,serie a,1,italy,9.54,0.27,0,16,0.53,1.19,1,2,1114,0,0,0,0,0,0,0,0,0,0,0,0,2014/2015
ssc neapel,serie a,1,italy,out,federico fernandez,25,argentina,ssc neapel,italy,CB,defender,75,80,swansea city,premier league,1,england,9,4.5,685,36,0.77,2.06,0,1,3110,5,1,1.8,0,0,367,1,0.5,1,0,0,90,2014/2015
uc sampdoria,serie a,1,italy,in,joaquin correa,20,argentina,estudiantes de la plata,argentina,SS,attacker,67,75,estudiantes de la plata,primera division,1,argentina,7.56,7.2,0,32,1,1.56,3,2,2020,0,0,0,0,0,0,0,0,0,0,0,0,2014/2015
inter mailand,serie a,1,italy,in,gary medel,27,chile,cardiff city,england,DM,midfielder,76,76,cardiff city,championship,2,england,7.2,9.9,1057,35,0.97,0.86,0,1,2918,0,0,0,0,0,0,0,0,0,0,0,0,2014/2015
uc sampdoria,serie a,1,italy,out,shkodran mustafi,22,germany,uc sampdoria,italy,CB,defender,76,80,fc valencia,primera division,1,spain,7.2,6.3,0,35,0.92,1.26,1,1,2934,0,0,0,0,0,0,0,0,0,0,0,0,2014/2015
udinese calcio,serie a,1,italy,out,odion ighalo,25,nigeria,udinese calcio,italy,CF,attacker,72,76,fc watford,championship,2,england,7.2,1.8,0,18,0.78,0.72,4,0,556,0,0,0,0,0,0,0,0,0,0,0,0,2014/2015
udinese calcio,serie a,1,italy,out,charles aranguiz,25,chile,udinese calcio,italy,CM,midfielder,75,80,sc internacional porto alegre,campeonato brasileiro serie a,1,brazil,7.2,2.7,689,38,1,1.87,13,4,3331,0,0,0,0,0,0,0,0,0,0,0,0,2014/2015
ssc neapel,serie a,1,italy,in,kalidou koulibaly,23,senegal,krc genk,belgium,CB,defender,NA,NA,krc genk,jupiler pro league,1,belgium,6.98,5.85,736,46,1,1.63,2,1,4017,0,0,0,0,0,0,9,1,2,0,0,789,2014/2015
as rom,serie a,1,italy,in,mapou yanga mbiwa,25,france,newcastle united,england,CB,defender,76,81,newcastle united,premier league,1,england,6.62,5.4,1253,26,0.63,1.23,0,0,1797,0,0,0,0,0,0,0,0,0,0,0,0,2014/2015
atalanta bergamo,serie a,1,italy,out,giacomo bonaventura,25,italy,atalanta bergamo,italy,CM,midfielder,79,85,ac mailand,serie a,1,italy,6.3,9,0,31,0.91,1.48,5,4,2520,0,0,0,0,0,0,0,0,0,0,0,0,2014/2015
lazio rom,serie a,1,italy,in,stefan de vrij,22,netherlands,feyenoord rotterdam,netherlands,CB,defender,75,81,feyenoord rotterdam,eredivisie,1,netherlands,6.3,5.4,341,35,0.97,1.91,4,1,3116,0,0,0,0,0,0,2,1,0,0,0,180,2014/2015
ac mailand,serie a,1,italy,in,giacomo bonaventura,25,italy,atalanta bergamo,italy,CM,midfielder,79,85,atalanta bergamo,serie a,1,italy,6.3,9,0,31,0.91,1.48,5,4,2520,0,0,0,0,0,0,0,0,0,0,0,0,2014/2015
as rom,serie a,1,italy,out,tin jedvaj,19,croatia,as rom,italy,CB,defender,66,78,bayer 04 leverkusen,1 bundesliga,1,germany,6.3,5.85,1260,9,0.21,2.67,1,0,639,0,0,0,0,0,0,0,0,0,0,0,0,2014/2015
