club,club_league,club_league_tier,club_country,transfer_movement,player_name,player_age,player_nationality,player_club,player_club_country,player_position,player_position_category,player_rating,player_potential,club_involved,club_involved_league,club_involved_league_tier,club_involved_country,transfer_fee,market_value,remaining_contract_duration,total_apps,total_apps_ratio,total_minutes_per_point,total_goals,total_assists,total_minutes_played,ucl_apps,ucl_apps_ratio,ucl_minutes_per_point,ucl_goals,ucl_assists,ucl_minutes_played,el_apps,el_apps_ratio,el_minutes_per_point,el_goals,el_assists,el_minutes_played,season
benfica lissabon,primeira liga,1,portugal,in,pizzi,23,portugal,atletico madrid,spain,RM,midfielder,74,82,atletico madrid,primera division,1,spain,12.6,5.4,1075,36,1.0,0.97,8,7,3160,0,0,0,0,0,0,0,0,0,0,0,0,2013/2014
benfica lissabon,primeira liga,1,portugal,in,lazar markovic,19,serbia,fk partizan belgrad,serbia,RW,attacker,NA,NA,fk partizan belgrad,superliga,1,serbia,9.0,6.3,0,31,1.0,2.0,7,10,2247,0,0,0,0,0,0,8,1.0,0.75,0,2,630,2013/2014
benfica lissabon,primeira liga,1,portugal,in,roberto,27,spain,real saragossa,spain,GK,keeper,78,84,real saragossa,segunda division,2,spain,7.74,3.6,0,33,0.85,0.97,0,0,2970,0,0,0,0,0,0,0,0,0,0,0,0,2013/2014
benfica lissabon,primeira liga,1,portugal,in,filip djuricic,21,serbia,sc heerenveen,netherlands,AM,midfielder,77,85,sc heerenveen,eredivisie,1,netherlands,7.2,6.3,0,37,1.0,1.22,10,7,3172,0,0,0,0,0,0,2,1.0,0,0,0,180,2013/2014
benfica lissabon,primeira liga,1,portugal,in,ljubomir fejsa,25,serbia,olympiakos piraus,greece,DM,midfielder,72,78,olympiakos piraus,super league,1,greece,4.05,2.25,681,27,0.79,2.56,1,0,1973,2,0.4,3.0,0,0,63,2,1.0,0,0,0,180,2013/2014
benfica lissabon,primeira liga,NA,portugal,in,lisandro lopez,23,argentina,arsenal de sarandi fc,argentina,CB,defender,NA,NA,arsenal de sarandi fc,torneo final,1,argentina,3.6,6.3,0,40,0.98,1.63,7,0,3534,0,0,0,0,0,0,0,0,0,0,0,0,2013/2014
benfica lissabon,primeira liga,NA,portugal,in,luis farina,22,argentina,racing club de avellaneda,argentina,AM,midfielder,NA,NA,racing club de avellaneda,torneo final,1,argentina,2.29,2.7,0,28,0.8,1.64,4,1,1574,0,0,0,0,0,0,0,0,0,0,0,0,2013/2014
benfica lissabon,primeira liga,NA,portugal,in,rogelio funes mori,22,argentina,club atletico river plate,argentina,CF,attacker,70,81,club atletico river plate,torneo final,1,argentina,1.8,1.8,0,32,0.86,1.59,6,2,2281,0,0,0,0,0,0,0,0,0,0,0,0,2013/2014
benfica lissabon,primeira liga,1,portugal,in,stefan mitrovic,23,serbia,kv kortrijk,belgium,CB,defender,68,74,kv kortrijk,jupiler pro league,1,belgium,0.99,0.99,736,28,0.72,1.46,3,0,2018,0,0,0,0,0,0,0,0,0,0,0,0,2013/2014
benfica lissabon,primeira liga,1,portugal,out,nemanja matic,25,serbia,benfica lissabon,portugal,DM,midfielder,80,85,fc chelsea,premier league,1,england,22.5,24.3,1630,46,1.0,2.28,5,1,3988,5,1.0,1.0,0,0,437,8,1.0,2.0,1,0,720,2013/2014
benfica lissabon,primeira liga,1,portugal,out,roberto,27,spain,benfica lissabon,portugal,GK,keeper,78,84,atletico madrid,primera division,1,spain,5.4,3.6,1441,33,0.85,0.97,0,0,2970,0,0,0,0,0,0,0,0,0,0,0,0,2013/2014
benfica lissabon,primeira liga,1,portugal,out,lorenzo melgarejo,23,paraguay,benfica lissabon,portugal,LW,attacker,73,80,kuban krasnodar,premier liga,1,russia,4.5,5.85,1037,40,0.87,2.18,2,5,3588,6,1.0,1.33,0,1,540,8,0.89,2.0,0,1,696,2013/2014
benfica lissabon,primeira liga,1,portugal,out,rodrigo mora,25,uruguay,benfica lissabon,portugal,CF,attacker,74,77,club atletico river plate,torneo final,NA,argentina,3.15,2.25,1060,33,0.94,1.7,7,1,1981,0,0,0,0,0,0,0,0,0,0,0,0,2013/2014
benfica lissabon,primeira liga,1,portugal,out,nolito,26,spain,benfica lissabon,portugal,LW,attacker,76,79,celta vigo,primera division,1,spain,2.34,6.3,1101,32,0.84,1.69,4,2,2122,3,0.6,0.67,0,0,85,0,0,0,0,0,0,2013/2014
benfica lissabon,primeira liga,1,portugal,out,djaniny,22,cape verde,benfica lissabon,portugal,CF,attacker,68,76,cd nacional,primeira liga,1,portugal,1.08,0.72,1450,22,0.92,0.82,1,0,1124,0,0,0,0,0,0,0,0,0,0,0,0,2013/2014
sporting lissabon,primeira liga,1,portugal,in,heldon,25,cape verde,cs maritimo,portugal,LW,attacker,72,75,cs maritimo,primeira liga,1,portugal,0.9,2.34,0,32,0.94,1.22,5,0,2034,0,0,0,0,0,0,7,1.0,1.57,2,0,383,2013/2014
sporting lissabon,primeira liga,1,portugal,in,jefferson,24,brazil,gd estoril praia,portugal,LB,defender,72,77,gd estoril praia,primeira liga,1,portugal,0.72,0.72,0,32,0.94,1.53,5,3,2603,0,0,0,0,0,0,0,0,0,0,0,0,2013/2014
sporting lissabon,primeira liga,1,portugal,in,mauricio,24,brazil,sport club do recife,brazil,CB,defender,71,76,sport club do recife,campeonato brasileiro serie b,2,brazil,0.405,-,0,3,0.5,2.0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,2013/2014
sporting lissabon,primeira liga,1,portugal,in,islam slimani,25,algeria,cr belouizdad,algeria,CF,attacker,NA,NA,cr belouizdad,ligue professionnelle 1,1,algeria,0.27,0.675,0,17,1.0,1.47,6,1,1471,0,0,0,0,0,0,0,0,0,0,0,0,2013/2014
sporting lissabon,primeira liga,1,portugal,in,shikabala,27,egypt,zamalek sc,egypt,RW,attacker,NA,NA,zamalek sc,egyptian premier league,1,egypt,0.171,1.35,0,15,1.0,1.87,6,6,1207,0,0,0,0,0,0,0,0,0,0,0,0,2013/2014
sporting lissabon,primeira liga,1,portugal,out,bruma,18,portugal,sporting lissabon,portugal,LW,attacker,71,85,galatasaray istanbul,super lig,1,turkey,11.7,2.25,306,38,1.0,1.79,7,6,3086,0,0,0,0,0,0,0,0,0,0,0,0,2013/2014
sporting lissabon,primeira liga,1,portugal,out,ricky van wolfswinkel,24,netherlands,sporting lissabon,portugal,CF,attacker,75,80,norwich city,premier league,1,england,9.0,9.45,1101,41,0.98,1.27,20,2,3690,0,0,0,0,0,0,7,0.88,0.86,3,0,600,2013/2014
sporting lissabon,primeira liga,1,portugal,out,tiago ilori,20,portugal,sporting lissabon,portugal,CB,defender,71,79,fc liverpool,premier league,1,england,6.75,1.35,673,32,0.89,1.75,1,0,2784,0,0,0,0,0,0,1,0.5,1.0,0,0,6,2013/2014
sporting lissabon,primeira liga,1,portugal,out,stijn schaars,29,netherlands,sporting lissabon,portugal,DM,midfielder,76,78,psv eindhoven,eredivisie,1,netherlands,0.765,4.5,358,16,0.84,1.19,0,3,982,0,0,0,0,0,0,4,1.0,0.5,0,1,251,2013/2014
sporting lissabon,primeira liga,1,portugal,out,santiago arias,21,colombia,sporting lissabon,portugal,RB,defender,69,82,psv eindhoven,eredivisie,1,netherlands,0.608,1.35,0,30,0.91,1.3,1,5,2506,0,0,0,0,0,0,0,0,0,0,0,0,2013/2014
sporting lissabon,primeira liga,1,portugal,out,gelson fernandes,26,switzerland,sporting lissabon,portugal,DM,midfielder,73,76,sc freiburg,1 bundesliga,1,germany,0.36,2.7,1101,28,0.76,1.21,0,0,2211,0,0,0,0,0,0,6,0.75,1.33,0,0,437,2013/2014
sporting lissabon,primeira liga,1,portugal,out,atila turan,21,turkey,sporting lissabon,portugal,LB,defender,NA,NA,stade reims,ligue 1,1,france,0.027,1.35,1041,24,0.73,1.17,1,1,1798,0,0,0,0,0,0,0,0,0,0,0,0,2013/2014
fc porto,primeira liga,NA,portugal,in,hector herrera,23,mexico,cf pachuca,mexico,CM,midfielder,74,80,cf pachuca,liga mx clausura,1,mexico,9.9,5.4,916,26,1.0,1.31,2,0,2084,0,0,0,0,0,0,0,0,0,0,0,0,2013/2014
fc porto,primeira liga,1,portugal,in,juan fernando quintero,20,colombia,delfino pescara 1936,italy,AM,midfielder,76,86,delfino pescara 1936,serie b,2,italy,9.0,6.3,1453,17,0.74,0.65,1,2,1024,0,0,0,0,0,0,0,0,0,0,0,0,2013/2014
fc porto,primeira liga,NA,portugal,in,diego reyes,20,mexico,cf america,mexico,CB,defender,75,84,cf america,liga mx clausura,1,mexico,6.3,6.3,0,39,0.97,1.97,1,0,3259,0,0,0,0,0,0,0,0,0,0,0,0,2013/2014
fc porto,primeira liga,NA,portugal,in,nabil ghilas,23,algeria,moreirense fc,portugal,CF,attacker,74,81,moreirense fc,segunda liga,1,portugal,3.42,3.33,0,37,1.0,0.89,16,1,3032,0,0,0,0,0,0,0,0,0,0,0,0,2013/2014
fc porto,primeira liga,1,portugal,in,lica,24,portugal,gd estoril praia,portugal,LW,attacker,75,81,gd estoril praia,primeira liga,1,portugal,1.35,2.25,29,35,1.0,1.46,6,3,3054,0,0,0,0,0,0,0,0,0,0,0,0,2013/2014
fc porto,primeira liga,1,portugal,in,carlos eduardo,23,brazil,gd estoril praia,portugal,AM,midfielder,70,77,gd estoril praia,primeira liga,1,portugal,0.81,0.45,0,35,0.97,1.43,4,3,2011,0,0,0,0,0,0,0,0,0,0,0,0,2013/2014
fc porto,primeira liga,1,portugal,in,josue,22,portugal,fc pacos de ferreira,portugal,AM,midfielder,71,78,fc pacos de ferreira,primeira liga,1,portugal,0.45,2.52,736,32,0.84,1.94,4,3,2309,0,0,0,0,0,0,0,0,0,0,0,0,2013/2014
fc porto,primeira liga,1,portugal,out,james rodriguez,21,colombia,fc porto,portugal,AM,midfielder,82,89,as monaco,ligue 1,1,france,40.5,20.7,1101,38,1.0,2.42,12,12,2781,8,1.0,2.0,1,1,614,0,0,0,0,0,0,2013/2014
fc porto,primeira liga,1,portugal,out,joao moutinho,26,portugal,fc porto,portugal,CM,midfielder,83,86,as monaco,ligue 1,1,france,22.5,27.0,736,43,1.0,2.44,5,15,3514,8,1.0,2.0,2,2,660,0,0,0,0,0,0,2013/2014
fc porto,primeira liga,1,portugal,out,lucho gonzalez,33,argentina,fc porto,portugal,CM,midfielder,81,81,al rayyan sports club,qatar stars league,NA,qatar,2.97,4.5,159,44,0.98,2.36,10,7,3447,8,1.0,2.0,2,2,696,0,0,0,0,0,0,2013/2014
fc porto,primeira liga,1,portugal,out,christian atsu,21,ghana,fc porto,portugal,LW,attacker,76,83,fc chelsea,premier league,1,england,2.7,5.4,309,31,0.94,2.23,1,4,1103,8,1.0,2.0,0,1,135,0,0,0,0,0,0,2013/2014
cd nacional,primeira liga,1,portugal,in,djaniny,22,cape verde,benfica lissabon,portugal,CF,attacker,68,76,benfica lissabon,primeira liga,1,portugal,1.08,0.72,1450,22,0.92,0.82,1,0,1124,0,0,0,0,0,0,0,0,0,0,0,0,2013/2014
cd nacional,primeira liga,NA,portugal,in,zainadine junior,25,mozambique,liga muculmana de maputo,mozambique,CB,defender,NA,NA,liga muculmana de maputo,NA,1,mozambique,0.09,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013/2014
sc braga,primeira liga,1,portugal,in,ruben micael,26,portugal,atletico madrid,spain,CM,midfielder,75,78,atletico madrid,primera division,1,spain,2.7,5.4,736,30,0.97,1.5,7,4,1698,5,1.0,0.6,1,1,448,0,0,0,0,0,0,2013/2014
sc braga,primeira liga,1,portugal,in,felipe pardo,22,colombia,independiente medellin,colombia,RW,attacker,NA,NA,independiente medellin,liga postobon ii,1,colombia,0.54,0.675,0,14,1.0,1.29,2,2,1020,0,0,0,0,0,0,0,0,0,0,0,0,2013/2014
sc braga,primeira liga,NA,portugal,in,rafa silva,20,portugal,cd feirense,portugal,LM,midfielder,NA,NA,cd feirense,segunda liga,1,portugal,0.446,-,0,47,0.98,1.45,11,0,3701,0,0,0,0,0,0,0,0,0,0,0,0,2013/2014
sc braga,primeira liga,NA,portugal,in,rodrigo battaglia,22,argentina,racing club de avellaneda,argentina,CM,midfielder,NA,NA,racing club de avellaneda,torneo final,1,argentina,0.072,1.44,0,1,0.5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2013/2014
