club,club_league,club_league_tier,club_country,transfer_movement,player_name,player_age,player_nationality,player_club,player_club_country,player_position,player_position_category,player_rating,player_potential,club_involved,club_involved_league,club_involved_league_tier,club_involved_country,transfer_fee,market_value,remaining_contract_duration,total_apps,total_apps_ratio,total_minutes_per_point,total_goals,total_assists,total_minutes_played,ucl_apps,ucl_apps_ratio,ucl_minutes_per_point,ucl_goals,ucl_assists,ucl_minutes_played,el_apps,el_apps_ratio,el_minutes_per_point,el_goals,el_assists,el_minutes_played,season
atletico madrid,primera division,1,spain,in,johnny heitinga,24,netherlands,ajax amsterdam,netherlands,CB,defender,78,83,ajax amsterdam,eredivisie,1,netherlands,9.0,6.3,0,45,1.0,1.93,9,1,4079,0,0,0,0,0,0,0,0,0,0,0,0,2008/2009
atletico madrid,primera division,1,spain,in,florent sinama pongolle,23,france,recreativo huelva,spain,SS,attacker,79,85,recreativo huelva,primera division,1,spain,9.0,5.4,0,37,1.0,1.14,10,5,2960,0,0,0,0,0,0,0,0,0,0,0,0,2008/2009
atletico madrid,primera division,1,spain,in,paulo assuncao,28,brazil,fc porto,portugal,DM,midfielder,78,80,fc porto,primeira liga,1,portugal,2.7,5.58,0,35,1.0,2.11,0,2,3049,8,1.0,1.38,0,0,741,0,0,0,0,0,0,2008/2009
atletico madrid,primera division,1,spain,in,gregory coupet,35,france,olympique lyon,france,GK,keeper,79,83,olympique lyon,ligue 1,1,france,1.8,5.4,0,30,1.0,2.17,0,0,2730,2,1.0,0.5,0,0,180,0,0,0,0,0,0,2008/2009
atletico madrid,primera division,1,spain,out,mario suarez,21,spain,atletico madrid,spain,DM,midfielder,72,78,rcd mallorca,primera division,1,spain,0.72,0.81,0,26,0.93,1.23,2,0,1311,0,0,0,0,0,0,0,0,0,0,0,0,2008/2009
fc barcelona,primera division,1,spain,in,dani alves,25,brazil,fc sevilla,spain,RB,defender,85,91,fc sevilla,primera division,1,spain,31.95,18.0,1464,48,1.0,1.75,4,18,4163,8,1.0,2.0,2,3,750,0,0,0,0,0,0,2008/2009
fc barcelona,primera division,1,spain,in,aleksandr hleb,27,belarus,fc arsenal,england,AM,midfielder,84,87,fc arsenal,premier league,1,england,15.3,17.1,355,42,0.98,2.07,4,11,3301,7,1.0,2.0,1,4,601,0,0,0,0,0,0,2008/2009
fc barcelona,primera division,1,spain,in,martin caceres,21,uruguay,fc villarreal,spain,CB,defender,81,85,fc villarreal,primera division,1,spain,14.85,5.4,1466,36,1.0,1.22,3,0,3200,0,0,0,0,0,0,0,0,0,0,0,0,2008/2009
fc barcelona,primera division,1,spain,in,seydou keita,28,mali,fc sevilla,spain,CM,midfielder,80,88,fc sevilla,primera division,1,spain,12.6,7.2,0,43,1.0,1.72,7,4,3493,7,1.0,1.86,2,1,595,0,0,0,0,0,0,2008/2009
fc barcelona,primera division,NA,spain,in,henrique,21,brazil,desportivo brasil ltda sp ,brazil,CB,defender,60,62,desportivo brasil ltda sp ,NA,1,brazil,7.2,5.4,0,5,1.0,2.0,1,0,450,0,0,0,0,0,0,0,0,0,0,0,0,2008/2009
fc barcelona,primera division,1,spain,in,gerard pique,21,spain,manchester united,england,CB,defender,NA,NA,manchester united,premier league,1,england,4.5,4.95,0,13,0.52,2.23,2,1,822,3,0.33,2.33,2,0,252,0,0,0,0,0,0,2008/2009
fc barcelona,primera division,1,spain,out,ronaldinho,28,brazil,fc barcelona,spain,AM,midfielder,87,93,ac mailand,serie a,1,italy,21.74,31.5,0,26,0.96,2.0,9,6,1780,8,1.0,2.5,1,4,591,0,0,0,0,0,0,2008/2009
fc barcelona,primera division,1,spain,out,gianluca zambrotta,31,italy,fc barcelona,spain,RB,defender,83,88,ac mailand,serie a,1,italy,9.45,14.4,0,41,0.91,1.63,0,1,3186,7,1.0,2.0,0,0,622,0,0,0,0,0,0,2008/2009
fc barcelona,primera division,1,spain,out,deco,30,portugal,fc barcelona,spain,AM,midfielder,85,90,fc chelsea,premier league,1,england,9.0,16.2,0,29,0.88,1.93,1,10,2089,6,1.0,2.17,0,1,502,0,0,0,0,0,0,2008/2009
fc barcelona,primera division,1,spain,out,giovani dos santos,19,mexico,fc barcelona,spain,SS,attacker,78,92,tottenham hotspur,premier league,1,england,5.4,5.4,0,37,0.79,1.84,4,7,1663,5,0.62,2.6,1,0,134,0,0,0,0,0,0,2008/2009
fc barcelona,primera division,1,spain,out,oleguer,28,spain,fc barcelona,spain,CB,defender,77,80,ajax amsterdam,eredivisie,1,netherlands,2.7,1.44,0,15,0.52,2.2,0,0,912,2,0.5,3.0,0,0,95,0,0,0,0,0,0,2008/2009
fc barcelona,primera division,1,spain,out,marc crosas,20,spain,fc barcelona,spain,DM,midfielder,71,78,celtic glasgow,scottish premiership,1,scotland,0.486,0.9,0,14,0.42,2.21,0,0,463,1,0.33,3.0,0,0,20,0,0,0,0,0,0,2008/2009
real betis sevilla,primera division,1,spain,in,sergio garcia,25,spain,real saragossa,spain,CF,attacker,78,84,real saragossa,segunda division,2,spain,9.0,6.3,0,43,0.98,1.14,6,13,3020,0,0,0,0,0,0,0,0,0,0,0,0,2008/2009
real betis sevilla,primera division,1,spain,in,ricardo oliveira,28,brazil,real saragossa,spain,CF,attacker,79,89,real saragossa,segunda division,2,spain,8.1,10.8,0,43,0.98,1.14,22,4,3204,0,0,0,0,0,0,0,0,0,0,0,0,2008/2009
real betis sevilla,primera division,1,spain,in,achille emana,26,cameroon,fc toulouse,france,AM,midfielder,79,84,fc toulouse,ligue 1,1,france,6.3,7.65,0,39,1.0,1.05,7,2,3484,0,0,0,0,0,0,0,0,0,0,0,0,2008/2009
real betis sevilla,primera division,1,spain,in,nelson,25,portugal,benfica lissabon,portugal,RB,defender,NA,NA,benfica lissabon,primeira liga,1,portugal,5.4,2.88,0,26,0.93,1.46,0,0,2081,2,1.0,1.5,0,0,135,0,0,0,0,0,0,2008/2009
real betis sevilla,primera division,1,spain,in,juanma,27,spain,ud levante,spain,RW,attacker,72,76,ud levante,segunda division,2,spain,1.35,1.08,0,37,1.0,0.7,2,4,2825,0,0,0,0,0,0,0,0,0,0,0,0,2008/2009
real betis sevilla,primera division,1,spain,out,rafael sobis,23,brazil,real betis sevilla,spain,CF,attacker,78,86,al jazira abu dhabi ,NA,NA,united arab emirates,9.45,7.2,0,29,0.78,1.1,4,1,1781,0,0,0,0,0,0,0,0,0,0,0,0,2008/2009
real betis sevilla,primera division,1,spain,out,miguel angel,29,spain,real betis sevilla,spain,DM,midfielder,69,72,fc malaga,primera division,1,spain,0.09,1.98,0,26,0.93,0.69,1,0,1945,0,0,0,0,0,0,0,0,0,0,0,0,2008/2009
real betis sevilla,primera division,1,spain,out,francisco maldonado,27,spain,real betis sevilla,spain,AM,midfielder,NA,NA,sporting gijon,primera division,1,spain,0.09,0.81,0,31,0.97,1.0,4,0,2208,0,0,0,0,0,0,0,0,0,0,0,0,2008/2009
rcd mallorca,primera division,1,spain,in,aritz aduriz,27,spain,athletic bilbao,spain,CF,attacker,NA,NA,athletic bilbao,primera division,1,spain,5.4,3.42,0,38,0.9,1.13,8,4,2273,0,0,0,0,0,0,0,0,0,0,0,0,2008/2009
rcd mallorca,primera division,1,spain,in,dudu aouate,31,israel,deportivo la coruna,spain,GK,keeper,73,78,deportivo la coruna,primera division,1,spain,0.9,1.62,0,28,0.88,1.46,0,0,2520,0,0,0,0,0,0,0,0,0,0,0,0,2008/2009
rcd mallorca,primera division,1,spain,in,juanmi callejon,21,spain,real madrid b castilla ,spain,LW,attacker,73,75,real madrid b castilla ,segunda division b grupo ii,3,spain,0.9,-,0,34,1.0,1.62,8,0,2427,0,0,0,0,0,0,0,0,0,0,0,0,2008/2009
rcd mallorca,primera division,1,spain,in,mario suarez,21,spain,atletico madrid,spain,DM,midfielder,72,78,atletico madrid,primera division,1,spain,0.72,0.81,0,26,0.93,1.23,2,0,1311,0,0,0,0,0,0,0,0,0,0,0,0,2008/2009
rcd mallorca,primera division,1,spain,in,enrique corrales,26,spain,ca osasuna,spain,LB,defender,NA,NA,ca osasuna,primera division,1,spain,0.675,4.14,0,14,0.93,1.14,0,0,1160,0,0,0,0,0,0,0,0,0,0,0,0,2008/2009
rcd mallorca,primera division,1,spain,in,josep lluis marti,33,spain,fc sevilla,spain,DM,midfielder,NA,NA,fc sevilla,primera division,1,spain,0.45,2.34,0,40,0.78,1.65,2,0,2943,4,0.8,2.25,0,0,161,0,0,0,0,0,0,2008/2009
rcd mallorca,primera division,NA,spain,in,javi guerra,26,spain,granada 74 cf,spain,CF,attacker,NA,NA,granada 74 cf,NA,1,spain,0.162,0.54,0,41,1.0,1.0,8,0,2988,0,0,0,0,0,0,0,0,0,0,0,0,2008/2009
rcd mallorca,primera division,1,spain,out,dani guiza,27,spain,rcd mallorca,spain,CF,attacker,NA,NA,fenerbahce istanbul,super lig,1,turkey,12.6,9.0,0,40,1.0,1.55,29,8,3242,0,0,0,0,0,0,0,0,0,0,0,0,2008/2009
rcd mallorca,primera division,1,spain,out,borja valero,23,spain,rcd mallorca,spain,CM,midfielder,74,77,west bromwich albion,premier league,1,england,5.31,3.42,0,40,0.93,1.6,4,6,2296,0,0,0,0,0,0,0,0,0,0,0,0,2008/2009
rcd mallorca,primera division,1,spain,out,jonas gutierrez,24,argentina,rcd mallorca,spain,CM,midfielder,76,77,newcastle united,premier league,1,england,5.22,5.4,0,36,0.97,1.39,0,6,2545,0,0,0,0,0,0,0,0,0,0,0,0,2008/2009
rcd mallorca,primera division,1,spain,out,fernando navarro,26,spain,rcd mallorca,spain,LB,defender,77,80,fc sevilla,primera division,1,spain,4.23,5.4,0,42,1.0,1.64,0,0,3749,0,0,0,0,0,0,0,0,0,0,0,0,2008/2009
rcd mallorca,primera division,1,spain,out,ariel ibagaza,31,argentina,rcd mallorca,spain,AM,midfielder,NA,NA,fc villarreal,primera division,1,spain,1.8,4.32,0,37,1.0,1.57,7,16,2760,0,0,0,0,0,0,0,0,0,0,0,0,2008/2009
ca osasuna,primera division,NA,spain,in,masoud shojaei,24,iran,sharjah cultural sports club,united arab emirates,AM,midfielder,68,70,sharjah cultural sports club,NA,1,united arab emirates,3.15,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008/2009
ca osasuna,primera division,1,spain,in,krisztian vadocz,23,hungary,nec nijmegen,netherlands,CM,midfielder,64,73,nec nijmegen,eredivisie,1,netherlands,0.855,0.315,0,34,1.0,1.82,3,3,2895,0,0,0,0,0,0,0,0,0,0,0,0,2008/2009
ca osasuna,primera division,1,spain,in,roversio,24,brazil,fc pacos de ferreira,portugal,CB,defender,65,67,fc pacos de ferreira,primeira liga,1,portugal,0.54,0.45,0,23,0.96,0.91,0,1,1911,0,0,0,0,0,0,0,0,0,0,0,0,2008/2009
ca osasuna,primera division,1,spain,out,javi garcia,21,spain,ca osasuna,spain,DM,midfielder,70,75,real madrid,primera division,1,spain,3.6,4.5,0,28,0.85,1.32,2,0,2099,0,0,0,0,0,0,0,0,0,0,0,0,2008/2009
ca osasuna,primera division,1,spain,out,enrique corrales,26,spain,ca osasuna,spain,LB,defender,NA,NA,rcd mallorca,primera division,1,spain,0.675,4.14,0,14,0.93,1.14,0,0,1160,0,0,0,0,0,0,0,0,0,0,0,0,2008/2009
