club,club_league,club_league_tier,club_country,transfer_movement,player_name,player_age,player_nationality,player_club,player_club_country,player_position,player_position_category,player_rating,player_potential,club_involved,club_involved_league,club_involved_league_tier,club_involved_country,transfer_fee,market_value,remaining_contract_duration,total_apps,total_apps_ratio,total_minutes_per_point,total_goals,total_assists,total_minutes_played,ucl_apps,ucl_apps_ratio,ucl_minutes_per_point,ucl_goals,ucl_assists,ucl_minutes_played,el_apps,el_apps_ratio,el_minutes_per_point,el_goals,el_assists,el_minutes_played,season
sc bastia,ligue 1,NA,france,in,luka kikabidze,19,georgia,lokomotivi tiflis,georgia,LM,midfielder,NA,NA,lokomotivi tiflis,NA,1,georgia,0.09,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014/2015
sc bastia,ligue 1,1,france,out,wahbi khazri,23,tunisia,sc bastia,france,AM,midfielder,75,80,fc girondins bordeaux,ligue 1,1,france,1.8,4.5,0,34,0.97,1.24,7,3,2388,0,0,0,0,0,0,0,0,0,0,0,0,2014/2015
fc girondins bordeaux,ligue 1,1,france,in,isaac kiese thelin,22,sweden,malmo ff,sweden,CF,attacker,63,69,malmo ff,allsvenskan,1,sweden,3.15,0.27,1445,28,0.93,1.79,8,3,1854,0,0,0,0,0,0,0,0,0,0,0,0,2014/2015
fc girondins bordeaux,ligue 1,1,france,in,wahbi khazri,23,tunisia,sc bastia,france,AM,midfielder,75,80,sc bastia,ligue 1,1,france,1.8,4.5,0,34,0.97,1.24,7,3,2388,0,0,0,0,0,0,0,0,0,0,0,0,2014/2015
fc girondins bordeaux,ligue 1,1,france,in,diego contento,24,germany,fc bayern munchen,germany,LB,defender,72,76,fc bayern munchen,1 bundesliga,1,germany,0.9,1.8,0,13,0.35,2.69,0,1,869,2,0.33,3.0,0,0,180,0,0,0,0,0,0,2014/2015
fc girondins bordeaux,ligue 1,1,france,in,clement chantome,27,france,fc paris saint germain,france,DM,midfielder,75,80,fc paris saint germain,ligue 1,1,france,0.63,3.6,154,28,1.0,1.36,2,5,2243,0,0,0,0,0,0,0,0,0,0,0,0,2014/2015
fc girondins bordeaux,ligue 1,1,france,in,nicolas pallois,26,france,fc chamois niort,france,CB,defender,69,75,fc chamois niort,ligue 2,2,france,0.45,0.27,0,39,1.0,1.54,3,1,3524,0,0,0,0,0,0,0,0,0,0,0,0,2014/2015
fc girondins bordeaux,ligue 1,1,france,out,lucas orban,25,argentina,fc girondins bordeaux,france,CB,defender,73,76,fc valencia,primera division,1,spain,3.15,3.15,0,30,0.83,1.27,0,1,2542,0,0,0,0,0,0,1,0.25,0,0,0,61,2014/2015
fc girondins bordeaux,ligue 1,1,france,out,hadi sacko,20,mali,fc girondins bordeaux,france,RW,attacker,NA,NA,sporting lissabon b,segunda liga,2,portugal,0.9,0.9,309,29,0.83,1.14,4,3,1393,0,0,0,0,0,0,4,1.0,0.75,0,0,173,2014/2015
sm caen,ligue 1,1,france,in,florian raspentino,25,france,olympique marseille,france,CF,attacker,NA,NA,olympique marseille,ligue 1,1,france,0.45,1.35,733,24,0.8,1.21,6,3,1420,0,0,0,0,0,0,0,0,0,0,0,0,2014/2015
sm caen,ligue 1,1,france,in,damien da silva,26,france,clermont foot auvergne 63,france,CB,defender,62,66,clermont foot auvergne 63,ligue 2,2,france,0.27,0.27,0,34,1.0,1.03,0,2,3060,0,0,0,0,0,0,0,0,0,0,0,0,2014/2015
fc evian thonon gaillard,ligue 1,1,france,in,nicki bille nielsen,26,denmark,rosenborg trondheim,norway,CF,attacker,69,73,rosenborg trondheim,tippeligaen,1,norway,1.8,1.62,0,16,1.0,1.63,8,4,923,0,0,0,0,0,0,0,0,0,0,0,0,2014/2015
fc evian thonon gaillard,ligue 1,1,france,in,benjamin leroy,25,france,fc tours,france,GK,keeper,68,77,fc tours,ligue 2,2,france,0.225,0.45,0,35,1.0,1.6,0,1,3087,0,0,0,0,0,0,0,0,0,0,0,0,2014/2015
fc evian thonon gaillard,ligue 1,1,france,out,kevin berigaud,26,france,fc evian thonon gaillard,france,CF,attacker,71,75,hsc montpellier,ligue 1,1,france,2.7,2.25,0,35,1.0,1.06,10,5,2699,0,0,0,0,0,0,0,0,0,0,0,0,2014/2015
ea guingamp,ligue 1,1,france,in,ronnie schwartz,24,denmark,randers fc,denmark,CF,attacker,69,72,randers fc,superligaen,1,denmark,1.71,1.13,29,29,1.0,1.17,15,2,2177,0,0,0,0,0,0,0,0,0,0,0,0,2014/2015
ea guingamp,ligue 1,1,france,in,jonas lossl,25,denmark,fc midtjylland,denmark,GK,keeper,65,69,fc midtjylland,superligaen,1,denmark,0.45,0.675,0,34,0.97,1.62,0,0,3015,0,0,0,0,0,0,0,0,0,0,0,0,2014/2015
ea guingamp,ligue 1,1,france,out,mustapha yatabare,28,mali,ea guingamp,france,CF,attacker,75,75,trabzonspor,super lig,1,turkey,2.25,2.48,0,38,1.0,1.37,20,5,3330,0,0,0,0,0,0,0,0,0,0,0,0,2014/2015
rc lens,ligue 1,1,france,out,dimitri cavare,19,guadeloupe,rc lens,france,RB,defender,NA,NA,fc stade rennes,ligue 1,1,france,2.7,1.8,1247,1,1.0,3.0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,2014/2015
fc lorient,ligue 1,1,france,in,jordan ayew,22,ghana,olympique marseille,france,CF,attacker,73,78,olympique marseille,ligue 1,1,france,3.6,2.7,343,40,0.91,1.3,7,3,2269,5,0.83,0,1,1,167,0,0,0,0,0,0,2014/2015
fc lorient,ligue 1,1,france,in,romain philippoteaux,26,france,fco dijon,france,LM,midfielder,65,65,fco dijon,ligue 2,2,france,2.25,1.35,883,36,1.0,1.44,7,7,2848,0,0,0,0,0,0,0,0,0,0,0,0,2014/2015
fc lorient,ligue 1,1,france,in,benjamin jeannot,22,france,as nancy lorraine,france,CF,attacker,66,75,as nancy lorraine,ligue 2,2,france,0.9,0.9,371,33,1.0,1.58,6,2,2222,0,0,0,0,0,0,0,0,0,0,0,0,2014/2015
fc lorient,ligue 1,1,france,in,didier ndong,20,gabon,club sportif sfaxien,tunisia,CM,midfielder,NA,NA,club sportif sfaxien,ligue professionelle 1,1,tunisia,0.855,0.45,182,27,0.96,1.63,1,1,2422,0,0,0,0,0,0,0,0,0,0,0,0,2014/2015
