club,club_league,club_league_tier,club_country,transfer_movement,player_name,player_age,player_nationality,player_club,player_club_country,player_position,player_position_category,player_rating,player_potential,club_involved,club_involved_league,club_involved_league_tier,club_involved_country,transfer_fee,market_value,remaining_contract_duration,total_apps,total_apps_ratio,total_minutes_per_point,total_goals,total_assists,total_minutes_played,ucl_apps,ucl_apps_ratio,ucl_minutes_per_point,ucl_goals,ucl_assists,ucl_minutes_played,el_apps,el_apps_ratio,el_minutes_per_point,el_goals,el_assists,el_minutes_played,season
atletico madrid,primera division,1,spain,in,filipe luis,24,brazil,deportivo la coruna,spain,LB,defender,NA,NA,deportivo la coruna,primera division,1,spain,10.8,9.0,0,24,1.0,1.71,4,2,2039,0,0,0,0,0,0,0,0,0,0,0,0,2010/2011
atletico madrid,primera division,1,spain,in,diego godin,24,uruguay,fc villarreal,spain,CB,defender,81,82,fc villarreal,primera division,1,spain,7.2,10.8,701,44,0.96,1.52,3,3,3820,0,0,0,0,0,0,4,0.67,1.75,0,0,315,2010/2011
atletico madrid,primera division,1,spain,in,elias,25,brazil,corinthians sao paulo,brazil,CM,midfielder,76,78,corinthians sao paulo,campeonato brasileiro serie a,1,brazil,6.3,6.3,0,41,1.0,1.95,10,5,3572,0,0,0,0,0,0,0,0,0,0,0,0,2010/2011
atletico madrid,primera division,1,spain,in,juanfran,25,spain,ca osasuna,spain,RB,defender,78,79,ca osasuna,primera division,1,spain,3.83,5.4,0,36,0.88,1.25,4,4,2731,0,0,0,0,0,0,0,0,0,0,0,0,2010/2011
atletico madrid,primera division,1,spain,in,mario suarez,23,spain,rcd mallorca,spain,DM,midfielder,76,79,rcd mallorca,primera division,1,spain,1.62,3.6,0,38,0.93,1.76,6,2,2664,0,0,0,0,0,0,0,0,0,0,0,0,2010/2011
atletico madrid,primera division,1,spain,in,diego costa,21,spain,real valladolid,spain,CF,attacker,NA,NA,real valladolid,segunda division,2,spain,0.9,4.5,0,36,0.97,1.03,9,6,2949,0,0,0,0,0,0,0,0,0,0,0,0,2010/2011
atletico madrid,primera division,1,spain,out,jose manuel jurado,24,spain,atletico madrid,spain,AM,midfielder,NA,NA,fc schalke 04,1 bundesliga,1,germany,9.9,8.1,1039,64,1.0,1.34,9,8,4146,6,1.0,0.5,0,0,330,9,1.0,1.56,0,1,528,2010/2011
atletico madrid,primera division,1,spain,out,roberto,24,spain,atletico madrid,spain,GK,keeper,76,81,benfica lissabon,primeira liga,1,portugal,7.65,1.8,0,19,0.68,1.16,0,0,1645,1,0.5,0,0,0,25,0,0,0,0,0,0,2010/2011
atletico madrid,primera division,1,spain,out,ignacio camacho,20,spain,atletico madrid,spain,DM,midfielder,72,83,fc malaga,primera division,1,spain,1.35,1.35,0,22,0.51,1.5,0,1,822,1,0.5,1.0,0,0,90,6,0.67,1.5,0,0,39,2010/2011
atletico madrid,primera division,1,spain,out,simao,31,portugal,atletico madrid,spain,LW,attacker,82,86,besiktas istanbul,super lig,1,turkey,0.81,8.1,0,59,0.98,1.39,7,7,4313,6,1.0,0.5,1,0,502,9,1.0,1.56,1,0,751,2010/2011
