club,club_league,club_league_tier,club_country,transfer_movement,player_name,player_age,player_nationality,player_club,player_club_country,player_position,player_position_category,player_rating,player_potential,club_involved,club_involved_league,club_involved_league_tier,club_involved_country,transfer_fee,market_value,remaining_contract_duration,total_apps,total_apps_ratio,total_minutes_per_point,total_goals,total_assists,total_minutes_played,ucl_apps,ucl_apps_ratio,ucl_minutes_per_point,ucl_goals,ucl_assists,ucl_minutes_played,el_apps,el_apps_ratio,el_minutes_per_point,el_goals,el_assists,el_minutes_played,season
ac mailand,serie a,1,italy,out,thiago silva,27,brazil,ac mailand,italy,CB,defender,87,89,fc paris saint germain,ligue 1,1,france,37.8,34.2,0,37,1,1.89,3,0,3184,7,1,1.29,1,0,590,0,0,0,0,0,0,2012/2013
ssc neapel,serie a,1,italy,out,ezequiel lavezzi,27,argentina,ssc neapel,italy,SS,attacker,85,88,fc paris saint germain,ligue 1,1,france,27,27,1099,42,1,1.64,11,13,3160,8,1,1.75,2,5,699,0,0,0,0,0,0,2012/2013
ac mailand,serie a,1,italy,out,zlatan ibrahimovic,30,sweden,ac mailand,italy,CF,attacker,88,88,fc paris saint germain,ligue 1,1,france,18.9,33.3,1083,44,0.96,1.98,35,12,3807,8,0.89,1.38,5,4,720,0,0,0,0,0,0,2012/2013
ac mailand,serie a,1,italy,in,mario balotelli,22,italy,manchester city,england,CF,attacker,83,88,manchester city,premier league,1,england,18,21.6,0,32,0.82,2.09,17,2,1881,3,1,2,2,1,181,3,0.75,2,1,0,187,2012/2013
juventus turin,serie a,1,italy,in,kwadwo asamoah,23,ghana,udinese calcio,italy,LM,midfielder,77,80,udinese calcio,serie a,1,italy,16.2,13.5,0,40,0.98,1.78,3,3,3385,0,0,0,0,0,0,7,0.88,2,0,1,476,2012/2013
udinese calcio,serie a,1,italy,out,kwadwo asamoah,23,ghana,udinese calcio,italy,LM,midfielder,77,80,juventus turin,serie a,1,italy,16.2,13.5,0,40,0.98,1.78,3,3,3385,0,0,0,0,0,0,7,0.88,2,0,1,476,2012/2013
fc bologna,serie a,1,italy,out,gaston ramirez,21,uruguay,fc bologna,italy,AM,midfielder,76,87,fc southampton,premier league,1,england,13.68,12.15,0,33,1,1.42,8,5,2305,0,0,0,0,0,0,0,0,0,0,0,0,2012/2013
ac florenz,serie a,1,italy,out,matija nastasic,19,serbia,ac florenz,italy,CB,defender,72,88,manchester city,premier league,1,england,13.68,4.95,0,27,0.71,1.41,2,0,2130,0,0,0,0,0,0,0,0,0,0,0,0,2012/2013
ac mailand,serie a,1,italy,out,alexandre pato,23,brazil,ac mailand,italy,CF,attacker,84,90,corinthians sao paulo,campeonato brasileiro serie a,1,brazil,13.5,25.65,0,18,0.95,1.56,4,4,869,5,1,1,2,1,244,0,0,0,0,0,0,2012/2013
udinese calcio,serie a,1,italy,out,samir handanovic,27,slovenia,udinese calcio,italy,GK,keeper,82,84,inter mailand,serie a,1,italy,13.5,13.5,0,51,1,1.57,0,0,4590,0,0,0,0,0,0,10,1,1.6,0,0,900,2012/2013
inter mailand,serie a,1,italy,in,samir handanovic,27,slovenia,udinese calcio,italy,GK,keeper,82,84,udinese calcio,serie a,1,italy,13.5,13.5,0,51,1,1.57,0,0,4590,0,0,0,0,0,0,10,1,1.6,0,0,900,2012/2013
juventus turin,serie a,1,italy,in,mauricio isla,24,chile,udinese calcio,italy,RB,defender,80,83,udinese calcio,serie a,1,italy,12.51,12.6,0,28,0.97,1.57,3,2,2239,0,0,0,0,0,0,5,0.83,1.2,0,0,243,2012/2013
udinese calcio,serie a,1,italy,out,mauricio isla,24,chile,udinese calcio,italy,RB,defender,80,83,juventus turin,serie a,1,italy,12.51,12.6,0,28,0.97,1.57,3,2,2239,0,0,0,0,0,0,5,0.83,1.2,0,0,243,2012/2013
as rom,serie a,1,italy,out,fabio borini,21,italy,as rom,italy,LW,attacker,75,84,fc liverpool,premier league,1,england,11.97,8.1,0,26,0.87,1.19,10,0,1744,0,0,0,0,0,0,0,0,0,0,0,0,2012/2013
