club,club_league,club_league_tier,club_country,transfer_movement,player_name,player_age,player_nationality,player_club,player_club_country,player_position,player_position_category,player_rating,player_potential,club_involved,club_involved_league,club_involved_league_tier,club_involved_country,transfer_fee,market_value,remaining_contract_duration,total_apps,total_apps_ratio,total_minutes_per_point,total_goals,total_assists,total_minutes_played,ucl_apps,ucl_apps_ratio,ucl_minutes_per_point,ucl_goals,ucl_assists,ucl_minutes_played,el_apps,el_apps_ratio,el_minutes_per_point,el_goals,el_assists,el_minutes_played,season
tottenham hotspur,premier league,1,england,in,tanguy ndombele,22,france,olympique lyon,france,CM,midfielder,81,89,olympique lyon,ligue 1,1,france,54.0,58.5,1464,49,0.94,1.8,3,8,3878,8,1.0,1.13,2,0,637,0,0,0,0,0,0,2019/2020
tottenham hotspur,premier league,1,england,in,steven bergwijn,22,netherlands,psv eindhoven,netherlands,LW,attacker,81,87,psv eindhoven,eredivisie,1,netherlands,27.0,31.5,1251,41,1.0,2.12,15,13,3517,5,1.0,0.2,0,1,404,0,0,0,0,0,0,2019/2020
tottenham hotspur,premier league,1,england,in,ryan sessegnon,19,england,fc fulham,england,LM,midfielder,58,77,fc fulham,championship,2,england,24.3,31.5,332,38,0.97,0.74,2,6,2490,0,0,0,0,0,0,0,0,0,0,0,0,2019/2020
tottenham hotspur,premier league,1,england,in,jack clarke,18,england,leeds united,england,RW,attacker,65,82,leeds united,championship,2,england,9.9,5.4,734,25,0.74,1.32,2,2,894,0,0,0,0,0,0,0,0,0,0,0,0,2019/2020
tottenham hotspur,premier league,1,england,out,kieran trippier,28,england,tottenham hotspur,england,RB,defender,81,81,atletico madrid,primera division,1,spain,19.8,31.5,1084,38,0.88,1.87,1,5,3174,8,0.89,1.25,0,2,626,0,0,0,0,0,0,2019/2020
tottenham hotspur,premier league,1,england,out,christian eriksen,27,denmark,tottenham hotspur,england,AM,midfielder,88,89,inter mailand,serie a,1,italy,18.0,81.0,157,51,0.96,1.78,10,17,4129,12,1.0,1.67,2,4,1003,0,0,0,0,0,0,2019/2020
tottenham hotspur,premier league,1,england,out,vincent janssen,25,netherlands,tottenham hotspur,england,CF,attacker,75,78,cf monterrey,liga mx clausura,1,mexico,8.1,7.2,348,5,0.71,1.2,1,0,144,0,0,0,0,0,0,0,0,0,0,0,0,2019/2020
tottenham hotspur,premier league,1,england,out,georges kevin nkoudou,24,france,tottenham hotspur,england,LW,attacker,75,80,besiktas istanbul,super lig,1,turkey,3.6,4.5,683,6,0.55,2.17,0,1,141,0,0,0,0,0,0,0,0,0,0,0,0,2019/2020
fc arsenal,premier league,1,england,in,nicolas pepe,24,cote d\'ivoire,osc lille,france,RW,attacker,NA,NA,osc lille,ligue 1,1,france,72.0,58.5,1069,41,0.98,1.9,23,12,3537,0,0,0,0,0,0,0,0,0,0,0,0,2019/2020
fc arsenal,premier league,1,england,in,william saliba,18,france,as saint etienne,france,CB,defender,71,88,as saint etienne,ligue 1,1,france,27.0,10.8,1441,19,0.58,1.84,0,0,1576,0,0,0,0,0,0,0,0,0,0,0,0,2019/2020
fc arsenal,premier league,1,england,in,kieran tierney,22,scotland,celtic glasgow,scotland,LB,defender,76,86,celtic glasgow,scottish premiership,1,scotland,24.3,11.25,1397,40,0.98,2.15,1,6,3429,0,0,0,0,0,0,6,1.0,1.5,1,0,540,2019/2020
fc arsenal,premier league,1,england,in,david luiz,32,brazil,fc chelsea,england,CB,defender,83,83,fc chelsea,premier league,1,england,7.83,18.0,697,50,0.86,2.0,3,2,4339,0,0,0,0,0,0,6,0.6,2.67,0,0,570,2019/2020
fc arsenal,premier league,NA,england,in,gabriel martinelli,18,brazil,ituano futebol clube sp ,brazil,CF,attacker,NA,NA,ituano futebol clube sp ,NA,1,brazil,6.03,-,1206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019/2020
fc arsenal,premier league,1,england,out,alex iwobi,23,nigeria,fc arsenal,england,LW,attacker,78,83,fc everton,premier league,1,england,27.36,22.5,1062,51,0.94,1.86,6,9,2839,0,0,0,0,0,0,11,0.85,2.0,2,2,556,2019/2020
fc arsenal,premier league,1,england,out,krystian bielik,21,poland,fc arsenal,england,DM,midfielder,66,81,derby county,championship,2,england,7.38,1.8,703,35,0.97,1.8,5,2,2905,0,0,0,0,0,0,0,0,0,0,0,0,2019/2020
fc arsenal,premier league,1,england,out,laurent koscielny,33,france,fc arsenal,england,CB,defender,82,82,fc girondins bordeaux,ligue 1,1,france,4.5,7.2,334,31,0.94,1.52,3,0,2406,0,0,0,0,0,0,10,1.0,2.1,0,0,840,2019/2020
