club,club_league,club_league_tier,club_country,transfer_movement,player_name,player_age,player_nationality,player_club,player_club_country,player_position,player_position_category,player_rating,player_potential,club_involved,club_involved_league,club_involved_league_tier,club_involved_country,transfer_fee,market_value,remaining_contract_duration,total_apps,total_apps_ratio,total_minutes_per_point,total_goals,total_assists,total_minutes_played,ucl_apps,ucl_apps_ratio,ucl_minutes_per_point,ucl_goals,ucl_assists,ucl_minutes_played,el_apps,el_apps_ratio,el_minutes_per_point,el_goals,el_assists,el_minutes_played,season
real madrid,primera division,1,spain,in,theo hernandez,19,france,atletico madrid,spain,LB,defender,74,88,atletico madrid,primera division,1,spain,21.6,13.5,1461,38,0.95,1.45,2,4,3201,0,0,0,0,0,0,0,0,0,0,0,0,2017/2018
real madrid,primera division,1,spain,in,dani ceballos,20,spain,real betis sevilla,spain,CM,midfielder,78,86,real betis sevilla,primera division,1,spain,14.85,9.0,1087,31,0.91,0.94,2,2,2425,0,0,0,0,0,0,0,0,0,0,0,0,2017/2018
real madrid,primera division,1,spain,out,alvaro morata,24,spain,real madrid,spain,CF,attacker,82,86,fc chelsea,premier league,1,england,59.4,36.0,0,43,0.8,2.44,20,6,1903,9,0.75,2.0,3,1,196,0,0,0,0,0,0,2017/2018
real madrid,primera division,1,spain,out,danilo,26,brazil,real madrid,spain,RB,defender,78,81,manchester city,premier league,1,england,27.0,14.4,1443,25,0.49,2.36,1,3,2117,3,0.27,1.33,0,1,300,0,0,0,0,0,0,2017/2018
real madrid,primera division,1,spain,out,mariano diaz,23,dominican republic,real madrid,spain,CF,attacker,NA,NA,olympique lyon,ligue 1,1,france,7.2,4.5,1466,14,0.5,2.43,5,2,302,1,1.0,1.0,0,0,5,0,0,0,0,0,0,2017/2018
real madrid,primera division,1,spain,out,diego llorente,23,spain,real madrid,spain,CB,defender,78,86,real sociedad san sebastian,primera division,1,spain,6.3,6.75,1101,27,0.9,1.26,2,0,2209,0,0,0,0,0,0,0,0,0,0,0,0,2017/2018
real madrid,primera division,1,spain,out,burgui,23,spain,real madrid,spain,LW,attacker,75,81,deportivo alaves,primera division,1,spain,2.7,1.35,0,34,1.0,0.82,2,4,2101,0,0,0,0,0,0,0,0,0,0,0,0,2017/2018
fc barcelona,primera division,1,spain,in,philippe coutinho,25,brazil,fc liverpool,england,AM,midfielder,86,89,fc liverpool,premier league,1,england,130.5,81.0,1639,36,1.0,1.89,14,9,2531,0,0,0,0,0,0,0,0,0,0,0,0,2017/2018
fc barcelona,primera division,1,spain,in,ousmane dembele,20,france,borussia dortmund,germany,RW,attacker,81,91,borussia dortmund,1 bundesliga,1,germany,112.5,29.7,1410,49,0.98,1.9,10,21,3387,10,1.0,1.7,2,6,769,0,0,0,0,0,0,2017/2018
fc barcelona,primera division,1,spain,in,paulinho,29,brazil,guangzhou evergrande f c ,china,CM,midfielder,81,81,guangzhou evergrande f c ,chinese super league,1,china,36.0,13.5,1056,29,1.0,2.07,12,5,2610,0,0,0,0,0,0,0,0,0,0,0,0,2017/2018
fc barcelona,primera division,1,spain,in,nelson semedo,23,portugal,benfica lissabon,portugal,RB,defender,80,86,benfica lissabon,primeira liga,1,portugal,32.13,18.0,1452,47,0.92,2.34,2,12,4217,8,1.0,1.38,1,0,720,0,0,0,0,0,0,2017/2018
fc barcelona,primera division,1,spain,in,gerard deulofeu,23,spain,fc everton,england,LW,attacker,NA,NA,fc everton,premier league,1,england,10.8,10.8,371,31,0.86,1.26,4,3,2041,0,0,0,0,0,0,0,0,0,0,0,0,2017/2018
fc barcelona,primera division,1,spain,in,yerry mina,23,colombia,se palmeiras sao paulo,brazil,CB,defender,NA,NA,se palmeiras sao paulo,campeonato brasileiro serie a,1,brazil,10.62,8.1,852,22,0.96,1.64,5,1,1903,0,0,0,0,0,0,0,0,0,0,0,0,2017/2018
fc barcelona,primera division,1,spain,in,marlon,21,brazil,fluminense football club,brazil,CB,defender,NA,NA,fluminense football club,campeonato brasileiro serie a,1,brazil,4.5,4.5,916,30,0.77,1.97,0,0,2303,1,0.5,3.0,0,0,18,0,0,0,0,0,0,2017/2018
fc barcelona,primera division,1,spain,out,neymar,25,brazil,fc barcelona,spain,LW,attacker,92,94,fc paris saint germain,ligue 1,1,france,199.8,90.0,1432,45,0.98,2.22,20,27,3972,9,1.0,1.78,4,9,797,0,0,0,0,0,0,2017/2018
fc barcelona,primera division,1,spain,out,javier mascherano,33,argentina,fc barcelona,spain,DM,midfielder,84,84,hebei zhongji,chinese super league,1,china,4.95,5.4,524,40,0.8,2.28,1,4,3012,8,0.89,2.0,0,0,642,0,0,0,0,0,0,2017/2018
fc barcelona,primera division,1,spain,out,cristian tello,25,spain,fc barcelona,spain,LW,attacker,77,78,real betis sevilla,primera division,1,spain,3.6,7.2,371,42,0.89,1.64,4,8,2416,0,0,0,0,0,0,5,0.71,2.0,0,1,309,2017/2018
atletico madrid,primera division,1,spain,in,diego costa,29,spain,fc chelsea,england,CF,attacker,86,86,fc chelsea,premier league,1,england,59.4,45.0,549,42,0.93,2.36,22,8,3490,0,0,0,0,0,0,0,0,0,0,0,0,2017/2018
atletico madrid,primera division,1,spain,in,vitolo,27,spain,fc sevilla,spain,LW,attacker,83,83,fc sevilla,primera division,1,spain,32.4,22.5,1089,43,1.0,1.65,6,10,3390,8,1.0,1.75,0,1,705,0,0,0,0,0,0,2017/2018
atletico madrid,primera division,1,spain,out,theo hernandez,19,france,atletico madrid,spain,LB,defender,74,88,real madrid,primera division,1,spain,21.6,13.5,1461,38,0.95,1.45,2,4,3201,0,0,0,0,0,0,0,0,0,0,0,0,2017/2018
atletico madrid,primera division,1,spain,out,oliver torres,22,spain,atletico madrid,spain,CM,midfielder,79,84,fc porto,primeira liga,1,portugal,18.0,12.6,371,39,0.91,2.08,3,3,2777,7,0.88,1.57,0,0,597,0,0,0,0,0,0,2017/2018
atletico madrid,primera division,1,spain,out,yannick carrasco,24,belgium,atletico madrid,spain,LW,attacker,84,88,dalian aerbin,chinese super league,1,china,9.45,36.0,1588,53,1.0,2.0,14,5,3434,12,1.0,2.17,2,0,856,0,0,0,0,0,0,2017/2018
atletico madrid,primera division,1,spain,out,matias kranevitter,24,argentina,atletico madrid,spain,DM,midfielder,77,85,zenit st petersburg,premier liga,1,russia,7.2,5.4,1062,32,0.65,1.63,0,1,1970,4,0.5,1.25,0,0,183,0,0,0,0,0,0,2017/2018
