club,club_league,club_league_tier,club_country,transfer_movement,player_name,player_age,player_nationality,player_club,player_club_country,player_position,player_position_category,player_rating,player_potential,club_involved,club_involved_league,club_involved_league_tier,club_involved_country,transfer_fee,market_value,remaining_contract_duration,total_apps,total_apps_ratio,total_minutes_per_point,total_goals,total_assists,total_minutes_played,ucl_apps,ucl_apps_ratio,ucl_minutes_per_point,ucl_goals,ucl_assists,ucl_minutes_played,el_apps,el_apps_ratio,el_minutes_per_point,el_goals,el_assists,el_minutes_played,season
manchester united,premier league,1,england,in,antonio valencia,23,ecuador,wigan athletic,england,RB,defender,81,84,wigan athletic,premier league,1,england,16.92,9.9,0,35,1.0,1.29,3,6,3013,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
manchester united,premier league,1,england,in,mame diouf,21,senegal,molde fk,norway,CF,attacker,74,84,molde fk,tippeligaen,1,norway,4.05,1.8,0,31,1.0,1.81,18,9,2666,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
manchester united,premier league,1,england,in,gabriel obertan,20,france,fc girondins bordeaux,france,AM,midfielder,68,83,fc girondins bordeaux,ligue 1,1,france,3.6,2.7,0,36,0.78,1.44,4,0,1317,5,1.0,1.4,0,0,154,0,0,0,0,0,0,2009/2010
manchester united,premier league,1,england,out,cristiano ronaldo,24,portugal,manchester united,england,LW,attacker,89,94,real madrid,primera division,1,spain,84.6,54.0,1101,53,0.98,2.34,26,12,4319,12,1.0,1.92,4,3,1010,0,0,0,0,0,0,2009/2010
manchester united,premier league,1,england,out,fraizer campbell,21,england,manchester united,england,CF,attacker,74,77,afc sunderland,premier league,1,england,3.69,2.52,0,24,0.62,1.75,3,4,1236,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
manchester united,premier league,1,england,out,manucho,26,angola,manchester united,england,CF,attacker,75,80,real valladolid,primera division,1,spain,2.48,2.07,0,20,0.83,1.1,2,1,895,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
manchester united,premier league,1,england,out,lee martin,22,england,manchester united,england,AM,midfielder,68,82,ipswich town,championship,2,england,2.03,0.36,0,15,0.83,0.87,1,3,954,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
manchester united,premier league,1,england,out,danny simpson,23,england,manchester united,england,RB,defender,70,75,newcastle united,championship,2,england,0.779,0.99,0,20,0.67,1.45,0,0,1637,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
fc liverpool,premier league,1,england,in,glen johnson,24,england,fc portsmouth,england,RB,defender,80,85,fc portsmouth,premier league,1,england,18.45,9.9,0,36,1.0,1.31,3,5,3281,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
fc liverpool,premier league,1,england,in,alberto aquilani,25,italy,as rom,italy,CM,midfielder,82,88,as rom,serie a,1,italy,18.0,13.5,0,20,0.95,1.4,2,1,1095,4,1.0,1.0,0,0,244,0,0,0,0,0,0,2009/2010
fc liverpool,premier league,1,england,in,sotiris kyrgiakos,30,greece,aek athen,greece,CB,defender,78,83,aek athen,super league,1,greece,2.7,5.85,0,26,1.0,1.88,0,2,2216,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
fc liverpool,premier league,1,england,out,xabi alonso,27,spain,fc liverpool,england,DM,midfielder,84,87,real madrid,primera division,1,spain,31.05,24.3,1065,47,0.92,2.13,4,7,3726,8,0.8,1.88,1,1,675,0,0,0,0,0,0,2009/2010
fc liverpool,premier league,1,england,out,sebastian leto,22,argentina,fc liverpool,england,LW,attacker,77,80,panathinaikos athen,super league,1,greece,3.6,2.7,0,37,0.97,2.46,2,10,2212,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
fc liverpool,premier league,1,england,out,alvaro arbeloa,26,spain,fc liverpool,england,RB,defender,NA,NA,real madrid,primera division,1,spain,3.6,9.9,0,43,0.96,2.14,1,3,3873,10,1.0,2.1,0,1,874,0,0,0,0,0,0,2009/2010
fc liverpool,premier league,1,england,out,andrea dossena,28,italy,fc liverpool,england,LM,midfielder,75,81,ssc neapel,serie a,1,italy,3.38,5.4,1637,26,0.53,1.92,2,0,1798,6,0.6,2.17,1,0,336,0,0,0,0,0,0,2009/2010
fc liverpool,premier league,1,england,out,andriy voronin,30,ukraine,fc liverpool,england,SS,attacker,80,83,dinamo moskau,premier liga,1,russia,1.8,5.4,0,33,0.97,1.73,11,5,2636,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
fc chelsea,premier league,1,england,in,yuri zhirkov,25,russia,zska moskau,russia,LB,defender,83,90,zska moskau,premier liga,1,russia,18.9,18.0,0,23,1.0,2.43,4,6,1990,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
fc chelsea,premier league,1,england,in,daniel sturridge,19,england,manchester city,england,CF,attacker,75,83,manchester city,premier league,1,england,6.53,2.7,0,26,0.84,1.38,4,3,1044,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
fc chelsea,premier league,1,england,in,nemanja matic,21,serbia,mfk kosice,slovakia,DM,midfielder,69,81,mfk kosice,corgon liga,1,slovakia,1.58,1.35,0,29,0.94,1.72,2,1,2331,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
fc chelsea,premier league,1,england,out,claudio pizarro,30,peru,fc chelsea,england,CF,attacker,82,84,sv werder bremen,1 bundesliga,1,germany,1.8,10.8,687,46,1.0,1.63,28,6,3883,6,1.0,1.17,2,0,441,0,0,0,0,0,0,2009/2010
fc chelsea,premier league,1,england,out,ben sahar,19,israel,fc chelsea,england,CF,attacker,73,84,espanyol barcelona,primera division,1,spain,0.9,0.675,0,24,0.89,1.0,6,4,1798,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
fc arsenal,premier league,1,england,in,thomas vermaelen,23,belgium,ajax amsterdam,netherlands,CB,defender,79,85,ajax amsterdam,eredivisie,1,netherlands,10.8,5.4,0,42,1.0,1.93,5,0,3767,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
fc arsenal,premier league,1,england,out,emmanuel adebayor,25,togo,fc arsenal,england,CF,attacker,84,89,manchester city,premier league,1,england,26.1,22.5,0,37,0.97,1.81,16,7,2711,7,1.0,1.57,5,2,612,0,0,0,0,0,0,2009/2010
fc arsenal,premier league,1,england,out,kolo toure,28,cote d\'ivoire,fc arsenal,england,CB,defender,NA,NA,manchester city,premier league,1,england,16.83,18.9,0,41,0.87,1.78,1,1,3388,9,1.0,1.44,0,0,840,0,0,0,0,0,0,2009/2010
fc everton,premier league,1,england,in,diniyar bilyaletdinov,24,russia,lokomotiv moskau,russia,AM,midfielder,79,84,lokomotiv moskau,premier liga,1,russia,9.0,6.03,0,15,1.0,1.47,3,0,1148,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
fc everton,premier league,1,england,in,johnny heitinga,25,netherlands,atletico madrid,spain,CB,defender,79,83,atletico madrid,primera division,1,spain,6.12,7.2,0,34,0.83,1.97,3,1,2826,4,0.57,2.5,0,0,321,0,0,0,0,0,0,2009/2010
fc everton,premier league,1,england,in,sylvain distin,31,france,fc portsmouth,england,CB,defender,78,83,fc portsmouth,premier league,1,england,5.85,7.47,0,48,0.98,1.04,0,0,4380,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
fc everton,premier league,1,england,out,joleon lescott,27,england,fc everton,england,CB,defender,82,85,manchester city,premier league,1,england,24.75,15.3,0,46,0.96,1.67,5,2,4154,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
fc everton,premier league,1,england,out,lucas neill,31,australia,fc everton,england,CB,defender,77,81,galatasaray istanbul,super lig,1,turkey,0.756,4.32,537,37,0.97,1.32,1,0,3285,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
aston villa,premier league,1,england,in,stewart downing,24,england,fc middlesbrough,england,LM,midfielder,80,85,fc middlesbrough,championship,2,england,11.7,9.9,0,43,0.98,0.98,2,9,3796,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
aston villa,premier league,NA,england,in,fabian delph,19,england,leeds united,england,CM,midfielder,73,86,leeds united,league one,1,england,8.55,0.09,0,50,0.98,1.72,6,1,4203,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
aston villa,premier league,1,england,in,stephen warnock,27,england,blackburn rovers,england,LB,defender,78,83,blackburn rovers,premier league,1,england,8.1,4.59,0,43,1.0,1.14,3,3,3663,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
aston villa,premier league,1,england,in,richard dunne,29,ireland,manchester city,england,CB,defender,74,75,manchester city,premier league,1,england,6.12,8.55,0,47,1.0,1.53,1,0,4218,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
aston villa,premier league,1,england,in,james collins,26,wales,west ham united,england,CB,defender,75,78,west ham united,premier league,1,england,5.13,1.8,0,21,0.95,1.33,0,0,1686,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
aston villa,premier league,1,england,in,habib beye,31,senegal,newcastle united,england,RB,defender,74,82,newcastle united,championship,2,england,2.61,4.14,0,24,1.0,1.21,0,1,2016,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
aston villa,premier league,1,england,out,gareth barry,28,england,aston villa,england,DM,midfielder,83,85,manchester city,premier league,1,england,12.51,16.65,0,48,0.98,1.67,8,7,4100,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
aston villa,premier league,1,england,out,zat knight,29,england,aston villa,england,CB,defender,76,78,bolton wanderers,premier league,1,england,4.23,4.5,0,26,0.48,1.19,1,0,2310,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
aston villa,premier league,1,england,out,craig gardner,23,england,aston villa,england,CM,midfielder,72,77,birmingham city,premier league,1,england,3.15,1.8,1619,30,0.55,1.73,1,2,1544,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
fc fulham,premier league,1,england,in,damien duff,30,ireland,newcastle united,england,RM,midfielder,78,81,newcastle united,championship,2,england,3.6,5.13,0,33,0.94,0.88,3,2,2720,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
fc fulham,premier league,1,england,in,bjorn helge riise,26,norway,lillestrom sk,norway,RM,midfielder,72,77,lillestrom sk,tippeligaen,1,norway,1.8,0.81,0,15,1.0,1.0,6,3,1160,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
fc fulham,premier league,1,england,in,david elm,26,sweden,kalmar ff,sweden,CF,attacker,70,73,kalmar ff,allsvenskan,1,sweden,0.54,1.8,0,22,0.92,1.77,4,5,1668,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
fc fulham,premier league,1,england,in,kagisho dikgacoi,24,south africa,lamontville golden arrows,south africa,CM,midfielder,68,76,lamontville golden arrows,absa premiership,1,south africa,0.27,0.315,0,25,1.0,1.72,4,3,2250,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
fc fulham,premier league,NA,england,in,stefan payne,17,england,sutton united,england,CF,attacker,65,77,sutton united,NA,1,england,0.027,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
fc fulham,premier league,1,england,out,matthew saunders,20,england,fc fulham,england,CM,midfielder,56,67,lincoln city,league two,NA,england,-,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
tottenham hotspur,premier league,1,england,in,peter crouch,28,england,fc portsmouth,england,CF,attacker,79,82,fc portsmouth,premier league,1,england,9.45,9.0,0,49,1.0,1.08,15,4,4326,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
tottenham hotspur,premier league,1,england,in,sebastien bassong,23,cameroon,newcastle united,england,CB,defender,NA,NA,newcastle united,championship,2,england,8.37,4.68,0,34,0.87,0.82,0,0,2775,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
tottenham hotspur,premier league,1,england,in,younes kaboul,23,france,fc portsmouth,england,CB,defender,74,79,fc portsmouth,premier league,1,england,5.31,5.13,1644,25,0.78,1.16,2,1,1760,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
tottenham hotspur,premier league,1,england,in,kyle walker,19,england,sheffield united,england,RB,defender,64,77,sheffield united,championship,2,england,5.31,0.045,0,16,0.8,1.44,0,2,1440,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
tottenham hotspur,premier league,1,england,in,kyle naughton,20,england,sheffield united,england,RB,defender,70,83,sheffield united,championship,2,england,5.31,0.36,0,50,1.0,1.78,3,3,4153,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
tottenham hotspur,premier league,1,england,in,niko kranjcar,25,croatia,fc portsmouth,england,AM,midfielder,78,83,fc portsmouth,premier league,1,england,2.52,8.33,0,25,0.96,1.04,4,3,1855,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
tottenham hotspur,premier league,1,england,out,darren bent,25,england,tottenham hotspur,england,CF,attacker,79,83,afc sunderland,premier league,1,england,10.62,10.8,0,43,0.98,1.4,17,2,2794,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
tottenham hotspur,premier league,1,england,out,didier zokora,28,cote d\'ivoire,tottenham hotspur,england,DM,midfielder,NA,NA,fc sevilla,primera division,1,spain,8.1,7.65,0,44,0.85,1.39,0,2,3465,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
tottenham hotspur,premier league,1,england,out,kevin prince boateng,22,ghana,tottenham hotspur,england,AM,midfielder,NA,NA,fc portsmouth,premier league,1,england,4.05,2.7,1042,13,0.65,1.38,0,2,531,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
tottenham hotspur,premier league,1,england,out,chris gunter,19,wales,tottenham hotspur,england,RB,defender,69,78,nottingham forest,championship,2,england,1.8,2.7,0,20,0.51,1.3,0,0,1574,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
tottenham hotspur,premier league,1,england,out,pascal chimbonda,30,guadeloupe,tottenham hotspur,england,RB,defender,NA,NA,blackburn rovers,premier league,1,england,1.53,4.5,0,21,0.68,0.95,0,2,1809,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
tottenham hotspur,premier league,1,england,out,tomas pekhart,20,czech republic,tottenham hotspur,england,CF,attacker,58,81,fk jablonec,gambrinus liga,NA,czech republic,0.72,0.54,0,23,0.96,1.35,3,0,728,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
west ham united,premier league,1,england,in,alessandro diamanti,26,italy,as livorno,italy,AM,midfielder,78,85,as livorno,serie a,1,italy,6.12,3.15,0,39,0.95,1.64,20,6,2916,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
west ham united,premier league,1,england,in,radoslav kovac,29,czech republic,spartak moskau,russia,CB,defender,70,76,spartak moskau,premier liga,1,russia,3.42,4.05,0,17,0.85,1.41,1,0,1418,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
west ham united,premier league,1,england,in,herita ilunga,27,dr congo,fc toulouse,france,LB,defender,75,80,fc toulouse,ligue 1,1,france,3.15,4.95,0,39,0.97,1.33,2,3,3481,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
west ham united,premier league,1,england,in,manuel da costa,23,morocco,ac florenz,italy,CB,defender,NA,NA,ac florenz,serie a,1,italy,2.43,1.35,0,6,0.32,1.17,0,0,338,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
west ham united,premier league,1,england,in,benni mccarthy,32,south africa,blackburn rovers,england,CF,attacker,76,81,blackburn rovers,premier league,1,england,2.34,4.95,883,33,0.89,1.09,13,4,1804,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
west ham united,premier league,1,england,in,fabio daprela,18,switzerland,grasshopper club zurich,switzerland,CB,defender,55,76,grasshopper club zurich,raiffeisen super league,1,switzerland,1.08,0.45,0,23,0.72,1.57,1,2,1669,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
west ham united,premier league,NA,england,in,peter kurucz,21,hungary,ujpest fc,hungary,GK,keeper,64,76,ujpest fc,nemzeti bajnoksag,1,hungary,0.405,0.045,0,1,0.14,3.0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
west ham united,premier league,1,england,out,carlos tevez,25,argentina,west ham united,england,SS,attacker,85,90,manchester city,premier league,1,england,26.1,22.5,0,51,0.84,2.18,15,7,3440,9,0.69,1.56,2,1,436,0,0,0,0,0,0,2009/2010
west ham united,premier league,1,england,out,savio nsereko,20,germany,west ham united,england,RW,attacker,74,80,ac florenz,serie a,1,italy,5.58,3.6,0,30,0.86,1.5,3,6,1893,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
west ham united,premier league,1,england,out,james collins,26,wales,west ham united,england,CB,defender,75,78,aston villa,premier league,1,england,5.13,1.8,0,21,0.95,1.33,0,0,1686,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
west ham united,premier league,1,england,out,kyel reid,21,england,west ham united,england,LW,attacker,68,76,sheffield united,championship,2,england,0.36,0.45,0,18,0.64,1.28,2,3,1029,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
manchester city,premier league,1,england,in,emmanuel adebayor,25,togo,fc arsenal,england,CF,attacker,84,89,fc arsenal,premier league,1,england,26.1,22.5,0,37,0.97,1.81,16,7,2711,7,1.0,1.57,5,2,612,0,0,0,0,0,0,2009/2010
manchester city,premier league,1,england,in,carlos tevez,25,argentina,west ham united,england,SS,attacker,85,90,west ham united,premier league,1,england,26.1,22.5,0,51,0.84,2.18,15,7,3440,9,0.69,1.56,2,1,436,0,0,0,0,0,0,2009/2010
manchester city,premier league,1,england,in,joleon lescott,27,england,fc everton,england,CB,defender,82,85,fc everton,premier league,1,england,24.75,15.3,0,46,0.96,1.67,5,2,4154,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
manchester city,premier league,1,england,in,roque santa cruz,27,paraguay,blackburn rovers,england,CF,attacker,80,83,blackburn rovers,premier league,1,england,19.08,9.0,0,27,0.96,1.15,6,2,1862,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
manchester city,premier league,1,england,in,kolo toure,28,cote d\'ivoire,fc arsenal,england,CB,defender,NA,NA,fc arsenal,premier league,1,england,16.83,18.9,0,41,0.87,1.78,1,1,3388,9,1.0,1.44,0,0,840,0,0,0,0,0,0,2009/2010
manchester city,premier league,1,england,in,gareth barry,28,england,aston villa,england,DM,midfielder,83,85,aston villa,premier league,1,england,12.51,16.65,0,48,0.98,1.67,8,7,4100,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
manchester city,premier league,1,england,in,adam johnson,22,england,fc middlesbrough,england,RW,attacker,72,82,fc middlesbrough,championship,2,england,7.2,3.15,1613,33,0.79,1.0,2,0,1530,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
manchester city,premier league,1,england,out,daniel sturridge,19,england,manchester city,england,CF,attacker,75,83,fc chelsea,premier league,1,england,6.53,2.7,0,26,0.84,1.38,4,3,1044,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
manchester city,premier league,1,england,out,elano,28,brazil,manchester city,england,AM,midfielder,80,85,galatasaray istanbul,super lig,1,turkey,6.3,11.25,0,42,0.82,1.62,8,3,2699,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
manchester city,premier league,1,england,out,richard dunne,29,ireland,manchester city,england,CB,defender,74,75,aston villa,premier league,1,england,6.12,8.55,0,47,1.0,1.53,1,0,4218,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
manchester city,premier league,1,england,out,gelson fernandes,22,switzerland,manchester city,england,DM,midfielder,74,82,as saint etienne,ligue 1,1,france,3.15,4.95,0,27,0.6,1.56,2,0,1076,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
manchester city,premier league,1,england,out,ched evans,20,wales,manchester city,england,CF,attacker,69,78,sheffield united,championship,2,england,3.15,1.08,0,25,0.6,1.44,1,1,780,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
manchester city,premier league,1,england,out,kasper schmeichel,22,denmark,manchester city,england,GK,keeper,70,80,notts county,league two,NA,england,1.58,0.9,0,3,0.09,0.33,0,0,281,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
wigan athletic,premier league,1,england,in,james mccarthy,18,ireland,hamilton academical fc,scotland,CM,midfielder,71,89,hamilton academical fc,scottish premiership,1,scotland,4.59,1.13,0,40,1.0,1.18,6,4,3386,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
wigan athletic,premier league,1,england,in,victor moses,19,nigeria,crystal palace,england,RM,midfielder,NA,NA,crystal palace,championship,2,england,2.7,1.13,1249,32,0.76,1.06,2,1,1933,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
wigan athletic,premier league,1,england,in,mohamed diame,22,senegal,rayo vallecano,spain,CM,midfielder,NA,NA,rayo vallecano,segunda division,2,spain,2.7,1.8,0,36,0.95,1.75,2,0,2992,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
wigan athletic,premier league,1,england,in,jordi gomez,24,spain,espanyol barcelona b,spain,AM,midfielder,74,78,espanyol barcelona b,segunda division b grupo iii,3,spain,2.21,1.35,0,51,0.96,1.57,14,7,4067,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
wigan athletic,premier league,1,england,in,jason scotland,30,trinidad and tobago,swansea city,england,CF,attacker,NA,NA,swansea city,championship,2,england,2.07,1.35,0,51,0.98,1.47,24,10,3797,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
