club,club_league,club_league_tier,club_country,transfer_movement,player_name,player_age,player_nationality,player_club,player_club_country,player_position,player_position_category,player_rating,player_potential,club_involved,club_involved_league,club_involved_league_tier,club_involved_country,transfer_fee,market_value,remaining_contract_duration,total_apps,total_apps_ratio,total_minutes_per_point,total_goals,total_assists,total_minutes_played,ucl_apps,ucl_apps_ratio,ucl_minutes_per_point,ucl_goals,ucl_assists,ucl_minutes_played,el_apps,el_apps_ratio,el_minutes_per_point,el_goals,el_assists,el_minutes_played,season
inter mailand,serie a,1,italy,in,ricardo quaresma,24,portugal,fc porto,portugal,RW,attacker,NA,NA,fc porto,primeira liga,1,portugal,22.14,20.7,0,36,1,2.22,10,15,3170,8,1,1.38,2,1,750,0,0,0,0,0,0,2008/2009
ac mailand,serie a,1,italy,in,ronaldinho,28,brazil,fc barcelona,spain,AM,midfielder,87,93,fc barcelona,primera division,1,spain,21.74,31.5,0,26,0.96,2,9,6,1780,8,1,2.5,1,4,591,0,0,0,0,0,0,2008/2009
us palermo,serie a,1,italy,out,amauri,28,italy,us palermo,italy,CF,attacker,NA,NA,juventus turin,serie a,1,italy,20.52,14.4,0,38,1,1.13,15,4,3168,0,0,0,0,0,0,0,0,0,0,0,0,2008/2009
juventus turin,serie a,1,italy,in,amauri,28,italy,us palermo,italy,CF,attacker,NA,NA,us palermo,serie a,1,italy,20.52,14.4,0,38,1,1.13,15,4,3168,0,0,0,0,0,0,0,0,0,0,0,0,2008/2009
inter mailand,serie a,1,italy,in,sulley muntari,23,ghana,fc portsmouth,england,CM,midfielder,82,82,fc portsmouth,premier league,1,england,12.6,10.8,0,33,1,1.7,5,4,2717,0,0,0,0,0,0,0,0,0,0,0,0,2008/2009
ac mailand,serie a,1,italy,out,alberto gilardino,25,italy,ac mailand,italy,CF,attacker,80,89,ac florenz,serie a,1,italy,12.6,15.3,0,40,0.83,1.53,9,7,2289,7,1,1.57,2,0,282,0,0,0,0,0,0,2008/2009
us palermo,serie a,1,italy,out,andrea barzagli,27,italy,us palermo,italy,CB,defender,80,84,vfl wolfsburg,1 bundesliga,1,germany,12.6,9.9,0,36,0.9,1.39,0,0,3190,0,0,0,0,0,0,0,0,0,0,0,0,2008/2009
ac florenz,serie a,1,italy,in,alberto gilardino,25,italy,ac mailand,italy,CF,attacker,80,89,ac mailand,serie a,1,italy,12.6,15.3,0,40,0.83,1.53,9,7,2289,7,1,1.57,2,0,282,0,0,0,0,0,0,2008/2009
inter mailand,serie a,1,italy,in,mancini,27,brazil,as rom,italy,LW,attacker,82,86,as rom,serie a,1,italy,11.7,15.75,0,46,0.88,1.91,13,7,3396,9,1,1.56,2,1,737,0,0,0,0,0,0,2008/2009
as rom,serie a,1,italy,out,mancini,27,brazil,as rom,italy,LW,attacker,82,86,inter mailand,serie a,1,italy,11.7,15.75,0,46,0.88,1.91,13,7,3396,9,1,1.56,2,1,737,0,0,0,0,0,0,2008/2009
fc genua 1893,serie a,1,italy,in,diego milito,29,argentina,real saragossa,spain,CF,attacker,81,84,real saragossa,segunda division,2,spain,11.7,16.2,0,41,1,1.1,17,6,3273,0,0,0,0,0,0,0,0,0,0,0,0,2008/2009
as rom,serie a,1,italy,in,jeremy menez,21,france,as monaco,france,RW,attacker,79,84,as monaco,ligue 1,1,france,10.8,6.75,0,28,0.97,1.39,7,4,2084,0,0,0,0,0,0,0,0,0,0,0,0,2008/2009
ac florenz,serie a,1,italy,in,juan manuel vargas,24,peru,catania calcio,italy,LB,defender,80,86,catania calcio,serie a,1,italy,10.8,9.9,0,40,1,1.1,6,5,3319,0,0,0,0,0,0,0,0,0,0,0,0,2008/2009
catania calcio,serie a,1,italy,out,juan manuel vargas,24,peru,catania calcio,italy,LB,defender,80,86,ac florenz,serie a,1,italy,10.8,9.9,0,40,1,1.1,6,5,3319,0,0,0,0,0,0,0,0,0,0,0,0,2008/2009
juventus turin,serie a,1,italy,out,domenico criscito,21,italy,juventus turin,italy,LB,defender,75,83,fc genua 1893,serie a,1,italy,10.35,4.05,0,25,0.81,1.6,0,0,2122,0,0,0,0,0,0,0,0,0,0,0,0,2008/2009
fc genua 1893,serie a,1,italy,in,domenico criscito,21,italy,juventus turin,italy,LB,defender,75,83,juventus turin,serie a,1,italy,10.35,4.05,0,25,0.81,1.6,0,0,2122,0,0,0,0,0,0,0,0,0,0,0,0,2008/2009
ac mailand,serie a,1,italy,in,gianluca zambrotta,31,italy,fc barcelona,spain,RB,defender,83,88,fc barcelona,primera division,1,spain,9.45,14.4,0,41,0.91,1.63,0,1,3186,7,1,2,0,0,622,0,0,0,0,0,0,2008/2009
