club,club_league,club_league_tier,club_country,transfer_movement,player_name,player_age,player_nationality,player_club,player_club_country,player_position,player_position_category,player_rating,player_potential,club_involved,club_involved_league,club_involved_league_tier,club_involved_country,transfer_fee,market_value,remaining_contract_duration,total_apps,total_apps_ratio,total_minutes_per_point,total_goals,total_assists,total_minutes_played,ucl_apps,ucl_apps_ratio,ucl_minutes_per_point,ucl_goals,ucl_assists,ucl_minutes_played,el_apps,el_apps_ratio,el_minutes_per_point,el_goals,el_assists,el_minutes_played,season
manchester united,premier league,1,england,in,juan mata,25,spain,fc chelsea,england,AM,midfielder,86,88,fc chelsea,premier league,1,england,40.26,34.2,891,64,0.98,1.97,19,35,4914,6,1.0,1.67,3,3,442,8,0.89,2.38,1,5,490,2013/2014
manchester united,premier league,1,england,in,marouane fellaini,25,belgium,fc everton,england,CM,midfielder,80,85,fc everton,premier league,1,england,29.16,25.2,1037,36,1.0,1.61,12,8,3213,0,0,0,0,0,0,0,0,0,0,0,0,2013/2014
manchester city,premier league,1,england,in,fernandinho,28,brazil,shakhtar donetsk,ukraine,DM,midfielder,75,78,shakhtar donetsk,premier liga,1,ukraine,36.0,28.8,0,36,0.97,2.44,6,10,3027,8,1.0,1.38,1,1,720,0,0,0,0,0,0,2013/2014
manchester city,premier league,1,england,in,stevan jovetic,23,montenegro,ac florenz,italy,CF,attacker,84,88,ac florenz,serie a,1,italy,23.4,25.2,0,34,0.94,1.82,13,5,2750,0,0,0,0,0,0,0,0,0,0,0,0,2013/2014
manchester city,premier league,1,england,in,alvaro negredo,27,spain,fc sevilla,spain,CF,attacker,83,83,fc sevilla,primera division,1,spain,22.5,18.0,0,42,1.0,1.45,31,4,3523,0,0,0,0,0,0,0,0,0,0,0,0,2013/2014
manchester city,premier league,1,england,in,jesus navas,27,spain,fc sevilla,spain,RB,defender,85,86,fc sevilla,primera division,1,spain,18.0,18.0,0,44,1.0,1.39,1,10,3924,0,0,0,0,0,0,0,0,0,0,0,0,2013/2014
manchester city,premier league,1,england,in,martin demichelis,32,argentina,atletico madrid,spain,CB,defender,80,80,atletico madrid,primera division,1,spain,4.5,2.7,0,45,0.96,1.64,5,0,3836,9,1.0,1.67,0,0,765,0,0,0,0,0,0,2013/2014
manchester city,premier league,1,england,out,carlos tevez,29,argentina,manchester city,england,SS,attacker,86,86,juventus turin,serie a,1,italy,8.1,24.3,0,47,0.92,1.94,17,15,3368,5,0.83,0.4,0,0,295,0,0,0,0,0,0,2013/2014
fc chelsea,premier league,1,england,in,willian,25,brazil,anzhi makhachkala,russia,RW,attacker,82,86,anzhi makhachkala,premier liga,1,russia,31.95,27.0,0,35,1.0,2.2,8,15,2660,6,1.0,1.67,4,3,526,3,1.0,1.67,0,1,175,2013/2014
fc chelsea,premier league,1,england,in,nemanja matic,25,serbia,benfica lissabon,portugal,DM,midfielder,80,85,benfica lissabon,primeira liga,1,portugal,22.5,24.3,1630,46,1.0,2.28,5,1,3988,5,1.0,1.0,0,0,437,8,1.0,2.0,1,0,720,2013/2014
fc chelsea,premier league,1,england,in,andre schurrle,22,germany,bayer 04 leverkusen,germany,LW,attacker,80,85,bayer 04 leverkusen,1 bundesliga,1,germany,19.8,22.5,1101,43,1.0,1.88,14,10,3456,0,0,0,0,0,0,6,1.0,1.67,2,1,349,2013/2014
fc chelsea,premier league,1,england,in,mohamed salah,21,egypt,fc basel 1893,switzerland,RW,attacker,73,82,fc basel 1893,raiffeisen super league,1,switzerland,14.85,7.65,889,50,0.98,1.94,10,11,2873,0,0,0,0,0,0,14,1.0,1.43,2,5,947,2013/2014
fc chelsea,premier league,1,england,in,kurt zouma,19,france,as saint etienne,france,CB,defender,73,85,as saint etienne,ligue 1,1,france,13.14,6.75,0,23,0.7,1.7,2,0,2069,0,0,0,0,0,0,0,0,0,0,0,0,2013/2014
fc chelsea,premier league,1,england,in,marco van ginkel,20,netherlands,vitesse arnheim,netherlands,CM,midfielder,75,84,vitesse arnheim,eredivisie,1,netherlands,8.46,7.2,0,41,1.0,1.88,12,12,3553,0,0,0,0,0,0,0,0,0,0,0,0,2013/2014
fc chelsea,premier league,1,england,in,christian atsu,21,ghana,fc porto,portugal,LW,attacker,76,83,fc porto,primeira liga,1,portugal,2.7,5.4,309,31,0.94,2.23,1,4,1103,8,1.0,2.0,0,1,135,0,0,0,0,0,0,2013/2014
fc chelsea,premier league,1,england,in,stipe perica,18,croatia,nk zadar,croatia,CF,attacker,NA,NA,nk zadar,1 hnl,1,croatia,2.21,0.36,1069,20,0.95,1.4,8,1,1334,0,0,0,0,0,0,0,0,0,0,0,0,2013/2014
fc chelsea,premier league,NA,england,in,cristian cuevas,18,chile,cd ohiggins,chile,LB,defender,NA,NA,cd ohiggins,primera division clausura,1,chile,1.71,0.068,0,7,0.7,2.14,0,0,353,0,0,0,0,0,0,0,0,0,0,0,0,2013/2014
fc chelsea,premier league,1,england,out,juan mata,25,spain,fc chelsea,england,AM,midfielder,86,88,manchester united,premier league,1,england,40.26,34.2,891,64,0.98,1.97,19,35,4914,6,1.0,1.67,3,3,442,8,0.89,2.38,1,5,490,2013/2014
fc chelsea,premier league,1,england,out,kevin de bruyne,22,belgium,fc chelsea,england,AM,midfielder,79,85,vfl wolfsburg,1 bundesliga,1,germany,19.8,13.5,1262,34,1.0,1.0,10,10,3086,0,0,0,0,0,0,0,0,0,0,0,0,2013/2014
