club,club_league,club_league_tier,club_country,transfer_movement,player_name,player_age,player_nationality,player_club,player_club_country,player_position,player_position_category,player_rating,player_potential,club_involved,club_involved_league,club_involved_league_tier,club_involved_country,transfer_fee,market_value,remaining_contract_duration,total_apps,total_apps_ratio,total_minutes_per_point,total_goals,total_assists,total_minutes_played,ucl_apps,ucl_apps_ratio,ucl_minutes_per_point,ucl_goals,ucl_assists,ucl_minutes_played,el_apps,el_apps_ratio,el_minutes_per_point,el_goals,el_assists,el_minutes_played,season
fc arsenal,premier league,1,england,in,santi cazorla,27,spain,fc malaga,spain,CM,midfielder,84,87,fc malaga,primera division,1,spain,17.1,18.0,1063,42,1.0,1.48,9,8,3466,0,0,0,0,0,0,0,0,0,0,0,0,2012/2013
fc arsenal,premier league,1,england,in,lukas podolski,27,germany,1 fc koln,germany,SS,attacker,83,85,1 fc koln,2 bundesliga,2,germany,13.5,18.0,371,31,1.0,0.94,18,10,2708,0,0,0,0,0,0,0,0,0,0,0,0,2012/2013
fc arsenal,premier league,1,england,in,olivier giroud,25,france,hsc montpellier,france,CF,attacker,80,83,hsc montpellier,ligue 1,1,france,10.8,11.7,371,42,0.98,2.14,25,12,3698,0,0,0,0,0,0,0,0,0,0,0,0,2012/2013
fc arsenal,premier league,1,england,in,nacho monreal,26,spain,fc malaga,spain,LB,defender,77,81,fc malaga,primera division,1,spain,9.0,5.4,1249,33,0.82,1.27,0,4,2745,0,0,0,0,0,0,0,0,0,0,0,0,2012/2013
fc arsenal,premier league,1,england,out,robin van persie,29,netherlands,fc arsenal,england,CF,attacker,88,88,manchester united,premier league,1,england,27.63,42.75,323,48,1.0,1.88,37,14,4096,7,1.0,2.0,4,0,493,0,0,0,0,0,0,2012/2013
fc arsenal,premier league,1,england,out,alex song,24,cameroon,fc arsenal,england,DM,midfielder,82,85,fc barcelona,primera division,1,spain,17.1,22.5,1050,46,1.0,1.96,1,14,4079,7,1.0,2.0,0,2,630,0,0,0,0,0,0,2012/2013
fc arsenal,premier league,1,england,out,carlos vela,23,mexico,fc arsenal,england,RW,attacker,74,78,real sociedad san sebastian,primera division,1,spain,12.6,7.2,1060,37,1.0,1.35,12,7,2594,0,0,0,0,0,0,0,0,0,0,0,0,2012/2013
fc arsenal,premier league,1,england,out,henri lansbury,21,england,fc arsenal,england,CM,midfielder,70,81,nottingham forest,championship,2,england,1.13,1.35,677,26,0.79,1.65,1,3,1462,0,0,0,0,0,0,0,0,0,0,0,0,2012/2013
fc everton,premier league,1,england,in,kevin mirallas,24,belgium,olympiakos piraus,greece,RW,attacker,76,81,olympiakos piraus,super league,1,greece,6.89,5.85,686,38,0.93,2.26,20,8,3324,6,1.0,1.5,0,1,525,4,1.0,2.25,0,0,359,2012/2013
fc everton,premier league,1,england,in,steven pienaar,30,south africa,tottenham hotspur,england,LW,attacker,77,77,tottenham hotspur,premier league,1,england,5.18,6.3,1070,21,0.7,1.71,5,7,1599,0,0,0,0,0,0,3,1.0,1.0,1,0,247,2012/2013
fc everton,premier league,1,england,in,bryan oviedo,22,costa rica,fc kopenhagen,denmark,LB,defender,67,73,fc kopenhagen,superligaen,1,denmark,4.05,0.72,309,30,0.68,1.8,1,10,2272,0,0,0,0,0,0,4,0.67,0.5,0,0,245,2012/2013
fc everton,premier league,1,england,in,john stones,18,england,fc barnsley,england,CB,defender,50,54,fc barnsley,championship,2,england,3.15,0.09,154,2,0.67,0.5,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,2012/2013
