club,club_league,club_league_tier,club_country,transfer_movement,player_name,player_age,player_nationality,player_club,player_club_country,player_position,player_position_category,player_rating,player_potential,club_involved,club_involved_league,club_involved_league_tier,club_involved_country,transfer_fee,market_value,remaining_contract_duration,total_apps,total_apps_ratio,total_minutes_per_point,total_goals,total_assists,total_minutes_played,ucl_apps,ucl_apps_ratio,ucl_minutes_per_point,ucl_goals,ucl_assists,ucl_minutes_played,el_apps,el_apps_ratio,el_minutes_per_point,el_goals,el_assists,el_minutes_played,season
athletic bilbao,primera division,1,spain,in,yuri berchiche,28,spain,fc paris saint germain,france,LB,defender,78,78,fc paris saint germain,ligue 1,1,france,21.6,15.3,1099,32,0.63,2.5,2,4,2613,2,0.29,0,0,0,180,0,0,0,0,0,0,2018/2019
athletic bilbao,primera division,1,spain,in,ibai gomez,29,spain,deportivo alaves,spain,RW,attacker,76,76,deportivo alaves,primera division,1,spain,3.6,4.5,175,38,0.93,1.29,7,6,2560,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
athletic bilbao,primera division,1,spain,in,ander capa,26,spain,sd eibar,spain,RB,defender,78,80,sd eibar,primera division,1,spain,2.7,2.7,0,34,0.92,1.32,0,1,2321,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
athletic bilbao,primera division,1,spain,in,cristian ganea,26,romania,fc viitorul constanta,romania,LB,defender,NA,NA,fc viitorul constanta,liga 1 meisterrunde,1,romania,0.9,1.62,371,39,1.0,1.54,6,5,3517,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
athletic bilbao,primera division,NA,spain,in,kenan kodro,25,bosnia-herzegovina,fc kopenhagen,denmark,CF,attacker,NA,NA,fc kopenhagen,alka superligaen meisterrunde,NA,denmark,0.81,0.63,1249,25,0.86,0.88,7,1,1552,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
athletic bilbao,primera division,1,spain,out,kepa,23,spain,athletic bilbao,spain,GK,keeper,82,87,fc chelsea,premier league,1,england,72.0,18.0,2522,31,0.67,1.0,0,0,2790,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
atletico madrid,primera division,1,spain,in,thomas lemar,22,france,as monaco,france,LW,attacker,83,89,as monaco,ligue 1,1,france,63.0,58.5,736,38,1.0,2.0,3,10,2874,3,1.0,0.33,0,0,178,0,0,0,0,0,0,2018/2019
atletico madrid,primera division,1,spain,in,rodri,22,spain,fc villarreal,spain,DM,midfielder,77,86,fc villarreal,primera division,1,spain,22.5,22.5,1466,47,0.98,1.64,1,4,3892,0,0,0,0,0,0,6,0.86,1.67,0,1,458,2018/2019
atletico madrid,primera division,1,spain,in,gelson martins,23,portugal,sporting lissabon,portugal,RW,attacker,82,88,sporting lissabon,primeira liga,1,portugal,20.25,31.5,1441,52,1.0,2.13,13,13,4368,6,1.0,1.17,1,2,462,5,1.0,1.8,1,0,475,2018/2019
atletico madrid,primera division,1,spain,in,nikola kalinic,30,croatia,ac mailand,italy,CF,attacker,79,79,ac mailand,serie a,1,italy,13.05,12.6,1061,41,0.91,1.54,6,4,2235,0,0,0,0,0,0,6,0.75,1.33,0,1,184,2018/2019
atletico madrid,primera division,1,spain,in,santiago arias,26,colombia,psv eindhoven,netherlands,RB,defender,78,80,psv eindhoven,eredivisie,1,netherlands,9.9,16.2,340,35,0.95,2.31,3,6,3144,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
atletico madrid,primera division,1,spain,in,jonny otto,24,spain,celta vigo,spain,LB,defender,78,83,celta vigo,primera division,1,spain,6.3,10.8,346,40,1.0,1.43,2,2,3556,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
atletico madrid,primera division,NA,spain,in,nehuen perez,18,argentina,argentinos juniors u20,argentina,CB,defender,NA,NA,argentinos juniors u20,NA,1,argentina,2.25,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
atletico madrid,primera division,1,spain,in,antonio adan,31,spain,real betis sevilla,spain,GK,keeper,82,82,real betis sevilla,primera division,1,spain,0.9,4.5,361,30,0.94,1.53,0,0,2700,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
atletico madrid,primera division,1,spain,out,jonny otto,24,spain,atletico madrid,spain,LB,defender,NA,NA,wolverhampton wanderers,premier league,1,england,18.45,10.8,1979,40,1.0,1.43,2,2,3556,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
atletico madrid,primera division,1,spain,out,kevin gameiro,31,france,atletico madrid,spain,CF,attacker,82,82,fc valencia,primera division,1,spain,14.4,18.0,693,36,0.68,2.14,11,4,1744,3,0.75,1.67,1,0,164,5,0.62,2.6,2,0,254,2018/2019
atletico madrid,primera division,1,spain,out,diogo jota,21,portugal,atletico madrid,spain,LW,attacker,78,86,wolverhampton wanderers,premier league,1,england,12.6,10.8,1101,46,1.0,2.09,18,6,3672,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
atletico madrid,primera division,1,spain,out,pierre kunde malong,22,cameroon,atletico madrid,spain,CM,midfielder,68,78,1 fsv mainz 05,1 bundesliga,1,germany,6.75,1.8,365,38,0.93,1.47,5,0,2581,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
cd leganes,primera division,1,spain,in,youssef en nesyri,21,morocco,fc malaga,spain,CF,attacker,71,78,fc malaga,segunda division,2,spain,5.4,5.4,688,26,0.87,0.62,4,0,1609,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
cd leganes,primera division,1,spain,in,vasyl kravets,21,ukraine,cd lugo,spain,LB,defender,65,75,cd lugo,segunda division,2,spain,2.25,0.45,0,18,0.75,1.0,0,3,1514,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
cd leganes,primera division,1,spain,in,recio,27,spain,fc malaga,spain,CM,midfielder,77,80,fc malaga,segunda division,2,spain,1.35,1.8,0,23,1.0,0.48,2,2,1932,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
cd leganes,primera division,1,spain,in,josua mejias,20,venezuela,carabobo futbol club,venezuela,CB,defender,NA,NA,carabobo futbol club,liga venezolana clausura,1,venezuela,0.405,0.18,0,28,0.74,1.54,0,0,2283,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
cd leganes,primera division,1,spain,in,facundo garcia,18,argentina,olimpo de bahia blanca,argentina,CM,midfielder,55,65,olimpo de bahia blanca,primera b nacional,2,argentina,0.315,0.113,1097,10,1.0,0.3,0,0,662,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
cd leganes,primera division,1,spain,out,diego rico,25,spain,cd leganes,spain,LB,defender,76,81,afc bournemouth,premier league,1,england,13.5,2.25,1077,33,0.8,1.18,3,2,2776,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
cd leganes,primera division,1,spain,out,gabriel,24,brazil,cd leganes,spain,CM,midfielder,75,81,benfica lissabon,primeira liga,1,portugal,7.2,9.0,313,35,0.95,1.29,6,2,2880,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
deportivo alaves,primera division,1,spain,in,john guidetti,26,sweden,celta vigo,spain,CF,attacker,78,80,celta vigo,primera division,1,spain,3.6,4.5,736,29,0.91,1.52,4,3,1623,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
deportivo alaves,primera division,NA,spain,in,patrick twumasi,24,ghana,fk astana,kazakhstan,RW,attacker,NA,NA,fk astana,kasachischer supercup,1,kazakhstan,2.7,2.52,524,29,1.0,2.0,18,3,2348,0,0,0,0,0,0,8,1.0,1.38,5,3,717,2018/2019
deportivo alaves,primera division,1,spain,in,ximo navarro,28,spain,ud las palmas,spain,CB,defender,74,75,ud las palmas,segunda division,2,spain,1.35,1.8,730,33,0.87,0.67,0,0,2713,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
deportivo alaves,primera division,1,spain,in,tomas pina,30,spain,fc brugge,belgium,CM,midfielder,73,73,fc brugge,jupiler pro league,1,belgium,1.35,1.62,693,33,0.82,1.33,1,0,2692,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
deportivo alaves,primera division,NA,spain,in,eraldo cinari,21,albania,kf vllaznia shkoder,albania,LW,attacker,NA,NA,kf vllaznia shkoder,NA,1,albania,0.018,0.293,0,33,0.92,1.24,6,2,2307,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
deportivo alaves,primera division,1,spain,out,ruben sobrino,26,spain,deportivo alaves,spain,CF,attacker,72,77,fc valencia,primera division,1,spain,4.5,2.7,884,33,0.94,1.15,5,4,1927,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
deportivo alaves,primera division,1,spain,out,ibai gomez,29,spain,deportivo alaves,spain,RW,attacker,76,76,athletic bilbao,primera division,1,spain,3.6,4.5,175,38,0.93,1.29,7,6,2560,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
