club,club_league,club_league_tier,club_country,transfer_movement,player_name,player_age,player_nationality,player_club,player_club_country,player_position,player_position_category,player_rating,player_potential,club_involved,club_involved_league,club_involved_league_tier,club_involved_country,transfer_fee,market_value,remaining_contract_duration,total_apps,total_apps_ratio,total_minutes_per_point,total_goals,total_assists,total_minutes_played,ucl_apps,ucl_apps_ratio,ucl_minutes_per_point,ucl_goals,ucl_assists,ucl_minutes_played,el_apps,el_apps_ratio,el_minutes_per_point,el_goals,el_assists,el_minutes_played,season
olympique marseille,ligue 1,1,france,out,samir nasri,21,france,olympique marseille,france,AM,midfielder,82,90,fc arsenal,premier league,1,england,14.4,13.5,0,42,1,1.57,6,15,3504,4,1,0.75,0,1,260,0,0,0,0,0,0,2008/2009
olympique lyon,ligue 1,1,france,in,ederson,22,brazil,ogc nizza,france,AM,midfielder,79,86,ogc nizza,ligue 1,1,france,13.41,9.9,0,40,1,1.43,8,2,3488,0,0,0,0,0,0,0,0,0,0,0,0,2008/2009
ogc nizza,ligue 1,1,france,out,ederson,22,brazil,ogc nizza,france,AM,midfielder,79,86,olympique lyon,ligue 1,1,france,13.41,9.9,0,40,1,1.43,8,2,3488,0,0,0,0,0,0,0,0,0,0,0,0,2008/2009
olympique lyon,ligue 1,1,france,in,jean ii makoun,25,cameroon,osc lille,france,DM,midfielder,82,86,osc lille,ligue 1,1,france,12.6,11.25,0,27,1,1.41,2,4,2364,0,0,0,0,0,0,0,0,0,0,0,0,2008/2009
osc lille,ligue 1,1,france,out,jean ii makoun,25,cameroon,osc lille,france,DM,midfielder,82,86,olympique lyon,ligue 1,1,france,12.6,11.25,0,27,1,1.41,2,4,2364,0,0,0,0,0,0,0,0,0,0,0,0,2008/2009
fc toulouse,ligue 1,1,france,out,johan elmander,27,sweden,fc toulouse,france,CF,attacker,78,87,bolton wanderers,premier league,1,england,11.34,9,0,38,1,1,12,3,3221,0,0,0,0,0,0,0,0,0,0,0,0,2008/2009
olympique lyon,ligue 1,1,france,out,hatem ben arfa,21,france,olympique lyon,france,AM,midfielder,79,91,olympique marseille,ligue 1,1,france,10.8,8.1,0,43,0.93,2,8,5,2400,8,1,1.38,2,0,441,0,0,0,0,0,0,2008/2009
olympique marseille,ligue 1,1,france,in,hatem ben arfa,21,france,olympique lyon,france,AM,midfielder,79,91,olympique lyon,ligue 1,1,france,10.8,8.1,0,43,0.93,2,8,5,2400,8,1,1.38,2,0,441,0,0,0,0,0,0,2008/2009
as monaco,ligue 1,1,france,out,jeremy menez,21,france,as monaco,france,RW,attacker,79,84,as rom,serie a,1,italy,10.8,6.75,0,28,0.97,1.39,7,4,2084,0,0,0,0,0,0,0,0,0,0,0,0,2008/2009
olympique marseille,ligue 1,1,france,in,bakari kone,26,cote d\'ivoire,ogc nizza,france,RW,attacker,NA,NA,ogc nizza,ligue 1,1,france,8.1,6.75,0,32,1,1.53,14,3,2544,0,0,0,0,0,0,0,0,0,0,0,0,2008/2009
as nancy lorraine,ligue 1,1,france,out,kimtm,28,brazil,as nancy lorraine,france,CF,attacker,NA,NA,al arabi sports club,NA,NA,qatar,8.1,4.05,0,25,0.93,1.64,6,0,1605,0,0,0,0,0,0,0,0,0,0,0,0,2008/2009
ogc nizza,ligue 1,1,france,out,bakari kone,26,cote d\'ivoire,ogc nizza,france,RW,attacker,NA,NA,olympique marseille,ligue 1,1,france,8.1,6.75,0,32,1,1.53,14,3,2544,0,0,0,0,0,0,0,0,0,0,0,0,2008/2009
olympique lyon,ligue 1,1,france,in,hugo lloris,21,france,ogc nizza,france,GK,keeper,81,88,ogc nizza,ligue 1,1,france,7.65,7.65,371,30,0.94,1.33,0,0,2637,0,0,0,0,0,0,0,0,0,0,0,0,2008/2009
fc le mans,ligue 1,1,france,out,romaric,25,cote d\'ivoire,fc le mans,france,DM,midfielder,NA,NA,fc sevilla,primera division,1,spain,7.65,6.3,0,36,1,1.53,2,7,3088,0,0,0,0,0,0,0,0,0,0,0,0,2008/2009
ogc nizza,ligue 1,1,france,out,hugo lloris,21,france,ogc nizza,france,GK,keeper,81,88,olympique lyon,ligue 1,1,france,7.65,7.65,371,30,0.94,1.33,0,0,2637,0,0,0,0,0,0,0,0,0,0,0,0,2008/2009
olympique lyon,ligue 1,1,france,in,john mensah,25,ghana,fc stade rennes,france,CB,defender,80,89,fc stade rennes,ligue 1,1,france,7.56,5.4,0,27,0.9,1.67,1,0,2341,0,0,0,0,0,0,0,0,0,0,0,0,2008/2009
fc stade rennes,ligue 1,1,france,out,john mensah,25,ghana,fc stade rennes,france,CB,defender,80,89,olympique lyon,ligue 1,1,france,7.56,5.4,0,27,0.9,1.67,1,0,2341,0,0,0,0,0,0,0,0,0,0,0,0,2008/2009
olympique lyon,ligue 1,1,france,out,loic remy,21,france,olympique lyon,france,CF,attacker,72,82,ogc nizza,ligue 1,1,france,7.2,5.4,371,21,0.66,1.24,4,2,1011,1,0.33,1,0,0,8,0,0,0,0,0,0,2008/2009
fc stade rennes,ligue 1,1,france,in,asamoah gyan,22,ghana,udinese calcio,italy,CF,attacker,73,78,udinese calcio,serie a,1,italy,7.2,5.4,0,13,1,1.85,3,0,733,0,0,0,0,0,0,0,0,0,0,0,0,2008/2009
fc le mans,ligue 1,1,france,out,stephane sessegnon,24,benin,fc le mans,france,AM,midfielder,74,77,fc paris saint germain,ligue 1,1,france,7.2,4.5,0,35,0.97,1.46,5,4,2936,0,0,0,0,0,0,0,0,0,0,0,0,2008/2009
fc paris saint germain,ligue 1,1,france,in,stephane sessegnon,24,benin,fc le mans,france,AM,midfielder,74,77,fc le mans,ligue 1,1,france,7.2,4.5,0,35,0.97,1.46,5,4,2936,0,0,0,0,0,0,0,0,0,0,0,0,2008/2009
fc paris saint germain,ligue 1,1,france,out,amara diane,25,cote d\'ivoire,fc paris saint germain,france,RW,attacker,NA,NA,al rayyan sports club,NA,NA,qatar,7.2,4.5,0,45,1,1.36,15,2,2950,0,0,0,0,0,0,0,0,0,0,0,0,2008/2009
ogc nizza,ligue 1,1,france,in,loic remy,21,france,olympique lyon,france,CF,attacker,72,82,olympique lyon,ligue 1,1,france,7.2,5.4,371,21,0.66,1.24,4,2,1011,1,0.33,1,0,0,8,0,0,0,0,0,0,2008/2009
olympique lyon,ligue 1,NA,france,in,miralem pjanic,18,bosnia-herzegovina,fc metz,france,CM,midfielder,NA,NA,fc metz,ligue 2,1,france,6.75,4.95,0,38,1,0.84,5,2,2839,0,0,0,0,0,0,0,0,0,0,0,0,2008/2009
fc toulouse,ligue 1,1,france,out,achille emana,26,cameroon,fc toulouse,france,AM,midfielder,79,84,real betis sevilla,primera division,1,spain,6.3,7.65,0,39,1,1.05,7,2,3484,0,0,0,0,0,0,0,0,0,0,0,0,2008/2009
osc lille,ligue 1,1,france,in,rio mavuba,24,france,fc villarreal,spain,DM,midfielder,NA,NA,fc villarreal,primera division,1,spain,6.3,5.4,1466,33,0.82,2.03,2,1,2588,0,0,0,0,0,0,0,0,0,0,0,0,2008/2009
