club,club_league,club_league_tier,club_country,transfer_movement,player_name,player_age,player_nationality,player_club,player_club_country,player_position,player_position_category,player_rating,player_potential,club_involved,club_involved_league,club_involved_league_tier,club_involved_country,transfer_fee,market_value,remaining_contract_duration,total_apps,total_apps_ratio,total_minutes_per_point,total_goals,total_assists,total_minutes_played,ucl_apps,ucl_apps_ratio,ucl_minutes_per_point,ucl_goals,ucl_assists,ucl_minutes_played,el_apps,el_apps_ratio,el_minutes_per_point,el_goals,el_assists,el_minutes_played,season
juventus turin,serie a,1,italy,out,paul pogba,23,france,juventus turin,italy,CM,midfielder,86,91,manchester united,premier league,1,england,94.5,63,1061,49,0.98,2.29,10,13,4284,8,1,1.5,1,2,750,0,0,0,0,0,0,2016/2017
juventus turin,serie a,1,italy,in,gonzalo higuain,28,argentina,ssc neapel,italy,CF,attacker,86,86,ssc neapel,serie a,1,italy,81,58.5,710,42,0.98,2.12,38,3,3287,0,0,0,0,0,0,5,0.83,2,2,0,223,2016/2017
ssc neapel,serie a,1,italy,out,gonzalo higuain,28,argentina,ssc neapel,italy,CF,attacker,86,86,juventus turin,serie a,1,italy,81,58.5,710,42,0.98,2.12,38,3,3287,0,0,0,0,0,0,5,0.83,2,2,0,223,2016/2017
inter mailand,serie a,1,italy,in,joao mario,23,portugal,sporting lissabon,portugal,CM,midfielder,80,86,sporting lissabon,primeira liga,1,portugal,36,27,1407,45,1,2.24,7,12,3599,0,0,0,0,0,0,5,1,1.2,1,1,380,2016/2017
juventus turin,serie a,1,italy,in,miralem pjanic,26,bosnia-herzegovina,as rom,italy,CM,midfielder,NA,NA,as rom,serie a,1,italy,28.8,31.5,736,41,0.98,1.8,12,11,3343,7,1,0.71,2,1,570,0,0,0,0,0,0,2016/2017
ssc neapel,serie a,1,italy,in,arkadiusz milik,22,poland,ajax amsterdam,netherlands,CF,attacker,77,84,ajax amsterdam,eredivisie,1,netherlands,28.8,10.8,1069,42,0.98,2.1,24,12,3275,0,0,0,0,0,0,5,1,1.4,1,1,379,2016/2017
as rom,serie a,1,italy,out,miralem pjanic,26,bosnia-herzegovina,as rom,italy,CM,midfielder,NA,NA,juventus turin,serie a,1,italy,28.8,31.5,736,41,0.98,1.8,12,11,3343,7,1,0.71,2,1,570,0,0,0,0,0,0,2016/2017
juventus turin,serie a,1,italy,out,alvaro morata,23,spain,juventus turin,italy,CF,attacker,80,85,real madrid,primera division,1,spain,27,27,1466,47,1,2.36,12,11,2377,8,1,1.5,2,2,534,0,0,0,0,0,0,2016/2017
inter mailand,serie a,1,italy,in,gabriel barbosa,20,brazil,fc santos,brazil,CF,attacker,NA,NA,fc santos,campeonato brasileiro serie a,1,brazil,26.55,18,1856,11,1,1.73,5,0,911,0,0,0,0,0,0,0,0,0,0,0,0,2016/2017
ac florenz,serie a,1,italy,out,marcos alonso,25,spain,ac florenz,italy,LB,defender,75,78,fc chelsea,premier league,1,england,20.7,8.1,1769,39,1,1.51,3,4,2939,0,0,0,0,0,0,7,1,1.57,0,0,558,2016/2017
juventus turin,serie a,1,italy,in,marko pjaca,21,croatia,gnk dinamo zagreb,croatia,LW,attacker,NA,NA,gnk dinamo zagreb,1 hnl,1,croatia,20.7,7.2,1065,42,0.98,2.07,12,6,2924,6,1,0.5,0,0,385,0,0,0,0,0,0,2016/2017
inter mailand,serie a,1,italy,in,antonio candreva,29,italy,lazio rom,italy,RM,midfielder,81,81,lazio rom,serie a,1,italy,19.8,20.7,1067,44,0.94,1.41,12,4,3141,0,0,0,0,0,0,9,1,1.78,2,1,490,2016/2017
lazio rom,serie a,1,italy,out,antonio candreva,29,italy,lazio rom,italy,RM,midfielder,81,81,inter mailand,serie a,1,italy,19.8,20.7,1067,44,0.94,1.41,12,4,3141,0,0,0,0,0,0,9,1,1.78,2,1,490,2016/2017
atalanta bergamo,serie a,1,italy,out,mattia caldara,22,italy,atalanta bergamo,italy,CB,defender,69,79,juventus turin,serie a,1,italy,17.1,7.2,1633,29,0.94,1.72,3,0,2525,0,0,0,0,0,0,0,0,0,0,0,0,2016/2017
juventus turin,serie a,1,italy,in,mattia caldara,22,italy,atalanta bergamo,italy,CB,defender,69,79,atalanta bergamo,serie a,1,italy,17.1,7.2,1633,29,0.94,1.72,3,0,2525,0,0,0,0,0,0,0,0,0,0,0,0,2016/2017
