club,club_league,club_league_tier,club_country,transfer_movement,player_name,player_age,player_nationality,player_club,player_club_country,player_position,player_position_category,player_rating,player_potential,club_involved,club_involved_league,club_involved_league_tier,club_involved_country,transfer_fee,market_value,remaining_contract_duration,total_apps,total_apps_ratio,total_minutes_per_point,total_goals,total_assists,total_minutes_played,ucl_apps,ucl_apps_ratio,ucl_minutes_per_point,ucl_goals,ucl_assists,ucl_minutes_played,el_apps,el_apps_ratio,el_minutes_per_point,el_goals,el_assists,el_minutes_played,season
fc porto,primeira liga,1,portugal,in,danilo,19,brazil,fc santos,brazil,RB,defender,76,83,fc santos,campeonato brasileiro serie a,1,brazil,11.7,4.5,0,37,0.97,1.76,5,2,3147,0,0,0,0,0,0,0,0,0,0,0,0,2011/2012
fc porto,primeira liga,NA,portugal,in,alex sandro,20,brazil,club deportivo maldonado,uruguay,LB,defender,70,82,club deportivo maldonado,segunda division profesional,1,uruguay,8.64,1.62,0,17,0.89,1.71,0,1,822,0,0,0,0,0,0,0,0,0,0,0,0,2011/2012
fc porto,primeira liga,1,portugal,in,eliaquim mangala,20,france,standard luttich,belgium,CB,defender,72,82,standard luttich,jupiler pro league,1,belgium,6.08,4.5,0,41,1.0,1.95,2,2,3356,0,0,0,0,0,0,0,0,0,0,0,0,2011/2012
fc porto,primeira liga,1,portugal,in,steven defour,23,belgium,standard luttich,belgium,CM,midfielder,79,84,standard luttich,jupiler pro league,1,belgium,5.4,10.8,0,32,0.94,2.13,3,10,2623,0,0,0,0,0,0,0,0,0,0,0,0,2011/2012
fc porto,primeira liga,1,portugal,in,kleber,21,brazil,atletico mineiro,brazil,CF,attacker,76,81,atletico mineiro,campeonato brasileiro serie a,1,brazil,3.2,1.17,1145,20,0.95,1.25,8,1,1459,0,0,0,0,0,0,0,0,0,0,0,0,2011/2012
fc porto,primeira liga,1,portugal,in,kelvin,18,brazil,parana clube,brazil,RW,attacker,69,83,parana clube,campeonato brasileiro serie b,2,brazil,2.73,-,0,4,1.0,1.75,1,0,324,0,0,0,0,0,0,0,0,0,0,0,0,2011/2012
fc porto,primeira liga,1,portugal,in,marc janko,28,austria,fc twente enschede,netherlands,CF,attacker,75,75,fc twente enschede,eredivisie,1,netherlands,2.7,5.4,0,42,0.93,1.86,17,6,2848,6,1.0,1.0,0,1,491,3,0.6,0.33,1,0,131,2011/2012
fc porto,primeira liga,1,portugal,out,falcao,25,colombia,fc porto,portugal,CF,attacker,86,87,atletico madrid,primera division,1,spain,36.0,22.5,0,42,0.93,2.67,38,7,3317,0,0,0,0,0,0,14,1.0,2.43,17,2,1097,2011/2012
fc porto,primeira liga,1,portugal,out,ruben micael,24,portugal,fc porto,portugal,CM,midfielder,77,84,atletico madrid,primera division,1,spain,4.5,4.41,0,36,0.68,2.53,4,7,1872,0,0,0,0,0,0,6,0.46,2.17,3,0,388,2011/2012
benfica lissabon,primeira liga,1,portugal,in,axel witsel,22,belgium,standard luttich,belgium,DM,midfielder,76,83,standard luttich,jupiler pro league,1,belgium,8.1,9.0,0,43,0.98,1.95,12,6,3816,0,0,0,0,0,0,0,0,0,0,0,0,2011/2012
