club,club_league,club_league_tier,club_country,transfer_movement,player_name,player_age,player_nationality,player_club,player_club_country,player_position,player_position_category,player_rating,player_potential,club_involved,club_involved_league,club_involved_league_tier,club_involved_country,transfer_fee,market_value,remaining_contract_duration,total_apps,total_apps_ratio,total_minutes_per_point,total_goals,total_assists,total_minutes_played,ucl_apps,ucl_apps_ratio,ucl_minutes_per_point,ucl_goals,ucl_assists,ucl_minutes_played,el_apps,el_apps_ratio,el_minutes_per_point,el_goals,el_assists,el_minutes_played,season
atletico madrid,primera division,1,spain,in,emiliano insua,24,argentina,sporting lissabon,portugal,LB,defender,76,80,sporting lissabon,primeira liga,1,portugal,3.15,9.0,1255,45,0.98,1.98,6,8,3863,0,0,0,0,0,0,12,1.0,1.92,4,1,975,2012/2013
atletico madrid,primera division,1,spain,in,cata diaz,32,argentina,fc getafe,spain,CB,defender,79,79,fc getafe,primera division,1,spain,0.9,2.25,0,38,1.0,1.18,0,0,3340,0,0,0,0,0,0,0,0,0,0,0,0,2012/2013
atletico madrid,primera division,1,spain,out,eduardo salvio,22,argentina,atletico madrid,spain,RW,attacker,77,85,benfica lissabon,primeira liga,1,portugal,9.9,9.0,1070,48,0.89,1.9,8,5,2351,0,0,0,0,0,0,14,0.88,2.86,5,3,544,2012/2013
atletico madrid,primera division,1,spain,out,alvaro dominguez,23,spain,atletico madrid,spain,CB,defender,78,84,borussia monchengladbach,1 bundesliga,1,germany,7.2,7.2,371,41,0.75,2.07,4,0,2825,0,0,0,0,0,0,10,0.67,2.8,1,0,555,2012/2013
atletico madrid,primera division,1,spain,out,emre belozoglu,32,turkey,atletico madrid,spain,CM,midfielder,NA,NA,fenerbahce istanbul,super lig,1,turkey,0.315,3.6,153,28,0.97,1.96,6,4,2200,0,0,0,0,0,0,0,0,0,0,0,0,2012/2013
fc barcelona,primera division,1,spain,in,alex song,24,cameroon,fc arsenal,england,DM,midfielder,82,85,fc arsenal,premier league,1,england,17.1,22.5,1050,46,1.0,1.96,1,14,4079,7,1.0,2.0,0,2,630,0,0,0,0,0,0,2012/2013
fc barcelona,primera division,1,spain,in,jordi alba,23,spain,fc valencia,spain,LB,defender,78,84,fc valencia,primera division,1,spain,12.6,9.0,0,50,0.91,1.6,3,6,3972,4,0.67,1.0,0,0,226,6,0.86,1.17,1,1,522,2012/2013
real saragossa,primera division,1,spain,in,apono,28,spain,fc malaga,spain,CM,midfielder,74,77,fc malaga,primera division,1,spain,0.9,2.7,702,26,0.93,1.42,6,1,1846,0,0,0,0,0,0,0,0,0,0,0,0,2012/2013
real saragossa,primera division,1,spain,in,jose manuel fernandez,23,spain,fc cordoba,spain,RB,defender,NA,NA,fc cordoba,segunda division,2,spain,0.45,0.72,0,39,0.89,1.64,0,0,3335,0,0,0,0,0,0,0,0,0,0,0,0,2012/2013
real saragossa,primera division,1,spain,in,javi alamo,23,spain,recreativo huelva,spain,RW,attacker,63,65,recreativo huelva,segunda division,2,spain,0.27,0.45,0,37,0.97,1.11,6,0,2944,0,0,0,0,0,0,0,0,0,0,0,0,2012/2013
