club,club_league,club_league_tier,club_country,transfer_movement,player_name,player_age,player_nationality,player_club,player_club_country,player_position,player_position_category,player_rating,player_potential,club_involved,club_involved_league,club_involved_league_tier,club_involved_country,transfer_fee,market_value,remaining_contract_duration,total_apps,total_apps_ratio,total_minutes_per_point,total_goals,total_assists,total_minutes_played,ucl_apps,ucl_apps_ratio,ucl_minutes_per_point,ucl_goals,ucl_assists,ucl_minutes_played,el_apps,el_apps_ratio,el_minutes_per_point,el_goals,el_assists,el_minutes_played,season
nac breda,eredivisie,1,netherlands,out,kees kwakman,27,netherlands,nac breda,netherlands,DM,midfielder,71,76,fc augsburg,2 bundesliga,2,germany,0.653,1.58,0,43,0.98,1.49,9,2,3491,0,0,0,0,0,0,0,0,0,0,0,0,2010/2011
roda jc kerkrade,eredivisie,NA,netherlands,in,mateusz prus,20,poland,zaglebie sosnowiec,poland,GK,keeper,65,70,zaglebie sosnowiec,NA,1,poland,0.09,-,0,2,1.0,0.5,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,2010/2011
fc utrecht,eredivisie,1,netherlands,in,kevin strootman,20,netherlands,sparta rotterdam,netherlands,DM,midfielder,NA,NA,sparta rotterdam,jupiler league,2,netherlands,0.63,1.35,0,36,1.0,1.0,4,9,3120,0,0,0,0,0,0,0,0,0,0,0,0,2010/2011
fc utrecht,eredivisie,1,netherlands,in,frank demouge,28,netherlands,willem ii tilburg,netherlands,CF,attacker,67,70,willem ii tilburg,eredivisie,1,netherlands,0.495,1.13,0,33,1.0,0.88,9,4,2778,0,0,0,0,0,0,0,0,0,0,0,0,2010/2011
fc groningen,eredivisie,1,netherlands,in,dusan tadic,21,serbia,fk vojvodina novi sad,serbia,LW,attacker,68,79,fk vojvodina novi sad,superliga,1,serbia,0.99,2.48,0,29,1.0,1.31,11,9,2313,0,0,0,0,0,0,0,0,0,0,0,0,2010/2011
fc groningen,eredivisie,NA,netherlands,in,matias jones,19,uruguay,danubio fc,uruguay,SS,attacker,NA,NA,danubio fc,primera division clausura,1,uruguay,0.675,0.18,0,4,0.5,0.25,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,2010/2011
fc groningen,eredivisie,1,netherlands,in,jonas ivens,25,belgium,kv mechelen,belgium,CB,defender,67,71,kv mechelen,jupiler pro league,1,belgium,0.45,1.35,0,36,1.0,1.58,1,1,3163,0,0,0,0,0,0,0,0,0,0,0,0,2010/2011
fc groningen,eredivisie,1,netherlands,in,maikel kieftenbeld,20,netherlands,go ahead eagles deventer,netherlands,DM,midfielder,63,74,go ahead eagles deventer,jupiler league,2,netherlands,0.27,0.36,0,42,1.0,1.81,2,7,3748,0,0,0,0,0,0,0,0,0,0,0,0,2010/2011
fc groningen,eredivisie,1,netherlands,out,sepp de roover,25,belgium,fc groningen,netherlands,RB,defender,68,73,ksc lokeren,jupiler pro league,1,belgium,0.248,1.8,0,16,0.94,1.19,0,2,1305,0,0,0,0,0,0,0,0,0,0,0,0,2010/2011
sc heerenveen,eredivisie,1,netherlands,in,bas dost,21,netherlands,heracles almelo,netherlands,CF,attacker,71,80,heracles almelo,eredivisie,1,netherlands,2.48,1.35,0,39,1.0,1.62,16,5,3392,0,0,0,0,0,0,0,0,0,0,0,0,2010/2011
