club,club_league,club_league_tier,club_country,transfer_movement,player_name,player_age,player_nationality,player_club,player_club_country,player_position,player_position_category,player_rating,player_potential,club_involved,club_involved_league,club_involved_league_tier,club_involved_country,transfer_fee,market_value,remaining_contract_duration,total_apps,total_apps_ratio,total_minutes_per_point,total_goals,total_assists,total_minutes_played,ucl_apps,ucl_apps_ratio,ucl_minutes_per_point,ucl_goals,ucl_assists,ucl_minutes_played,el_apps,el_apps_ratio,el_minutes_per_point,el_goals,el_assists,el_minutes_played,season
ssc neapel,serie a,1,italy,out,edinson cavani,26,uruguay,ssc neapel,italy,CF,attacker,87,89,fc paris saint germain,ligue 1,1,france,58.05,49.5,0,43,1,1.74,38,4,3653,0,0,0,0,0,0,7,1,0.86,7,1,462,2013/2014
ssc neapel,serie a,1,italy,in,gonzalo higuain,25,argentina,real madrid,spain,CF,attacker,84,87,real madrid,primera division,1,spain,35.1,27,0,44,0.9,2.05,18,9,2500,9,0.9,1.56,1,2,478,0,0,0,0,0,0,2013/2014
as rom,serie a,1,italy,out,marquinhos,19,brazil,as rom,italy,CB,defender,76,82,fc paris saint germain,ligue 1,1,france,28.26,13.5,0,30,0.83,1.63,0,0,2448,0,0,0,0,0,0,0,0,0,0,0,0,2013/2014
as rom,serie a,1,italy,out,erik lamela,21,argentina,as rom,italy,RW,attacker,82,86,tottenham hotspur,premier league,1,england,27,20.7,1040,36,0.97,1.53,15,6,2857,0,0,0,0,0,0,0,0,0,0,0,0,2013/2014
ac florenz,serie a,1,italy,out,stevan jovetic,23,montenegro,ac florenz,italy,CF,attacker,84,88,manchester city,premier league,1,england,23.4,25.2,0,34,0.94,1.82,13,5,2750,0,0,0,0,0,0,0,0,0,0,0,0,2013/2014
udinese calcio,serie a,1,italy,out,juan cuadrado,25,colombia,udinese calcio,italy,RW,attacker,79,82,ac florenz,serie a,1,italy,18,13.5,0,40,1,1.83,5,7,3239,0,0,0,0,0,0,0,0,0,0,0,0,2013/2014
ac florenz,serie a,1,italy,in,juan cuadrado,25,colombia,udinese calcio,italy,RW,attacker,79,82,udinese calcio,serie a,1,italy,18,13.5,0,40,1,1.83,5,7,3239,0,0,0,0,0,0,0,0,0,0,0,0,2013/2014
inter mailand,serie a,1,italy,in,hernanes,28,brazil,lazio rom,italy,AM,midfielder,84,85,lazio rom,serie a,1,italy,16.2,19.8,0,53,1,1.92,14,8,4035,0,0,0,0,0,0,14,1,2.07,1,3,1047,2013/2014
lazio rom,serie a,1,italy,out,hernanes,28,brazil,lazio rom,italy,AM,midfielder,84,85,inter mailand,serie a,1,italy,16.2,19.8,0,53,1,1.92,14,8,4035,0,0,0,0,0,0,14,1,2.07,1,3,1047,2013/2014
as rom,serie a,1,italy,in,kevin strootman,23,netherlands,psv eindhoven,netherlands,DM,midfielder,80,85,psv eindhoven,eredivisie,1,netherlands,15.75,11.7,1085,42,0.95,2.1,8,11,3695,0,0,0,0,0,0,4,0.67,1.75,1,0,360,2013/2014
