club,club_league,club_league_tier,club_country,transfer_movement,player_name,player_age,player_nationality,player_club,player_club_country,player_position,player_position_category,player_rating,player_potential,club_involved,club_involved_league,club_involved_league_tier,club_involved_country,transfer_fee,market_value,remaining_contract_duration,total_apps,total_apps_ratio,total_minutes_per_point,total_goals,total_assists,total_minutes_played,ucl_apps,ucl_apps_ratio,ucl_minutes_per_point,ucl_goals,ucl_assists,ucl_minutes_played,el_apps,el_apps_ratio,el_minutes_per_point,el_goals,el_assists,el_minutes_played,season
fc bayern munchen,1 bundesliga,1,germany,in,arturo vidal,28,chile,juventus turin,italy,CM,midfielder,85,87,juventus turin,serie a,1,italy,33.75,37.8,708,45.0,0.96,2.11,8.0,4.0,3625,12.0,1.0,1.75,1.0,0,1045,0,0,0,0,0,0,2015/2016
fc bayern munchen,1 bundesliga,1,germany,in,douglas costa,24,brazil,shakhtar donetsk,ukraine,RW,attacker,80,84,shakhtar donetsk,premier liga,1,ukraine,27.0,20.7,1101,33.0,0.94,1.91,5.0,7.0,2181,8.0,1.0,1.25,1.0,1.0,593,0,0,0,0,0,0,2015/2016
fc bayern munchen,1 bundesliga,1,germany,in,joshua kimmich,20,germany,vfb stuttgart,germany,DM,midfielder,67,81,vfb stuttgart,1 bundesliga,1,germany,7.65,4.5,0,29.0,1.0,1.45,2.0,2.0,2297,0,0,0,0,0,0,0,0,0,0,0,0,2015/2016
fc bayern munchen,1 bundesliga,1,germany,in,sven ulreich,26,germany,vfb stuttgart,germany,GK,keeper,77,79,vfb stuttgart,1 bundesliga,1,germany,3.15,4.05,736,29.0,0.85,1.0,0,0,2610,0,0,0,0,0,0,0,0,0,0,0,0,2015/2016
fc bayern munchen,1 bundesliga,1,germany,out,xherdan shaqiri,23,switzerland,fc bayern munchen,germany,RW,attacker,80,84,inter mailand,serie a,1,italy,13.5,16.2,371,35.0,0.7,1.57,5.0,4.0,1710,4.0,0.8,2.25,1.0,0,48,3.0,0.75,1.33,1.0,0,263,2015/2016
fc bayern munchen,1 bundesliga,1,germany,out,bastian schweinsteiger,30,germany,fc bayern munchen,germany,CM,midfielder,88,88,manchester united,premier league,1,england,8.1,19.8,358,28.0,0.93,2.0,5.0,8.0,1938,6.0,0.86,1.67,0,4.0,456,0,0,0,0,0,0,2015/2016
fc bayern munchen,1 bundesliga,1,germany,out,dante,31,brazil,fc bayern munchen,germany,CB,defender,81,81,vfl wolfsburg,1 bundesliga,1,germany,4.05,5.4,675,39.0,0.76,2.33,0,0,2838,7.0,0.58,2.14,0,0,363,0,0,0,0,0,0,2015/2016
fc bayern munchen,1 bundesliga,1,germany,out,pepe reina,32,spain,fc bayern munchen,germany,GK,keeper,80,80,ssc neapel,serie a,1,italy,1.8,3.6,736,3.0,0.08,2.0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,2015/2016
fc bayern munchen,1 bundesliga,1,germany,out,jan kirchhoff,25,germany,fc bayern munchen,germany,CB,defender,74,79,afc sunderland,premier league,1,england,0.9,1.8,178,18.0,0.86,1.72,0,0,1061,4.0,0.8,0.75,0,0,180,0,0,0,0,0,0,2015/2016
fc bayern munchen,1 bundesliga,1,germany,out,sinan kurt,19,germany,fc bayern munchen,germany,LW,attacker,62,81,hertha bsc,1 bundesliga,1,germany,0.45,0.9,908,23.0,0.79,1.61,7.0,1.0,1695,0,0,0,0,0,0,0,0,0,0,0,0,2015/2016
