club,club_league,club_league_tier,club_country,transfer_movement,player_name,player_age,player_nationality,player_club,player_club_country,player_position,player_position_category,player_rating,player_potential,club_involved,club_involved_league,club_involved_league_tier,club_involved_country,transfer_fee,market_value,remaining_contract_duration,total_apps,total_apps_ratio,total_minutes_per_point,total_goals,total_assists,total_minutes_played,ucl_apps,ucl_apps_ratio,ucl_minutes_per_point,ucl_goals,ucl_assists,ucl_minutes_played,el_apps,el_apps_ratio,el_minutes_per_point,el_goals,el_assists,el_minutes_played,season
fc bayern munchen,1 bundesliga,1,germany,in,mario gotze,21,germany,borussia dortmund,germany,CF,attacker,85,92,borussia dortmund,1 bundesliga,1,germany,33.3,40.5,0,44.0,1.0,2.07,16.0,20.0,3231,11.0,1.0,2.0,2.0,8.0,887,0,0,0,0,0,0,2013/2014
fc bayern munchen,1 bundesliga,1,germany,in,thiago,22,spain,fc barcelona,spain,CM,midfielder,79,86,fc barcelona,primera division,1,spain,22.5,19.8,0,36.0,0.84,2.42,3.0,9.0,1901,2.0,0.29,0.5,0,0,115,0,0,0,0,0,0,2013/2014
fc bayern munchen,1 bundesliga,1,germany,out,luiz gustavo,26,brazil,fc bayern munchen,germany,DM,midfielder,81,83,vfl wolfsburg,1 bundesliga,1,germany,14.4,16.2,0,36.0,0.92,2.69,4.0,1.0,2039,10.0,1.0,2.4,0,0,369,0,0,0,0,0,0,2013/2014
fc bayern munchen,1 bundesliga,1,germany,out,mario gomez,28,germany,fc bayern munchen,germany,CF,attacker,86,86,ac florenz,serie a,1,italy,13.95,25.2,0,32.0,0.94,2.66,19.0,4.0,1213,7.0,0.78,2.29,2.0,2.0,202,0,0,0,0,0,0,2013/2014
fc bayern munchen,1 bundesliga,1,germany,out,emre can,19,germany,fc bayern munchen,germany,DM,midfielder,66,83,bayer 04 leverkusen,1 bundesliga,1,germany,4.5,1.35,0,21.0,0.78,2.19,3.0,2.0,1708,0,0,0,0,0,0,0,0,0,0,0,0,2013/2014
fc bayern munchen,1 bundesliga,1,germany,out,nils petersen,24,germany,fc bayern munchen,germany,CF,attacker,76,81,sv werder bremen,1 bundesliga,1,germany,2.7,4.5,0,35.0,1.0,0.97,11.0,6.0,2861,0,0,0,0,0,0,0,0,0,0,0,0,2013/2014
borussia dortmund,1 bundesliga,1,germany,in,henrikh mkhitaryan,24,armenia,shakhtar donetsk,ukraine,AM,midfielder,NA,NA,shakhtar donetsk,premier liga,1,ukraine,24.75,19.8,727,42.0,0.98,2.43,29.0,12.0,3653,8.0,1.0,1.38,2.0,0,720,0,0,0,0,0,0,2013/2014
borussia dortmund,1 bundesliga,1,germany,in,pierre emerick aubameyang,24,gabon,as saint etienne,france,CF,attacker,80,83,as saint etienne,ligue 1,1,france,11.7,13.5,1462,45.0,1.0,1.84,21.0,14.0,3850,0,0,0,0,0,0,0,0,0,0,0,0,2013/2014
borussia dortmund,1 bundesliga,1,germany,in,sokratis,25,greece,sv werder bremen,germany,CB,defender,79,83,sv werder bremen,1 bundesliga,1,germany,8.91,9.0,1466,30.0,1.0,1.07,1.0,0,2673,0,0,0,0,0,0,0,0,0,0,0,0,2013/2014
borussia dortmund,1 bundesliga,1,germany,in,milos jojic,21,serbia,fk partizan belgrad,serbia,CM,midfielder,NA,NA,fk partizan belgrad,superliga,1,serbia,1.98,1.35,1249,27.0,0.77,1.96,4.0,3.0,1427,0,0,0,0,0,0,6.0,1.0,0.5,0,0,290,2013/2014
