club,club_league,club_league_tier,club_country,transfer_movement,player_name,player_age,player_nationality,player_club,player_club_country,player_position,player_position_category,player_rating,player_potential,club_involved,club_involved_league,club_involved_league_tier,club_involved_country,transfer_fee,market_value,remaining_contract_duration,total_apps,total_apps_ratio,total_minutes_per_point,total_goals,total_assists,total_minutes_played,ucl_apps,ucl_apps_ratio,ucl_minutes_per_point,ucl_goals,ucl_assists,ucl_minutes_played,el_apps,el_apps_ratio,el_minutes_per_point,el_goals,el_assists,el_minutes_played,season
sc amiens,ligue 1,1,france,in,saman ghoddos,24,iran,ostersunds fk,sweden,CF,attacker,72,78,ostersunds fk,allsvenskan,1,sweden,3.6,1.58,862,33,1.0,1.91,15,9,2816,0,0,0,0,0,0,8,1.0,1.75,2,3,720,2018/2019
sc amiens,ligue 1,1,france,in,juan ferney otero,23,colombia,estudiantes de la plata,argentina,RW,attacker,72,80,estudiantes de la plata,primera division,1,argentina,1.92,2.7,1101,23,0.92,1.52,9,2,1745,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
sc amiens,ligue 1,1,france,in,nathan dekoke,23,france,us avranches,france,LB,defender,NA,NA,us avranches,championnat national,3,france,-,0.18,0,15,0.94,1.2,1,0,1053,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
sc amiens,ligue 1,1,france,out,tanguy ndombele,21,france,sc amiens,france,CM,midfielder,77,87,olympique lyon,ligue 1,1,france,7.2,22.5,736,50,0.98,1.92,1,8,3512,0,0,0,0,0,0,10,1.0,2.0,1,1,707,2018/2019
sc amiens,ligue 1,1,france,out,harisson manzala,24,dr congo,sc amiens,france,RM,midfielder,73,79,sco angers,ligue 1,1,france,0.9,1.35,358,38,0.95,1.16,4,3,1935,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
sc amiens,ligue 1,1,france,out,guessouma fofana,25,france,sc amiens,france,DM,midfielder,72,78,ea guingamp,ligue 1,1,france,0.9,0.72,312,18,0.82,0.89,0,0,888,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
sco angers,ligue 1,NA,france,in,jeff reine adelaide,20,france,fc arsenal u21,england,CM,midfielder,65,80,fc arsenal u21,u21 premier league,1,england,1.44,2.7,345,18,0.82,1.72,1,2,1019,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
sco angers,ligue 1,1,france,in,vincent pajot,27,france,as saint etienne,france,DM,midfielder,73,73,as saint etienne,ligue 1,1,france,0.9,2.25,371,21,0.78,1.0,2,2,1410,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
sco angers,ligue 1,1,france,in,harisson manzala,24,dr congo,sc amiens,france,RM,midfielder,73,79,sc amiens,ligue 1,1,france,0.9,1.35,358,38,0.95,1.16,4,3,1935,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
sco angers,ligue 1,1,france,in,dorian bertrand,25,france,so cholet,france,LW,attacker,NA,NA,so cholet,championnat national,3,france,0.72,-,0,25,1.0,1.4,6,3,1848,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
sco angers,ligue 1,1,france,in,elhadji pape diaw,24,senegal,korona kielce,poland,CB,defender,67,75,korona kielce,ekstraklasa,1,poland,0.045,0.225,167,24,0.67,1.83,2,0,1818,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
sco angers,ligue 1,1,france,out,karl toko ekambi,25,cameroon,sco angers,france,CF,attacker,79,80,fc villarreal,primera division,1,spain,16.2,16.2,736,39,0.97,1.03,17,6,3148,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
sco angers,ligue 1,1,france,out,enzo crivelli,23,france,sco angers,france,CF,attacker,74,80,sm caen,ligue 1,1,france,2.7,3.6,1101,31,0.94,1.19,3,3,1983,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
fc girondins bordeaux,ligue 1,1,france,in,samuel kalu,20,nigeria,kaa gent,belgium,RW,attacker,72,82,kaa gent,jupiler pro league,1,belgium,7.65,4.5,699,36,1.0,1.47,6,8,2342,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
fc girondins bordeaux,ligue 1,1,france,in,yacine adli,18,france,fc paris saint germain,france,AM,midfielder,NA,NA,fc paris saint germain,ligue 1,1,france,4.95,3.6,884,8,0.89,1.38,1,0,496,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
fc girondins bordeaux,ligue 1,1,france,in,toma basic,21,croatia,hnk hajduk split,croatia,CM,midfielder,NA,NA,hnk hajduk split,1 hnl,1,croatia,3.15,1.22,697,31,0.86,2.0,4,6,2102,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
fc girondins bordeaux,ligue 1,1,france,in,josh maja,20,nigeria,afc sunderland,england,CF,attacker,NA,NA,afc sunderland,league one,3,england,1.53,0.225,159,22,0.73,0.73,1,0,907,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
fc girondins bordeaux,ligue 1,NA,france,in,raoul bellanova,18,italy,ac mailand primavera,italy,RB,defender,NA,NA,ac mailand primavera,primavera 1,1,italy,0.63,-,0,30,0.86,1.7,0,2,2396,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
fc girondins bordeaux,ligue 1,1,france,out,malcom,21,brazil,fc girondins bordeaux,france,RW,attacker,82,90,fc barcelona,primera division,1,spain,36.9,40.5,1077,38,1.0,1.5,12,8,3124,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
fc girondins bordeaux,ligue 1,1,france,out,diego rolan,25,uruguay,fc girondins bordeaux,france,CF,attacker,78,81,deportivo la coruna,segunda division,2,spain,5.4,3.15,719,27,1.0,0.37,5,1,1968,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
fc girondins bordeaux,ligue 1,1,france,out,gaetan laborde,24,france,fc girondins bordeaux,france,CF,attacker,74,80,hsc montpellier,ligue 1,1,france,2.7,3.6,324,22,0.76,1.59,3,0,1080,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
sm caen,ligue 1,1,france,in,enzo crivelli,23,france,sco angers,france,CF,attacker,74,80,sco angers,ligue 1,1,france,2.7,3.6,1101,31,0.94,1.19,3,3,1983,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
sm caen,ligue 1,1,france,in,yacine bammou,26,morocco,fc nantes,france,CF,attacker,72,73,fc nantes,ligue 1,1,france,2.43,1.35,1442,19,0.73,1.11,4,0,961,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
sm caen,ligue 1,1,france,in,casimir ninga,25,chad,hsc montpellier,france,LW,attacker,73,78,hsc montpellier,ligue 1,1,france,1.8,1.35,732,34,0.83,1.35,4,1,1568,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
sm caen,ligue 1,1,france,in,faycal fajr,30,morocco,fc getafe,spain,CM,midfielder,75,75,fc getafe,primera division,1,spain,1.35,2.25,337,33,0.89,1.45,1,4,2564,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
sm caen,ligue 1,1,france,in,prince oniangue,29,congo,wolverhampton wanderers,england,DM,midfielder,70,70,wolverhampton wanderers,premier league,1,england,0.45,1.35,724,17,0.94,0.94,1,0,1309,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
sm caen,ligue 1,1,france,in,malik tchokounte,29,france,paris fc,france,CF,attacker,NA,NA,paris fc,ligue 2,2,france,0.225,0.54,0,36,1.0,1.53,12,4,2920,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
sm caen,ligue 1,1,france,out,yann karamoh,19,france,sm caen,france,RW,attacker,71,85,inter mailand,serie a,1,italy,5.85,6.3,736,18,0.46,1.83,1,0,641,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
sm caen,ligue 1,1,france,out,frederic guilbert,24,france,sm caen,france,RB,defender,74,83,aston villa,championship,2,england,4.5,6.3,884,42,1.0,1.17,1,3,3840,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
sm caen,ligue 1,1,france,out,ivan santini,29,croatia,sm caen,france,CF,attacker,76,76,rsc anderlecht,jupiler pro league,1,belgium,2.7,4.5,368,39,0.97,1.21,11,1,3142,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
fco dijon,ligue 1,1,france,in,sory kaba,23,guinea,fc elche,spain,CF,attacker,NA,NA,fc elche,segunda division,2,spain,3.6,1.8,519,39,0.93,1.77,15,0,2248,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
fco dijon,ligue 1,1,france,in,naim sliti,25,tunisia,osc lille,france,LW,attacker,74,76,osc lille,ligue 1,1,france,1.8,6.3,736,33,0.97,1.09,7,7,2369,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
fco dijon,ligue 1,1,france,in,nayef aguerd,22,morocco,fus rabat,morocco,CB,defender,NA,NA,fus rabat,botola pro,1,morocco,1.44,0.81,0,21,1.0,1.62,0,0,1872,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
fco dijon,ligue 1,NA,france,in,runar alex runarsson,23,iceland,fc nordsjaelland,denmark,GK,keeper,66,76,fc nordsjaelland,alka superligaen meisterrunde,NA,denmark,1.44,0.45,736,36,0.95,1.64,0,1,3240,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
fco dijon,ligue 1,1,france,out,baptiste reynet,27,france,fco dijon,france,GK,keeper,78,80,fc toulouse,ligue 1,1,france,3.6,4.5,1101,38,1.0,1.26,0,0,3420,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
ea guingamp,ligue 1,1,france,in,sikou niakate,19,france,fc valenciennes,france,CB,defender,NA,NA,fc valenciennes,ligue 2,2,france,2.25,0.72,1040,27,0.84,1.37,0,0,2279,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
ea guingamp,ligue 1,1,france,in,guessouma fofana,25,france,sc amiens,france,DM,midfielder,72,78,sc amiens,ligue 1,1,france,0.9,0.72,312,18,0.82,0.89,0,0,888,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
ea guingamp,ligue 1,1,france,out,clement grenier,27,france,ea guingamp,france,CM,midfielder,74,75,fc stade rennes,ligue 1,1,france,3.6,3.6,347,17,0.89,1.12,5,4,1243,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
osc lille,ligue 1,1,france,in,jonathan ikone,20,france,fc paris saint germain,france,AM,midfielder,71,83,fc paris saint germain,ligue 1,1,france,4.5,0.63,369,23,0.77,1.39,2,1,1308,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
osc lille,ligue 1,1,france,in,zeki celik,21,turkey,istanbulspor,turkey,RB,defender,NA,NA,istanbulspor,1 lig,2,turkey,2.25,0.72,1094,38,1.0,1.47,3,1,3142,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
osc lille,ligue 1,1,france,in,loic remy,31,france,ud las palmas,spain,CF,attacker,78,78,ud las palmas,segunda division,2,spain,1.26,5.4,358,24,0.92,1.25,9,0,1234,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
osc lille,ligue 1,1,france,out,yves bissouma,21,mali,osc lille,france,CM,midfielder,72,82,brighton amp hove albion,premier league,1,england,15.21,7.2,354,28,0.82,1.04,3,1,1858,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
osc lille,ligue 1,1,france,out,ibrahim amadou,25,france,osc lille,france,DM,midfielder,NA,NA,fc sevilla,primera division,1,spain,12.96,3.15,736,32,1.0,1.03,0,0,2591,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
