club,club_league,club_league_tier,club_country,transfer_movement,player_name,player_age,player_nationality,player_club,player_club_country,player_position,player_position_category,player_rating,player_potential,club_involved,club_involved_league,club_involved_league_tier,club_involved_country,transfer_fee,market_value,remaining_contract_duration,total_apps,total_apps_ratio,total_minutes_per_point,total_goals,total_assists,total_minutes_played,ucl_apps,ucl_apps_ratio,ucl_minutes_per_point,ucl_goals,ucl_assists,ucl_minutes_played,el_apps,el_apps_ratio,el_minutes_per_point,el_goals,el_assists,el_minutes_played,season
ajax amsterdam,eredivisie,1,netherlands,in,niklas moisander,26,finland,az alkmaar,netherlands,CB,defender,75,77,az alkmaar,eredivisie,1,netherlands,3.6,4.5,684,49,1.0,2.04,3,0,4355,0,0,0,0,0,0,12,1.0,1.75,1,0,1060,2012/2013
ajax amsterdam,eredivisie,1,netherlands,in,lucas andersen,17,denmark,aalborg bk,denmark,LW,attacker,66,81,aalborg bk,superligaen,1,denmark,1.26,0.675,0,23,0.74,1.26,1,2,1024,0,0,0,0,0,0,0,0,0,0,0,0,2012/2013
ajax amsterdam,eredivisie,1,netherlands,in,tobias sana,23,sweden,ifk goteborg,sweden,LW,attacker,65,78,ifk goteborg,allsvenskan,1,sweden,0.288,0.54,0,11,0.92,1.27,2,0,778,0,0,0,0,0,0,0,0,0,0,0,0,2012/2013
ajax amsterdam,eredivisie,1,netherlands,out,jan vertonghen,25,belgium,ajax amsterdam,netherlands,CB,defender,79,84,tottenham hotspur,premier league,1,england,11.25,13.5,359,42,1.0,2.07,10,3,3780,6,1.0,1.33,0,0,540,2,1.0,1.5,0,0,180,2012/2013
ajax amsterdam,eredivisie,1,netherlands,out,vurnon anita,23,netherlands,ajax amsterdam,netherlands,DM,midfielder,72,77,newcastle united,premier league,1,england,7.65,5.4,689,44,0.98,1.98,2,2,3507,6,1.0,1.33,0,0,470,2,1.0,1.5,0,0,180,2012/2013
ajax amsterdam,eredivisie,1,netherlands,out,gregory van der wiel,24,netherlands,ajax amsterdam,netherlands,RB,defender,78,82,fc paris saint germain,ligue 1,1,france,5.4,8.1,306,28,0.93,1.96,3,5,2257,6,1.0,1.33,1,1,517,0,0,0,0,0,0,2012/2013
ajax amsterdam,eredivisie,1,netherlands,out,aras ozbiliz,22,armenia,ajax amsterdam,netherlands,RW,attacker,69,76,kuban krasnodar,premier liga,1,russia,2.7,0.54,696,27,0.79,2.19,4,3,1809,0,0,0,0,0,0,2,1.0,1.5,1,1,170,2012/2013
ajax amsterdam,eredivisie,1,netherlands,out,dario cvitanich,28,argentina,ajax amsterdam,netherlands,CF,attacker,72,74,ogc nizza,ligue 1,1,france,1.35,1.35,334,38,0.97,2.0,10,3,2371,0,0,0,0,0,0,0,0,0,0,0,0,2012/2013
ajax amsterdam,eredivisie,1,netherlands,out,ismail aissati,24,morocco,ajax amsterdam,netherlands,AM,midfielder,71,75,medical park antalyaspor,super lig,1,turkey,0.54,1.58,0,29,0.91,2.34,3,7,2063,0,0,0,0,0,0,1,0.5,0,0,0,90,2012/2013
ajax amsterdam,eredivisie,1,netherlands,out,theo janssen,31,netherlands,ajax amsterdam,netherlands,CM,midfielder,76,76,vitesse arnheim,eredivisie,1,netherlands,0.495,4.5,312,38,0.95,1.89,8,10,3194,6,1.0,1.33,0,0,467,0,0,0,0,0,0,2012/2013
ajax amsterdam,eredivisie,1,netherlands,out,lorenzo ebecilio,21,netherlands,ajax amsterdam,netherlands,AM,midfielder,67,73,metalurg donetsk,premier liga,1,ukraine,0.09,0.9,0,37,0.8,1.84,9,5,2011,5,1.0,1.0,0,1,212,0,0,0,0,0,0,2012/2013
feyenoord rotterdam,eredivisie,1,netherlands,in,lex immers,26,netherlands,ado den haag,netherlands,AM,midfielder,71,73,ado den haag,eredivisie,1,netherlands,0.72,1.35,0,37,1.0,1.14,10,4,3324,0,0,0,0,0,0,0,0,0,0,0,0,2012/2013
feyenoord rotterdam,eredivisie,1,netherlands,in,harmeet singh,21,norway,valerenga oslo,norway,CM,midfielder,73,80,valerenga oslo,tippeligaen,1,norway,0.54,1.35,181,15,0.94,1.47,0,4,1198,0,0,0,0,0,0,0,0,0,0,0,0,2012/2013
feyenoord rotterdam,eredivisie,1,netherlands,out,ron vlaar,27,netherlands,feyenoord rotterdam,netherlands,CB,defender,74,76,aston villa,premier league,1,england,3.42,5.4,0,36,1.0,2.03,1,2,3220,0,0,0,0,0,0,0,0,0,0,0,0,2012/2013
feyenoord rotterdam,eredivisie,1,netherlands,out,karim el ahmadi,27,morocco,feyenoord rotterdam,netherlands,DM,midfielder,74,76,aston villa,premier league,1,england,2.52,3.38,369,33,1.0,2.03,3,5,2827,0,0,0,0,0,0,0,0,0,0,0,0,2012/2013
feyenoord rotterdam,eredivisie,1,netherlands,out,bart schenkeveld,20,netherlands,feyenoord rotterdam,netherlands,CB,defender,66,74,heracles almelo,eredivisie,1,netherlands,0.09,0.27,323,13,1.0,0.85,2,0,991,0,0,0,0,0,0,0,0,0,0,0,0,2012/2013
psv eindhoven,eredivisie,1,netherlands,in,luciano narsingh,21,netherlands,sc heerenveen,netherlands,RW,attacker,76,84,sc heerenveen,eredivisie,1,netherlands,3.69,6.3,0,39,1.0,1.95,12,26,3352,0,0,0,0,0,0,0,0,0,0,0,0,2012/2013
psv eindhoven,eredivisie,1,netherlands,in,przemyslaw tyton,25,poland,roda jc kerkrade,netherlands,GK,keeper,77,83,roda jc kerkrade,eredivisie,1,netherlands,2.25,2.7,371,20,0.57,2.1,0,0,1754,0,0,0,0,0,0,3,0.38,2.33,0,0,270,2012/2013
psv eindhoven,eredivisie,1,netherlands,in,oscar hiljemark,20,sweden,if elfsborg boras,sweden,CM,midfielder,69,78,if elfsborg boras,allsvenskan,1,sweden,1.98,1.58,0,34,0.97,2.06,4,4,2863,0,0,0,0,0,0,0,0,0,0,0,0,2012/2013
psv eindhoven,eredivisie,1,netherlands,out,zakaria labyad,19,morocco,psv eindhoven,netherlands,AM,midfielder,74,87,sporting lissabon,primeira liga,1,portugal,0.81,3.6,0,48,0.98,2.19,12,16,3438,0,0,0,0,0,0,10,0.91,2.1,2,4,759,2012/2013
psv eindhoven,eredivisie,1,netherlands,out,genero zeefuik,22,netherlands,psv eindhoven,netherlands,CF,attacker,67,74,fc groningen,eredivisie,1,netherlands,0.495,0.675,371,37,0.93,1.35,7,7,2646,0,0,0,0,0,0,1,0.5,3.0,0,0,6,2012/2013
az alkmaar,eredivisie,1,netherlands,in,markus henriksen,20,norway,rosenborg trondheim,norway,CM,midfielder,72,80,rosenborg trondheim,tippeligaen,1,norway,1.8,2.25,0,27,1.0,1.7,6,7,2338,0,0,0,0,0,0,2,1.0,0.5,1,0,180,2012/2013
az alkmaar,eredivisie,1,netherlands,in,aron johannsson,22,united states,aarhus gf,denmark,CF,attacker,NA,NA,aarhus gf,superligaen,1,denmark,1.44,0.9,156,32,0.94,1.47,8,3,1970,0,0,0,0,0,0,0,0,0,0,0,0,2012/2013
az alkmaar,eredivisie,1,netherlands,in,steven berghuis,20,netherlands,fc twente enschede,netherlands,RW,attacker,67,75,fc twente enschede,eredivisie,1,netherlands,0.45,0.54,736,38,0.84,1.5,9,2,2156,0,0,0,0,0,0,2,0.67,1.5,0,0,31,2012/2013
az alkmaar,eredivisie,1,netherlands,in,donny gorter,24,netherlands,nac breda,netherlands,LB,defender,67,71,nac breda,eredivisie,1,netherlands,0.315,0.81,0,23,0.7,1.09,2,1,1938,0,0,0,0,0,0,0,0,0,0,0,0,2012/2013
az alkmaar,eredivisie,1,netherlands,in,willie overtoom,26,cameroon,heracles almelo,netherlands,AM,midfielder,75,79,heracles almelo,eredivisie,1,netherlands,0.27,1.8,157,37,1.0,1.3,10,8,3177,0,0,0,0,0,0,0,0,0,0,0,0,2012/2013
az alkmaar,eredivisie,1,netherlands,in,yves de winter,25,belgium,de graafschap doetinchem,netherlands,GK,keeper,68,72,de graafschap doetinchem,jupiler league,2,netherlands,0.18,0.72,736,37,0.88,0.84,0,0,3360,0,0,0,0,0,0,0,0,0,0,0,0,2012/2013
az alkmaar,eredivisie,1,netherlands,out,rasmus elm,24,sweden,az alkmaar,netherlands,CM,midfielder,79,84,zska moskau,premier liga,1,russia,5.4,7.2,341,52,1.0,1.94,13,16,4554,0,0,0,0,0,0,14,1.0,1.64,2,5,1223,2012/2013
az alkmaar,eredivisie,1,netherlands,out,niklas moisander,26,finland,az alkmaar,netherlands,CB,defender,75,77,ajax amsterdam,eredivisie,1,netherlands,3.6,4.5,684,49,1.0,2.04,3,0,4355,0,0,0,0,0,0,12,1.0,1.75,1,0,1060,2012/2013
